time,symbol,open,high,low,close,volume
2015-10-05,ACB,3.11,3.14,3.09,3.13,220204.0
2015-10-06,ACB,3.14,3.27,3.16,3.22,895315.0
2015-10-07,ACB,3.26,3.22,3.14,3.18,188078.0
2015-10-08,ACB,3.16,3.28,3.14,3.22,541780.0
2015-10-09,ACB,3.27,3.31,3.26,3.29,557772.0
2015-10-10,ACB,3.27,3.31,3.26,3.29,557772.0
2015-10-11,ACB,3.27,3.31,3.26,3.29,557772.0
2015-10-12,ACB,3.3,3.36,3.29,3.33,479803.0
2015-10-13,ACB,3.3,3.33,3.3,3.32,230664.0
2015-10-14,ACB,3.3,3.34,3.29,3.32,296896.0
2015-10-15,ACB,3.29,3.34,3.28,3.32,371189.0
2015-10-16,ACB,3.33,3.33,3.28,3.3,431631.0
2015-10-17,ACB,3.33,3.33,3.28,3.3,431631.0
2015-10-18,ACB,3.33,3.33,3.28,3.3,431631.0
2015-10-19,ACB,3.24,3.34,3.24,3.3,178784.0
2015-10-20,ACB,3.3,3.32,3.25,3.29,149907.0
2015-10-21,ACB,3.29,3.3,3.25,3.27,282119.0
2015-10-22,ACB,3.26,3.34,3.27,3.32,176203.0
2015-10-23,ACB,3.32,3.33,3.3,3.32,175412.0
2015-10-24,ACB,3.32,3.33,3.3,3.32,175412.0
2015-10-25,ACB,3.32,3.33,3.3,3.32,175412.0
2015-10-26,ACB,3.32,3.36,3.33,3.33,246978.0
2015-10-27,ACB,3.3,3.36,3.31,3.33,72424.0
2015-10-28,ACB,3.29,3.3,3.27,3.29,78194.0
2015-10-29,ACB,3.3,3.33,3.3,3.32,204951.0
2015-10-30,ACB,3.3,3.34,3.3,3.32,167701.0
2015-10-31,ACB,3.3,3.34,3.3,3.32,167701.0
2015-11-01,ACB,3.3,3.34,3.3,3.32,167701.0
2015-11-02,ACB,3.32,3.32,3.26,3.29,49251.0
2015-11-03,ACB,3.26,3.3,3.26,3.29,126751.0
2015-11-04,ACB,3.3,3.27,3.22,3.26,114262.0
2015-11-05,ACB,3.26,3.28,3.25,3.27,130706.0
