ticker,yearReport,lengthReport,Profits from other activities,Operating profit before changes in working capital,Net Cash Flows from Operating Activities before BIT,Payment from reserves,Purchase of fixed assets,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Net cash inflows/outflows from operating activities,Proceeds from disposal of fixed assets,Investment in other entities,Proceeds from divestment in other entities,Dividends paid,data_source,period_type
ACB,2025,2,283064000000.0,6391359000000.0,-5482009000000.0,-8587000000.0,-101469000000.0,59787000000.0,-46535000000.0,0.0,-4466658000000.0,-10003789000000.0,135272610000000.0,-178449000000.0,125090372000000.0,-5490596000000.0,71097000000.0,0.0,0.0,-4466658000000.0,VCI,yearly
ACB,2025,1,118371000000.0,2203592000000.0,-4295847000000.0,-13847000000.0,-180662000000.0,2856000000.0,-176937000000.0,0.0,0.0,-4486631000000.0,139824608000000.0,-65367000000.0,135272610000000.0,-4309694000000.0,869000000.0,0.0,0.0,0.0,VCI,yearly
ACB,2024,4,-167523000000.0,3704555000000.0,37520087000000.0,-523000000.0,-418950000000.0,13162000000.0,-338494000000.0,0.0,0.0,37181070000000.0,102581485000000.0,62053000000.0,139824608000000.0,37519564000000.0,67294000000.0,-3507000000.0,3507000000.0,0.0,VCI,yearly
ACB,2024,3,10399000000.0,5587994000000.0,-16528423000000.0,-480000000.0,-118764000000.0,10063000000.0,-104419000000.0,0.0,0.0,-16633322000000.0,119023619000000.0,191188000000.0,102581485000000.0,-16528903000000.0,775000000.0,3507000000.0,0.0,0.0,VCI,yearly
ACB,2024,2,106418000000.0,6515731000000.0,-3149944000000.0,-96000000.0,-347301000000.0,6746000000.0,-260913000000.0,0.0,-3884051000000.0,-7295004000000.0,126501216000000.0,-182593000000.0,119023619000000.0,-3150040000000.0,79642000000.0,0.0,0.0,-3884051000000.0,VCI,yearly
ACB,2024,1,-113383000000.0,901606000000.0,-9470240000000.0,-150000000.0,-34725000000.0,5087000000.0,-29484000000.0,0.0,0.0,-9499874000000.0,136071738000000.0,-70648000000.0,126501216000000.0,-9470390000000.0,154000000.0,0.0,0.0,0.0,VCI,yearly
ACB,2023,4,-123976000000.0,4366643000000.0,24000778000000.0,-783000000.0,-778517000000.0,5840000000.0,-771106000000.0,0.0,0.0,23228889000000.0,112718456000000.0,124393000000.0,136071738000000.0,23999995000000.0,1571000000.0,0.0,0.0,0.0,VCI,yearly
ACB,2023,3,48709000000.0,5957868000000.0,5154308000000.0,-184000000.0,-144086000000.0,36910000000.0,-106709000000.0,0.0,0.0,5047415000000.0,107750512000000.0,-79471000000.0,112718456000000.0,5154124000000.0,467000000.0,0.0,0.0,0.0,VCI,yearly
ACB,2023,2,23798000000.0,5441896000000.0,14418845000000.0,-233000000.0,-213810000000.0,1154000000.0,-211517000000.0,0.0,-3377435000000.0,10829660000000.0,96922247000000.0,-1395000000.0,107750512000000.0,14418612000000.0,1139000000.0,0.0,0.0,-3377435000000.0,VCI,yearly
ACB,2023,1,33126000000.0,3655575000000.0,-6426336000000.0,-300000000.0,-149733000000.0,31051000000.0,-117821000000.0,0.0,0.0,-6544457000000.0,103510231000000.0,-43527000000.0,96922247000000.0,-6426636000000.0,861000000.0,0.0,0.0,0.0,VCI,yearly
ACB,2022,4,32474000000.0,3998583000000.0,31167553000000.0,-200656000000.0,-207854000000.0,15522000000.0,-184588000000.0,0.0,0.0,30782309000000.0,72894066000000.0,-166147000000.0,103510228000000.0,30966897000000.0,1793000000.0,0.0,5951000000.0,0.0,VCI,yearly
ACB,2022,3,37497000000.0,5104535000000.0,2913363000000.0,-251000000.0,-177344000000.0,13071000000.0,-77882000000.0,0.0,0.0,2835230000000.0,69977128000000.0,81708000000.0,72894066000000.0,2913112000000.0,1027000000.0,0.0,0.0,0.0,VCI,yearly
ACB,2022,2,48809000000.0,3717164000000.0,-4100834000000.0,-157000000.0,-42821000000.0,28499000000.0,-12804000000.0,0.0,0.0,-4113795000000.0,74021373000000.0,69550000000.0,69977128000000.0,-4100991000000.0,1018000000.0,0.0,500000000.0,0.0,VCI,yearly
ACB,2022,1,33269000000.0,3593628000000.0,-8504080000000.0,-399000000.0,-83494000000.0,2507000000.0,-90604000000.0,0.0,0.0,-8595083000000.0,82601567000000.0,14889000000.0,74021373000000.0,-8504479000000.0,903000000.0,-10520000000.0,0.0,0.0,VCI,yearly
ACB,2021,4,16989000000.0,2051001000000.0,23630638000000.0,-258000000.0,-263261000000.0,5724000000.0,-256924000000.0,0.0,-2884000000000.0,20489456000000.0,62123133000000.0,-11022000000.0,82601567000000.0,23630380000000.0,613000000.0,0.0,0.0,0.0,VCI,yearly
ACB,2021,3,-9741000000.0,3356786000000.0,12722291000000.0,-275000000.0,-50349000000.0,9939000000.0,-40410000000.0,0.0,0.0,12681606000000.0,49440951000000.0,576000000.0,62123133000000.0,12722016000000.0,0.0,0.0,0.0,0.0,VCI,yearly
ACB,2021,2,-93442000000.0,4062063000000.0,2310412000000.0,-380000000.0,-229438000000.0,2822000000.0,-224730000000.0,0.0,0.0,2085302000000.0,47342974000000.0,12675000000.0,49440951000000.0,2310032000000.0,1886000000.0,0.0,0.0,0.0,VCI,yearly
