rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
46.1,44.0,25500,-100,-0.004,-0.073,11726285,ACB: Nghị quyết HĐQT về phương án phát hành trái phiếu riêng lẻ lần 3.2025,TCBS,2025-09-30 17:23:49
52.9,67.0,26550,0,0.0,0.088,11706052,"ACB: Nghị quyết HĐQT số 4614.25, 4615.25, 4616.25, 4617.25 ngày 08/09/2025",TCBS,2025-09-09 14:35:01
83.9,79.0,27050,500,0.019,0.194,11676823,ACB: Thông báo ký hợp đồng kiểm toán BCTC 2025,TCBS,2025-08-18 17:20:07
73.1,56.0,24250,-150,-0.006,0.068,11670687,ACB: Báo cáo kết quả giao dịch cổ phiếu của Người nội bộ,TCBS,2025-08-12 17:33:28
73.1,56.0,24250,-150,-0.006,0.068,11670686,ACB: Báo cáo kết quả giao dịch cổ phiếu của tổ chức có liên quan đến Người nội bộ BCH Công đoàn Ngân hàng Thương mại Cổ phần Á Châu,TCBS,2025-08-12 17:31:00
59.4,52.0,23000,0,0.0,0.08,11657956,ACB: Báo cáo tình hình quản trị 6 tháng đầu năm 2025,TCBS,2025-07-31 16:10:40
78.8,59.0,23000,100,0.004,0.077,11644782,ACB: Nghị quyết HĐQT về việc bổ nhiệm lại Phó TGĐ và thông báo thay đổi nhân sự,TCBS,2025-07-23 11:22:41
71.6,46.0,22650,200,0.009,0.063,11639053,"ACB: Nghị quyết HĐQT số 3745, 3747 ngày 16/07/2025  ngày 17/07/2025",TCBS,2025-07-18 14:24:17
56.0,54.0,21300,0,0.0,0.009,11618760,ACB: Thông báo giao dịch cổ phiếu của tổ chức có liên quan đến người nội bộ BCH Công đoàn ACB,TCBS,2025-07-02 17:42:00
56.0,54.0,21300,0,0.0,0.009,11618757,ACB: Thông báo giao dịch cổ phiếu của người nội bộ,TCBS,2025-07-02 17:41:00
56.0,52.0,21300,0,0.0,0.009,11616640,ACB: Quyết định của NHNN về việc sửa đổi nội dung về vốn điều lệ tại Giấy phép thành lập và hoạt động,TCBS,2025-07-01 14:08:26
52.2,38.0,21200,0,0.0,-0.012,11613539,ACB: Thông báo về việc niêm yết và giao dịch cổ phiếu thay đổi niêm yết,TCBS,2025-06-27 18:23:00
58.2,54.0,21300,-50,-0.002,-0.009,11608981,ACB: Quyết định về việc thay đổi đăng ký niêm yết,TCBS,2025-06-24 17:31:00
52.9,50.0,21100,0,0.0,0.05,11591997,ACB: Báo cáo kết quả phát hành cổ phiếu để trả cổ tức,TCBS,2025-06-02 11:27:17
52.9,50.0,21100,0,0.0,0.05,11591974,ACB: Nghị quyết HĐQT về phương án phát hành trái phiếu riêng lẻ lần 2.2025,TCBS,2025-06-02 10:45:09
