officer_name,officer_position,officer_own_percent
Tran Hung Huy,,0.0343
Nguyen Thien Huong Jenny,,0.0134
Dang Thu Thuy,Member of Management Board,0.0119
Nguyen Duc Hieu Johnny,,0.0107
Dang Thu Ha,,0.0103
Nguyen Thuy Lan,,0.0096
Nguyen Thuy Huong,,0.009
Tran Phu My,,0.0083
Nguyen Duc Kien,Vice Chairman of Management Board,0.0046
Dang Phu Vinh,Department Director,0.0037
Pham Trung Cang,,0.0017
Le Vu Ky,,0.0015
Nguyen Thi To Luu,,0.0013
Do Minh Toan,Member of Management Board,0.0007
Nguyen Thanh Long,Vice Chairman of Management Board,0.0004
,,0.0004
Dang Thi Thu Van,Others,0.0002
Tu Tien Phat,Legal Representative,0.0002
Tu Tien Phat,General Director,0.0002
Nguyen Thi Bich Dao,,0.0002
