ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Attributable to parent company,EPS_basis,data_source,period_type
ACB,2025,2,14298695000000,0.14621443765595551,4881159000000,0.0923264385410163,14298695000000,-7614847000000,6683848000000,1102158000000,-517427000000,584731000000,670005000000,36590000000,446091000000,1163413000000,-350690000000,812723000000,58556000000,9292544000000,-2736160000000,6556384000000,-463039000000,6093345000000,-1212186000000,-1210700000000,-1486000000,4881159000000,4881159000000,0,VCI,quarterly
ACB,2025,1,13327306000000,0.11175820602532918,3678266000000,-0.058163541479160114,13327306000000,-6968441000000,6358865000000,1394280000000,-521967000000,872313000000,475590000000,23799000000,-1495000000,284468000000,-102083000000,182385000000,3171000000,7914628000000,-2691892000000,5222736000000,-626128000000,4596608000000,-918342000000,-958551000000,40209000000,3678266000000,3678266000000,0,VCI,quarterly
ACB,2024,4,13518376000000,0.08017257670086692,4545364000000,0.13456002440169543,13518376000000,-6438085000000,7080291000000,1435715000000,-566890000000,868825000000,344167000000,-26090000000,213050000000,419472000000,-346882000000,72590000000,5463000000,8558296000000,-2739350000000,5818946000000,-147675000000,5671271000000,-1125907000000,-1086127000000,-39780000000,4545364000000,4545364000000,1017,VCI,quarterly
ACB,2024,3,12922067000000,-0.007819313792599071,3870395000000,-0.041406991665054724,12922067000000,-6040680000000,6881387000000,1325822000000,-578633000000,747189000000,166635000000,71287000000,47199000000,259065000000,-56305000000,202760000000,19544000000,8136001000000,-2933714000000,5202287000000,-358243000000,4844044000000,-973649000000,-971306000000,-2343000000,3870395000000,3870395000000,0,VCI,quarterly
ACB,2024,2,12474712000000,-0.08163412091804549,4468590000000,0.15591516061426142,12474712000000,-5363206000000,7111506000000,1421150000000,-543581000000,877569000000,426650000000,-41231000000,-14005000000,415272000000,-129401000000,285871000000,5651000000,8652011000000,-2465618000000,6186393000000,-588150000000,5598243000000,-1129653000000,-1075344000000,-54309000000,4468590000000,4468590000000,779,VCI,quarterly
ACB,2024,1,11987594000000,-0.09351625143419917,3905419000000,-0.05552802652653706,11987594000000,-5266076000000,6721518000000,1282271000000,-537069000000,745202000000,233300000000,196391000000,204068000000,172323000000,-109907000000,62416000000,5556000000,8168451000000,-2763921000000,5404530000000,-512217000000,4892313000000,-986894000000,-1066922000000,80028000000,3905419000000,3905419000000,1006,VCI,quarterly
ACB,2023,4,12515015000000,0.05120208993676164,4006279000000,0.39566412751984137,12515015000000,-6225399000000,6289616000000,1305933000000,-578635000000,727298000000,28950000000,-13925000000,1358428000000,216906000000,-230699000000,-13793000000,1889000000,8378463000000,-3013248000000,5365215000000,-321641000000,5043574000000,-1037295000000,-975257000000,-62038000000,4006279000000,4006279000000,1031,VCI,quarterly
ACB,2023,3,13023905000000,0.26200091782554413,4037579000000,0.12561695147354665,13023905000000,-6814777000000,6209128000000,1301774000000,-538187000000,763587000000,315762000000,67760000000,881942000000,202751000000,-55714000000,147037000000,39166000000,8424382000000,-2868218000000,5556164000000,-520683000000,5035481000000,-997902000000,-996856000000,-1046000000,4037579000000,4037579000000,1040,VCI,quarterly
ACB,2023,2,13583597000000,0.44206998811934334,3865846000000,-0.019604133550148256,13583597000000,-7337925000000,6245672000000,1262569000000,-458183000000,804386000000,327437000000,71566000000,407802000000,200858000000,-37975000000,162883000000,3774000000,8023520000000,-2485180000000,5538340000000,-705893000000,4832447000000,-966601000000,-911557000000,-55044000000,3865846000000,3865846000000,797,VCI,quarterly
ACB,2023,1,13224279000000,0.4606257341494139,4135029000000,0.2577901071775662,13224279000000,-7009125000000,6215154000000,1075475000000,-448409000000,627066000000,437956000000,42982000000,-1032000000,576702000000,-9458000000,567244000000,30781000000,7920151000000,-2507640000000,5412511000000,-256014000000,5156497000000,-1021468000000,-1109352000000,87884000000,4135029000000,4135029000000,1224,VCI,quarterly
