time,symbol,open,high,low,close,volume
2018-02-21,BCM,27.07,27.07,22.86,22.86,81200.0
2018-02-22,BCM,23.78,23.78,22.86,22.86,28900.0
2018-02-23,BCM,23.05,23.05,20.48,21.03,37800.0
2018-02-24,BCM,23.05,23.05,20.48,21.03,37800.0
2018-02-25,BCM,23.05,23.05,20.48,21.03,37800.0
2018-02-26,BCM,20.12,22.22,18.29,20.94,21100.0
2018-02-27,BCM,22.68,22.68,18.29,21.95,34700.0
2018-02-28,BCM,18.66,20.12,18.66,20.12,2300.0
2018-03-01,BCM,20.12,20.3,19.2,20.3,21100.0
2018-03-02,BCM,20.03,20.03,18.75,19.75,24900.0
2018-03-03,BCM,20.03,20.03,18.75,19.75,24900.0
2018-03-04,BCM,20.03,20.03,18.75,19.75,24900.0
2018-03-05,BCM,19.39,19.66,19.2,19.48,35500.0
2018-03-06,BCM,20.58,20.58,18.75,19.84,4200.0
2018-03-07,BCM,18.75,18.75,18.29,18.47,3000.0
2018-03-08,BCM,19.2,19.2,19.2,19.2,2100.0
2018-03-09,BCM,19.2,19.2,16.46,19.11,36700.0
2018-03-10,BCM,19.2,19.2,16.46,19.11,36700.0
2018-03-11,BCM,19.2,19.2,16.46,19.11,36700.0
2018-03-12,BCM,18.29,19.11,17.83,18.75,7000.0
2018-03-13,BCM,18.29,18.29,17.56,18.11,15100.0
2018-03-14,BCM,17.47,18.02,17.19,17.19,11700.0
2018-03-15,BCM,16.74,17.83,16.46,17.65,29700.0
2018-03-16,BCM,19.11,19.66,17.83,18.29,33500.0
2018-03-17,BCM,19.11,19.66,17.83,18.29,33500.0
2018-03-18,BCM,19.11,19.66,17.83,18.29,33500.0
2018-03-19,BCM,18.47,19.39,18.47,19.39,14000.0
2018-03-20,BCM,18.29,19.11,17.47,18.29,101100.0
2018-03-21,BCM,18.75,18.75,17.47,18.11,63600.0
2018-03-22,BCM,18.29,20.48,18.11,20.48,135400.0
2018-03-23,BCM,20.39,21.76,20.12,21.49,97700.0
2018-03-24,BCM,20.39,21.76,20.12,21.49,97700.0
2018-03-25,BCM,20.39,21.76,20.12,21.49,97700.0
2018-03-26,BCM,22.22,22.31,20.76,21.95,198500.0
2018-03-27,BCM,21.95,24.51,19.02,21.95,362200.0
2018-03-28,BCM,21.58,23.96,20.58,21.86,433200.0
2018-03-29,BCM,21.76,23.14,21.49,21.76,272700.0
2018-03-30,BCM,22.04,22.86,22.04,22.77,46000.0
2018-03-31,BCM,22.04,22.86,22.04,22.77,46000.0
2018-04-01,BCM,22.04,22.86,22.04,22.77,46000.0
2018-04-02,BCM,22.86,23.5,22.86,23.5,47800.0
2018-04-03,BCM,23.69,24.69,23.32,24.05,49300.0
2018-04-04,BCM,24.05,24.05,23.41,23.78,60400.0
2018-04-05,BCM,23.78,24.05,23.41,23.96,206800.0
2018-04-06,BCM,23.78,23.96,23.32,23.59,70500.0
2018-04-07,BCM,23.78,23.96,23.32,23.59,70500.0
2018-04-08,BCM,23.78,23.96,23.32,23.59,70500.0
2018-04-09,BCM,23.23,24.51,23.14,24.24,71600.0
2018-04-10,BCM,23.14,23.96,23.14,23.78,63800.0
2018-04-11,BCM,23.78,23.78,22.86,23.59,77400.0
2018-04-12,BCM,23.5,23.59,22.86,23.5,100200.0
2018-04-13,BCM,23.59,23.78,23.05,23.59,36600.0
2018-04-14,BCM,23.59,23.78,23.05,23.59,36600.0
2018-04-15,BCM,23.59,23.78,23.05,23.59,36600.0
2018-04-16,BCM,23.41,23.5,23.41,23.5,55000.0
2018-04-17,BCM,23.5,23.5,22.86,23.5,58000.0
2018-04-18,BCM,23.41,23.5,23.41,23.5,10500.0
2018-04-19,BCM,22.86,23.41,22.68,23.41,30000.0
2018-04-20,BCM,23.32,23.5,23.32,23.5,20200.0
2018-04-21,BCM,23.32,23.5,23.32,23.5,20200.0
2018-04-22,BCM,23.32,23.5,23.32,23.5,20200.0
2018-04-23,BCM,23.32,23.41,22.86,22.86,31600.0
2018-04-24,BCM,23.32,23.32,22.86,22.86,21100.0
2018-04-25,BCM,23.32,23.32,22.86,22.86,21100.0
2018-04-26,BCM,22.86,22.86,22.77,22.77,28200.0
2018-04-27,BCM,22.86,22.86,22.86,22.86,33200.0
2018-04-28,BCM,22.86,22.86,22.86,22.86,33200.0
2018-04-29,BCM,22.86,22.86,22.86,22.86,33200.0
2018-04-30,BCM,22.86,22.86,22.86,22.86,33200.0
2018-05-01,BCM,22.86,22.86,22.86,22.86,33200.0
2018-05-02,BCM,22.86,23.41,22.86,23.41,13900.0
