ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
BCM,2025,2,31548052123573,2833056154937,298584697499,7086901062725,21296350780030,33159428382,26048929404021,828482417553,2609244941552,21231419299406,354345863649,57596981527594,35873567408720,22463334808613,13410232600107,21723414118874,21723414118874,0,7956206587494,588817717740,57596981527594,367584281434,4500000000,21296350780030,3003679732990,10350000000000,10350000000000,12370277520882,965804614044,9962326068227,0,93305675876,592369220800,0,0,VCI,quarterly
BCM,2025,1,32104035777390,1015091287288,317312603095,8877769725364,21797054549128,96807612515,27196869033011,1027989566372,2640462832249,19765463175679,394402101253,59300904810401,38256145111380,21967895872922,16288249238458,21044759699021,21044759699021,7777275814,7169073153818,1097119022212,59300904810401,933736258113,4500000000,21798275324359,2594082337142,10350000000000,10350000000000,15270573274148,1835133473087,8116196133906,0,129653068047,592369220800,233753329732,321501810193,VCI,quarterly
BCM,2024,4,31703966346820,2205138245025,299912603095,8063773609382,21054729381948,80412507370,27076791421455,1062168940344,2662168674625,19493100197998,400267543021,58780757768275,38101557432910,21929549417474,16172008015436,20679200335365,20679200335365,7777275814,6810807465526,1089825346848,58780757768275,860444112753,4500000000,21055950157179,2594082337142,10350000000000,10350000000000,15183796695303,1900567366394,8444231302085,0,141441798651,592369220800,323372259564,412651674525,VCI,quarterly
BCM,2024,3,28158052674360,662967630711,279912603095,6213039719169,20903079860609,99052860776,26283131494218,1075898847215,2696168685140,18667546740160,418808080154,54441184168578,34370047372014,20842999408870,13527047963144,20071136796564,20071136796564,7777275814,6355249695961,937319577612,54441184168578,241865552193,4500000000,20904014644945,2594082337142,10350000000000,10350000000000,12437041739908,1309748594017,8228057757861,0,150057023951,592369220800,174798753411,261063560137,VCI,quarterly
BCM,2024,2,28366994220810,2096032844201,268912603095,5368845426884,20516693539186,116509807444,26438892864482,1116921729762,2705580359377,18714817208016,425445505094,54805887085292,35064744363804,22021802225904,13042942137900,19741142721488,19741142721488,7777275814,6043261732963,919313465534,54805887085292,247951282950,4500000000,20517628323522,2594082337142,10350000000000,10350000000000,11950044588216,1412958463465,9323714468611,0,156694448891,592369220800,235120880093,324430989419,VCI,quarterly
BCM,2024,1,28160520404744,2479777484950,230314044988,4869092552255,20347662646250,233673676301,25908530852116,1126130510614,2524642694714,18265191798913,325590056989,54069051256860,34542659397453,22551228059405,11991431338048,19526391859407,19526391859407,7777275814,6354655371982,912665494556,54069051256860,254007633907,4500000000,20348597430586,2074585807020,10350000000000,10350000000000,11370249882435,1415903058021,9637998586127,0,161638630004,592369220800,390030880093,516579665887,VCI,quarterly
BCM,2023,4,31086081717999,1332254152561,87314044988,7067155427662,22447992554299,151365538489,22094374407034,1174766764928,475808142139,17244517432646,393770791152,53180456125033,34091459373239,22997831278494,11093628094745,19088996751794,19088996751794,7777275814,5953998360598,876009198674,53180456125033,251927969247,4500000000,22449358104254,2074504006673,10350000000000,10350000000000,10353761161059,1320067451139,9384326325996,0,170473596981,592369220800,429125255146,572102316484,VCI,quarterly
BCM,2023,3,28481900631552,593316290211,265314044988,5276508277931,22165530302940,181231715482,20972294444188,1198313402967,480349605223,16155983858220,404129554878,49454195075740,31481074529840,19478640583633,12002433946207,17973120545900,17973120545900,7777275814,4831515238853,888850824109,49454195075740,297999330075,4500000000,22166895852895,2068269297089,10350000000000,10350000000000,11262513012521,3447080327779,5923450684210,0,180820567039,592369220800,385751915511,520844278701,VCI,quarterly
BCM,2023,2,27918446528932,206629516041,535314044988,5352377829611,21600755166391,223369971901,20764595392185,1240956968981,484891068307,15897670077287,414252712274,48683041921117,30881867239080,20824225292873,10057641946207,17801174682037,17801174682037,7777275814,4663677172695,880156025204,48683041921117,313836402017,4500000000,21602120716346,2072856298289,10350000000000,10350000000000,9317238012521,3446965070159,6665257477662,0,190947599081,592369220800,385569206202,523697793892,VCI,quarterly
BCM,2023,1,28069250160656,436193435047,403745062079,5597541831041,21355836366894,275933465595,20520033922606,1241032097595,420626534067,15929377732102,416004122111,48589284083262,30627128157846,19010930065887,11616198091959,17962155925416,17962155925416,7777275814,5195628768976,995793468009,48589284083262,333325152612,4500000000,21358146356815,1586248502582,10350000000000,10350000000000,10849224793469,3637250312374,5638733438585,0,193812483876,592369220800,386215199814,619324837520,VCI,quarterly
