ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,data_source,period_type
BCM,2025,2,1698434608293.0,61016622113.0,0.0,0.0,-792285877498.0,369263772437.0,1336091007751.0,-47848752890.0,364152554892.0,110977175237.0,15272050072.0,-573480596439.0,-407155110.0,54037800.0,-47481010247.0,1157329311066.0,-24106245896.0,9555261409.0,-202072094404.0,215800000000.0,-506562460090.0,0.0,234113092936.0,-273272446045.0,0.0,0.0,1755531114113.0,-817321511948.0,-4301599537.0,933908002628.0,1817964867649.0,1015091287288.0,0.0,2833056154937.0,VCI,quarterly
BCM,2025,1,372225535950.0,64714398820.0,-2506755766.0,0.0,-120379696252.0,291545659240.0,605599141992.0,-721172722077.0,-663827600740.0,840246176911.0,30904662516.0,-577175823949.0,-192018947814.0,0.0,-60046927391.0,-737492040552.0,-15708220122.0,0.0,-17400000000.0,0.0,-16900000000.0,0.0,-136470156394.0,-186478376516.0,0.0,0.0,850247940423.0,-1116283463092.0,-41018000.0,-266076540669.0,-1190046957737.0,2205138245025.0,0.0,1015091287288.0,VCI,quarterly
BCM,2024,4,1808447929969.0,59966327424.0,75804265338.0,0.0,-1572862702108.0,356217458064.0,729908728687.0,-1291829182219.0,369654687216.0,761669131090.0,-24965662130.0,-535230232198.0,-26714340721.0,0.0,-70212572687.0,-87719442962.0,-69843817660.0,-18098461016.0,-130800000000.0,110800000000.0,-273175071149.0,0.0,136747229055.0,-244370120770.0,0.0,0.0,8897561631227.0,-6020025138181.0,-1003276315000.0,1874260178046.0,1542170614314.0,662967630711.0,0.0,2205138245025.0,VCI,quarterly
BCM,2024,3,378903836548.0,69908957895.0,-62035650228.0,0.0,125748005160.0,341913645651.0,855983435142.0,-723486735672.0,-471639898961.0,-85919850958.0,17297026174.0,-563277886329.0,-36336085734.0,0.0,-52302619996.0,-1059682616334.0,113009147289.0,3772704931.0,14000000000.0,-25000000000.0,-19350000000.0,0.0,129462942445.0,215894794665.0,0.0,0.0,2078095657368.0,-2635649364189.0,-31723685000.0,-589277391821.0,-1433065213490.0,2096032844201.0,0.0,662967630711.0,VCI,quarterly
BCM,2024,2,244206733726.0,65942401678.0,60234898772.0,0.0,-622515335440.0,432544650334.0,176533258954.0,-442289273574.0,44234033775.0,335404421377.0,99479651351.0,-545536463322.0,-28292689966.0,0.0,-13854424353.0,-374321485758.0,-341413492358.0,1144814815.0,-63598558107.0,25000000000.0,0.0,0.0,149474889293.0,-229392346357.0,0.0,0.0,1460233573193.0,-1240441339827.0,176958000.0,219969191366.0,-383744640749.0,2479777484950.0,0.0,2096032844201.0,VCI,quarterly
BCM,2024,1,127788804088.0,66364250269.0,0.0,0.0,-38334061618.0,164303405140.0,320122397879.0,2061327804543.0,-146888867820.0,-333915805140.0,-68214841089.0,-565662079261.0,-321784938145.0,5400000.0,-68837527172.0,876151543795.0,-21648949406.0,1064814815.0,-146500000000.0,3500000000.0,-1007865594000.0,0.0,140297801762.0,-1031151926829.0,0.0,0.0,2295465586669.0,-992764913246.0,-176958000.0,1302523715423.0,1147523332389.0,1332254152561.0,0.0,2479777484950.0,VCI,quarterly
BCM,2023,4,2362015876207.0,136422368402.0,102529422719.0,-16113931.0,82613377865.0,296232583775.0,2979797515037.0,-2209220083191.0,-911486472832.0,-107493644239.0,32533168931.0,-406549419688.0,-16213900322.0,0.0,-63052539787.0,-701685376091.0,-61991980560.0,-318181818.0,304200000000.0,23800000000.0,-770059720000.0,0.0,416258337042.0,-88111545336.0,0.0,0.0,5506982754781.0,-2946866883647.0,-1031397201288.0,1528718669846.0,738921748419.0,593316290211.0,16113931.0,1332254152561.0,VCI,quarterly
BCM,2023,3,268619454072.0,33000477913.0,-91435911134.0,0.0,-198134495594.0,149163519543.0,181361352785.0,73746779427.0,-295460836619.0,-526519957156.0,-26824725663.0,-457582819023.0,-6081720918.0,0.0,-49873631195.0,-1107235558362.0,56354563083.0,-342933296.0,130000000000.0,140000000000.0,-99000000000.0,0.0,46889590936.0,273901220723.0,0.0,0.0,2279002537789.0,-1055416675980.0,-3564750000.0,1220021111809.0,386686774170.0,206629516041.0,0.0,593316290211.0,VCI,quarterly
BCM,2023,2,20655519490.0,52090474893.0,-189195332.0,0.0,-115296970468.0,268835583401.0,205947103999.0,108457379048.0,-80898117451.0,348567263053.0,58328265451.0,-446095781237.0,-9032149924.0,0.0,-53801605891.0,131472357048.0,-111560637031.0,994403636.0,-377368982909.0,95800000000.0,0.0,0.0,563028090568.0,170892874264.0,0.0,0.0,845621948712.0,-1377579049030.0,27950000.0,-531929150318.0,-229563919006.0,436193435047.0,0.0,206629516041.0,VCI,quarterly
BCM,2023,1,79085829725.0,50899999658.0,0.0,0.0,-61155825960.0,191322372257.0,260152375680.0,-350031254821.0,-480439061468.0,-90406227536.0,-40223273359.0,-468547844977.0,-50144223409.0,0.0,-18237544267.0,-1237877054157.0,-28920625869.0,-98670000.0,-37000000000.0,70750000000.0,0.0,0.0,2883595607.0,7614299738.0,0.0,0.0,1333530931149.0,-737693465523.0,-27950000.0,595809515626.0,-634453238793.0,1070646673840.0,0.0,436193435047.0,VCI,quarterly
