rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
44.0,43.0,66200.0,-700.0,-0.01,-0.024,11728518,Becamex IDC được cổ đông chấp thuận đổi tên thành Becamex Group,TCBS,2025-10-02 15:19:00
44.0,48.0,66900.0,0.0,0.0,-0.013,11727577,BCM: Biên bản kiểm phiếu và Nghị quyết ĐHĐCĐ về việc lấy ý kiến cổ đông bằng văn bản năm 2025,TCBS,2025-10-01 17:40:12
45.8,38.0,67400.0,100.0,0.001,0.037,11720974,Becamex IDC đăng ký thực hiện quyền mua hơn 125 triệu cổ phiếu IJC,TCBS,2025-09-25 09:49:00
42.7,39.0,67300.0,600.0,0.009,0.035,11720354,BCM: Nghị quyết HĐQT về việc thực hiện quyền mua cổ phiếu phát hành thêm của IJC,TCBS,2025-09-24 17:16:42
56.5,60.0,69200.0,-500.0,-0.007,-0.011,11714003,Cổ đông Becamex IDC (BCM) không thông qua kế hoạch chào bán 150 triệu cổ phiếu,TCBS,2025-09-18 06:28:00
53.7,48.0,69700.0,700.0,0.01,-0.004,11713888,BCM: Biên bản kiểm phiếu lấy ý kiến cổ đông bằng văn bản lần 1 năm 2025,TCBS,2025-09-17 16:52:43
47.0,42.0,66900.0,-800.0,-0.012,-0.052,11705057,BCM tiếp tục xin ý kiến cổ đông đổi tên công ty lần 2,TCBS,2025-09-08 20:08:00
47.0,42.0,66900.0,-800.0,-0.012,-0.052,11704903,BCM: Nghị quyết HĐQT về việc góp vốn thành lập CTCP Đường vành đai 4 TP.HCM,TCBS,2025-09-08 16:59:34
47.0,42.0,66900.0,-800.0,-0.012,-0.052,11704756,"Becamex IDC thanh toán hơn 835 tỷ đồng gốc, lãi trái phiếu",TCBS,2025-09-08 14:34:00
47.0,42.0,,,,,11703705,"Becamex IDC huy động thêm 2.000 tỷ đồng trái phiếu, lãi suất 10,5%/năm",TCBS,2025-09-06 10:31:00
47.0,29.0,67700.0,0.0,0.0,-0.017,11703537,BCM: Thông báo tài liệu lấy ý kiến cổ đông bằng văn bản năm 2025 lần 2,TCBS,2025-09-05 17:31:50
47.5,48.0,67000.0,-1000.0,-0.015,-0.016,11698201,"Becamex IDC sắp ""rót"" thêm gần 200 tỷ đồng vào công ty phát triển điện",TCBS,2025-08-29 14:13:00
47.1,46.0,68000.0,100.0,0.001,-0.024,11687664,BCM: Nghị quyết HĐQT về việc góp tăng vốn điều lệ cho CTCP Đầu tư và PT Điện Becamex - VSIP,TCBS,2025-08-28 14:31:40
56.9,51.0,69900.0,-600.0,-0.009,0.046,11680996,Becamex IDC muốn đổi tên và trụ sở chính,TCBS,2025-08-21 16:30:00
56.9,51.0,69900.0,-600.0,-0.009,0.046,11680538,BCM: Thông báo về ngày đăng ký cuối cùng lấy ý kiến cổ đông bằng văn bản lần 2 năm 2025,TCBS,2025-08-21 11:25:10
