officer_name,officer_position,officer_own_percent
NGUYEN VAN HUNG,Vice Chairman of Management Board,0.006
NGUYEN VAN HUNG,General Director,0.006
NGUYEN VAN HUNG,Chairman of Management Board,0.006
Nguyen Phu Thinh,,0.0012
Pham Ngoc Thuan,Vice Chairman of Management Board,0.0011
Pham Ngoc Thuan,Spokesman,0.0011
Pham Ngoc Thuan,General Director,0.0011
Pham Ngoc Thuan,Deputy General Director,0.0011
Giang Quoc Dung,Person in charge of Corporate governace,0.0006
Giang Quoc Dung,Deputy General Director,0.0006
Nguyen Thi Thanh Nhan,,0.0006
Quang Van Viet Cuong,,0.0005
Nguyen Danh Tung,,0.0005
Nguyen Van Hien Phuc,Independent Member of Management Board,0.0004
Nguyen Van Thanh Huy,Deputy General Director,0.0004
Nguyen Viet Long,,0.0002
HO HONG THACH,Head of Supervisors Board,0.0001
Nguyen Thi Thuy Duong,Head of Accounting department,0.0001
Nguyen Tan Loi,,0.0001
Nguyen Thi Thanh An,,0.0001
