ticker,yearReport,lengthReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,data_source,period_type
BCM,2025,2,1.5193516181051911,2919634610319,1475637440340,4.3982249018771125,50656482560,-369263772437,2919634610319,-16037731292,2903596879027,-995565376975,1908031502052,-382972499452,543499736235,-261192215819,-135154244475,1722868761101,11951707927,-36385860735,-24434152808,1698434608293,-215715277684,-1718185065,1481001145544,5363705204,1475637440340,VCI,quarterly
BCM,2025,1,1.2754263702492137,1847315916654,358265688293,2.033165408867337,101989129200,-291545659240,1847315916654,-4800617372,1842515299282,-1138364733208,704150566074,-308481903325,271027295029,-256536743467,-136614275622,375534067889,3919624832,-7228156771,-3308531939,372225535950,-12589461129,5923288835,365559363656,7293675363,358265688293,VCI,quarterly
BCM,2024,4,-0.593509108210523,2101418291397,1451224034015,-0.2924180296857164,26277741742,-356217458064,2101418291397,-57417668327,2044000623070,-598057537206,1445943085864,-356353908139,1182374192315,-318710089092,-139386538530,1840144484160,6315829367,-38012383558,-31696554191,1808447929969,-168520430028,-14245495094,1625682004847,174457970832,1451224034015,VCI,quarterly
BCM,2024,3,0.08588413474878748,1241330505674,344394978084,0.5843607957355641,3415283010,-341913645651,1241330505674,-13718249377,1227612256297,-385324187254,842288069043,-342114762701,243224861915,-223608598130,-139188970396,384015882741,7784050997,-12896097190,-5112046193,378903836548,-15888385906,0,363015450642,18620472558,344394978084,VCI,quarterly
BCM,2024,2,0.05387832816316242,1158883337021,273356050769,2.3564783750033533,135343025352,-432544650334,1158883337021,-2865100307,1156018236714,-520081459227,635936777487,-447578942504,462643101923,-321926688567,-221960434969,242456838722,2996985950,-1247090945,1749895005,244206733727,-61792678590,104698208577,287112263714,13756212945,273356050769,VCI,quarterly
BCM,2024,1,0.02571237801523352,811854842155,118116106443,0.2906943169693757,2743926927,-164303405140,811854842155,-249397609,811605444546,-237401006651,574204437895,-164303405140,59540044450,-203094905090,-145857407165,123232691877,11080684020,-6524571809,4556112211,127788804088,-8552031983,0,119236772105,1120665662,118116106443,VCI,quarterly
BCM,2023,4,4.782869154676779,5169656525749,2050962425414,35.423685359230745,19783192444,-296232583775,5169656525749,-110031898853,5059624626896,-2469341654481,2590282972415,-296272674775,568742880542,-290173141916,-223480791168,2368882437542,3721448420,-10588009755,-6866561335,2362015876207,-312261292902,-11793668,2049742789637,-1219635777,2050962425414,VCI,quarterly
BCM,2023,3,-0.4951255000908795,1143151894342,217371560197,0.06935134395718204,6835897936,-149163519544,1143151894342,-15806235204,1127345659138,-398988805508,728356853630,-149163519544,6363344712,-181662769995,-140851792277,269878014462,4675555012,-5934115402,-1258560390,268619454072,-52993300147,3874646,215630028571,-1741531626,217371560197,VCI,quarterly
BCM,2023,2,-0.4311684083151997,1099636747480,81441326363,-0.9141765080504097,10254535603,-268835583400,1099636747480,-6015305115,1093621442365,-502100863122,591520579243,-268835583400,158642486707,-250627440979,-124165508188,116789068986,7109271923,-103242821419,-96133549496,20655519490,-46211268478,2971688,-25552777300,-106994103663,81441326363,VCI,quarterly
BCM,2023,1,-0.44915180641984337,791503407345,91513617818,-0.7844584570603301,51809980554,-191322372257,791503407345,-88963195,791414444150,-385007024529,406407419621,-191330511557,55119221026,-146195321950,-94867536696,80943250998,5720748946,-7578170219,-1857421273,79085829725,-4659372306,0,74426457419,-17087160399,91513617818,VCI,quarterly
BCM,2022,4,-0.7127673864284637,893960486996,56308481835,-0.8022117922333359,12071893855,-253481785716,893960486996,-15139358177,878821128819,-573677202118,305143926701,-253676228468,554545157306,-304667714079,-239628580461,73788454854,-21055837511,-31369990882,-52425828393,21362626461,-14365339559,-52920002,6944366900,-49364114935,56308481835,VCI,quarterly
BCM,2022,3,1.564188381027524,2264229812652,203274219858,3.184681046939782,10912350277,-139600366186,2264229812652,-784689939,2263445122713,-1588538391533,674906731180,-139600366186,17281678335,-166935832381,-115856767191,280707794034,36540915002,-6301269451,30239645551,310947439585,-51788047640,0,259159391945,55885172087,203274219858,VCI,quarterly
