ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investment in joint ventures,Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Leased assets,Intagible fixed assets,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Difference upon Assets Revaluation,Undistributed earnings (Bn. VND),Minority Interest,Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS,data_source,period_type
BID,2025,2,2991644165000000,11226888000000,82653786000000,392598164000000,24033427000000,24070086000000,-36659000000,0,2141443805000000,2179879608000000,-38435803000000,266227690000000,149555637000000,117777936000000,-1105883000000,3849702000000,0,3769837000000,183023000000,-103158000000,11797774000000,6582985000000,0,5214789000000,57812929000000,2991644165000000,2828906855000000,162609396000000,296709453000000,2074787517000000,889430000000,11678398000000,231465862000000,50766799000000,162737310000000,89541970000000,22095156000000,-265450000000,0,45989929000000,0,70213619000000,452623000000,5375705000000,VCI,quarterly
BID,2025,1,2856110951000000,10980778000000,65199611000000,342941105000000,15240465000000,15286000000000,-45535000000,0,2068679098000000,2107329969000000,-38650871000000,279416922000000,161722749000000,118899792000000,-1205619000000,3755518000000,0,3674877000000,182968000000,-102327000000,11896448000000,6635972000000,0,5260476000000,58001006000000,2856110951000000,2700204641000000,147605567000000,304697708000000,1976945954000000,375751000000,11914656000000,210630789000000,48034216000000,155906310000000,89541970000000,19400591000000,-433828000000,0,42040986000000,0,70213619000000,452623000000,5356591000000,VCI,quarterly
BID,2024,4,2760791854000000,10772890000000,92341029000000,279971515000000,12734060000000,12773340000000,-39280000000,663256000000,2018043649000000,2056082420000000,-38038771000000,277838108000000,157918828000000,121120044000000,-1200764000000,3423594000000,0,3348512000000,182914000000,-107832000000,12119817000000,6799205000000,0,5320612000000,52883936000000,2760791854000000,2615880741000000,168388958000000,232954067000000,1953165486000000,0,11981467000000,198900165000000,50490598000000,144911113000000,84788796000000,19396820000000,-701036000000,0,36192494000000,0,68975153000000,452623000000,5234039000000,VCI,quarterly
BID,2024,3,2575981275000000,11014213000000,47435666000000,257504027000000,13275111000000,13309349000000,-34238000000,55744000000,1914427576000000,1953065238000000,-38637662000000,252241222000000,149878420000000,104039495000000,-1676693000000,3401330000000,0,3300404000000,214786000000,-113860000000,11555180000000,6428898000000,0,5126282000000,65071206000000,2575981275000000,2437541619000000,95416021000000,216251762000000,1873724961000000,0,11608178000000,193317084000000,47223613000000,138439656000000,72818002000000,15715341000000,-682384000000,0,45498918000000,0,57004359000000,452623000000,5089779000000,VCI,quarterly
BID,2024,2,2521071363000000,10282845000000,52441064000000,266793924000000,8185847000000,8224631000000,-38784000000,0,1844886186000000,1882815402000000,-37929216000000,247600890000000,146198303000000,102594720000000,-1192133000000,3410230000000,0,3310155000000,214837000000,-114762000000,11585508000000,6512449000000,0,5073059000000,75884869000000,2521071363000000,2386354090000000,131128722000000,193205817000000,1806924961000000,398343000000,11963263000000,197648493000000,45084491000000,134717273000000,72712639000000,15705624000000,-684676000000,0,41935478000000,0,57004359000000,347260000000,5048208000000,VCI,quarterly
BID,2024,1,2328730752000000,10421506000000,36833913000000,231693608000000,6972570000000,7003036000000,-30466000000,34319000000,1752683396000000,1793930234000000,-41246838000000,220214344000000,125391541000000,96015588000000,-1192785000000,3218494000000,0,3118381000000,214871000000,-114758000000,10891070000000,6235651000000,0,4655419000000,55767532000000,2328730752000000,2199712917000000,57022834000000,167810233000000,1734779072000000,0,12190069000000,180564550000000,47346159000000,129017835000000,72711297000000,15670702000000,-557329000000,0,36136858000000,0,57004359000000,345918000000,5056307000000,VCI,quarterly
BID,2023,4,2300814314000000,11029204000000,51615657000000,211808501000000,6972474000000,7003656000000,-31182000000,0,1737244618000000,1777664882000000,-40420264000000,222393123000000,127572432000000,95722385000000,-901694000000,3113075000000,0,3012284000000,214888000000,-114097000000,11096285000000,6401506000000,0,4694779000000,45541377000000,2300814314000000,2177897270000000,35896488000000,182252124000000,1704269050000000,328155000000,12207729000000,189486736000000,53456988000000,122917044000000,72711297000000,12454226000000,-803451000000,0,33588517000000,0,57004359000000,345918000000,4966455000000,VCI,quarterly
BID,2023,3,2132854577000000,10731001000000,42654276000000,194288953000000,5577810000000,5598114000000,-20304000000,0,1611643506000000,1653452141000000,-41808635000000,207553029000000,128583434000000,79616354000000,-646759000000,3139652000000,0,3038666000000,214905000000,-113919000000,10485941000000,5997552000000,0,4488389000000,46780409000000,2132854577000000,2013766739000000,13241998000000,187836067000000,1583543509000000,397807000000,12498953000000,162017847000000,54230558000000,119087838000000,66282564000000,12431580000000,-475072000000,0,36007993000000,0,50585239000000,345918000000,4840773000000,VCI,quarterly
BID,2023,2,2124767632000000,11488667000000,47536512000000,199656173000000,3423599000000,3444114000000,-20515000000,270403000000,1589707330000000,1629066617000000,-39359287000000,219223829000000,147037878000000,72538241000000,-352290000000,3012561000000,0,2906741000000,219426000000,-113606000000,10612120000000,6111439000000,0,4500681000000,39836438000000,2124767632000000,2010615988000000,51539169000000,191545847000000,1545569148000000,0,12840055000000,156249679000000,52872090000000,114151644000000,66204497000000,12486332000000,-716933000000,0,31423098000000,0,50585239000000,267851000000,4754650000000,VCI,quarterly
BID,2023,1,2106864549000000,12400755000000,74131546000000,174793284000000,1602918000000,1624018000000,-21100000000,196039000000,1554793891000000,1597152494000000,-42358603000000,236748894000000,163982486000000,73147741000000,-381333000000,3026702000000,0,2920663000000,215211000000,-109172000000,10375801000000,5988232000000,0,4387569000000,38794719000000,2106864549000000,1997016087000000,123421894000000,146847411000000,1497395473000000,0,13116035000000,169979258000000,46256016000000,109848462000000,66204497000000,12450446000000,-661693000000,0,27028393000000,0,50585239000000,267851000000,4826819000000,VCI,quarterly
