ticker,yearReport,lengthReport,Profits from other activities,Operating profit before changes in working capital,Net Cash Flows from Operating Activities before BIT,Payment from reserves,Purchase of fixed assets,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Net cash inflows/outflows from operating activities,Proceeds from disposal of fixed assets,Investment in other entities,Proceeds from divestment in other entities,Dividends paid,data_source,period_type
BID,2025,2,-314682000000.0,15762506000000.0,54524430000000.0,0.0,-481374000000.0,118259000000.0,-361366000000.0,0.0,9523000000000.0,63686064000000.0,363837339000000.0,0.0,427523403000000.0,54524430000000.0,2077000000.0,0.0,0.0,0.0,VCI,quarterly
BID,2025,1,-299244000000.0,5947885000000.0,35945372000000.0,0.0,-507275000000.0,1302000000.0,-506151000000.0,4753174000000.0,3673654000000.0,39112875000000.0,324724464000000.0,0.0,363837339000000.0,35945372000000.0,0.0,0.0,0.0,0.0,VCI,quarterly
BID,2024,4,-1684996000000.0,15806521000000.0,60600832000000.0,0.0,-266099000000.0,6036000000.0,-237632000000.0,0.0,2275767000000.0,62638967000000.0,262085497000000.0,0.0,324724464000000.0,60600832000000.0,9545000000.0,-1028000000.0,14108000000.0,-85823000000.0,VCI,quarterly
BID,2024,3,-293231000000.0,10295887000000.0,-15813865000000.0,0.0,-335404000000.0,7901000000.0,-323109000000.0,0.0,0.0,-16136974000000.0,278222471000000.0,0.0,262085497000000.0,-15813865000000.0,7058000000.0,0.0,0.0,0.0,VCI,quarterly
BID,2024,2,-747718000000.0,10107862000000.0,49593439000000.0,0.0,-333775000000.0,70229000000.0,-261720000000.0,0.0,-8637000000.0,49323082000000.0,228899389000000.0,0.0,278222471000000.0,49593439000000.0,2356000000.0,0.0,0.0,-8637000000.0,VCI,quarterly
BID,2024,1,-391629000000.0,3659336000000.0,4466366000000.0,0.0,-309550000000.0,3939000000.0,-305979000000.0,0.0,0.0,4160387000000.0,224739002000000.0,0.0,228899389000000.0,4466366000000.0,937000000.0,0.0,0.0,0.0,VCI,quarterly
BID,2023,4,-2805333000000.0,8944734000000.0,28792874000000.0,-1164000000.0,-607584000000.0,180591000000.0,-422372000000.0,0.0,-74839000000.0,28294499000000.0,196443803000000.0,0.0,224738302000000.0,28791710000000.0,6626000000.0,0.0,0.0,-74839000000.0,VCI,quarterly
BID,2023,3,-377770000000.0,12630996000000.0,-10520343000000.0,0.0,125811000000.0,33894000000.0,162695000000.0,0.0,-44855000000.0,-10402503000000.0,206846306000000.0,0.0,196443803000000.0,-10520343000000.0,3242000000.0,0.0,0.0,-44855000000.0,VCI,quarterly
BID,2023,2,-58234000000.0,14058342000000.0,-5194200000000.0,0.0,-1144474000000.0,50232000000.0,-1093132000000.0,0.0,0.0,-6287332000000.0,213133638000000.0,0.0,206846306000000.0,-5194200000000.0,1257000000.0,0.0,0.0,0.0,VCI,quarterly
BID,2023,1,-123400000000.0,14576731000000.0,-84390513000000.0,0.0,-207725000000.0,43941000000.0,-163230000000.0,0.0,0.0,-84553743000000.0,297687381000000.0,0.0,213133638000000.0,-84390513000000.0,585000000.0,0.0,0.0,0.0,VCI,quarterly
BID,2022,4,-1093873000000.0,11321225000000.0,42949115000000.0,-980000000.0,-406208000000.0,77643000000.0,-325126000000.0,0.0,0.0,42623009000000.0,255033275000000.0,0.0,297656284000000.0,42948135000000.0,3274000000.0,933000000.0,0.0,0.0,VCI,quarterly
BID,2022,3,-191468000000.0,14869568000000.0,32846033000000.0,0.0,-162842000000.0,6352000000.0,-152398000000.0,0.0,0.0,32693635000000.0,222339640000000.0,0.0,255033275000000.0,32846033000000.0,4794000000.0,1000000.0,0.0,0.0,VCI,quarterly
BID,2022,2,-210592000000.0,11339697000000.0,42221051000000.0,0.0,-247796000000.0,78645000000.0,-168352000000.0,0.0,0.0,42052699000000.0,180286941000000.0,0.0,222339640000000.0,42221051000000.0,892000000.0,-1000000.0,0.0,0.0,VCI,quarterly
BID,2022,1,-58683000000.0,10659930000000.0,15322813000000.0,0.0,-216078000000.0,2926000000.0,-213199000000.0,0.0,-152939000000.0,14956675000000.0,165330266000000.0,0.0,180286941000000.0,15322813000000.0,908000000.0,-933000000.0,0.0,-152939000000.0,VCI,quarterly
BID,2021,4,-1674491000000.0,8509689000000.0,22019759000000.0,-895000000.0,-1226349000000.0,37135000000.0,-1189802000000.0,0.0,-651464000000.0,20177598000000.0,145168049000000.0,0.0,165345647000000.0,22018864000000.0,3998000000.0,0.0,0.0,-651464000000.0,VCI,quarterly
BID,2021,3,-285289000000.0,10309438000000.0,1140080000000.0,0.0,-131652000000.0,8621000000.0,-124301000000.0,0.0,0.0,1015779000000.0,144152270000000.0,0.0,145168049000000.0,1140080000000.0,905000000.0,-1962000000.0,0.0,0.0,VCI,quarterly
BID,2021,2,-109197000000.0,12765986000000.0,-5997022000000.0,0.0,-337647000000.0,42112000000.0,-293098000000.0,0.0,-610163000000.0,-6900283000000.0,151052550000000.0,3000000.0,144152270000000.0,-5997022000000.0,2697000000.0,-164000000.0,0.0,-610163000000.0,VCI,quarterly
BID,2021,1,-76944000000.0,8148562000000.0,52492867000000.0,0.0,-161256000000.0,573000000.0,-211555000000.0,0.0,0.0,52281312000000.0,98771238000000.0,0.0,151052550000000.0,52492867000000.0,776000000.0,-51599000000.0,0.0,0.0,VCI,quarterly
BID,2020,4,-1898932000000.0,8715518000000.0,-20303257000000.0,0.0,-290951000000.0,6939000000.0,-279323000000.0,0.0,-2605859000000.0,-23188439000000.0,121984384000000.0,0.0,98795945000000.0,-20303257000000.0,4561000000.0,0.0,0.0,-2605859000000.0,VCI,quarterly
BID,2020,3,-210771000000.0,6859027000000.0,24361535000000.0,-4129000000.0,-345175000000.0,26764000000.0,-316418000000.0,0.0,0.0,24040988000000.0,97943396000000.0,0.0,121984384000000.0,24357406000000.0,2159000000.0,860000000.0,0.0,0.0,VCI,quarterly
BID,2020,2,149386000000.0,8077805000000.0,-21184697000000.0,4129000000.0,-164448000000.0,96496000000.0,-66571000000.0,0.0,0.0,-21247139000000.0,119190535000000.0,0.0,97943396000000.0,-21180568000000.0,1561000000.0,52000000.0,0.0,0.0,VCI,quarterly
BID,2020,1,-94019000000.0,5097179000000.0,-50824726000000.0,-198000000.0,-261059000000.0,4788000000.0,-256943000000.0,0.0,0.0,-51081867000000.0,170272402000000.0,0.0,119190535000000.0,-50824924000000.0,264000000.0,-912000000.0,0.0,0.0,VCI,quarterly
BID,2019,4,-229167000000.0,9724575000000.0,4405041000000.0,-195000000.0,-249780000000.0,6981000000.0,-251134000000.0,20295103000000.0,15508902000000.0,19662614000000.0,151099678000000.0,0.0,170762292000000.0,4404846000000.0,3680000000.0,1369000000.0,0.0,-4786201000000.0,VCI,quarterly
BID,2019,3,-102884000000.0,9461341000000.0,25991881000000.0,0.0,-47701000000.0,2760000000.0,-44276000000.0,0.0,-40221000000.0,25907384000000.0,125192294000000.0,0.0,151099678000000.0,25991881000000.0,725000000.0,26000000.0,0.0,-40221000000.0,VCI,quarterly
BID,2019,2,-22128000000.0,8172702000000.0,20496648000000.0,-183000000.0,9776000000.0,96327000000.0,104917000000.0,0.0,-17808000000.0,20583574000000.0,104608720000000.0,0.0,125192294000000.0,20496465000000.0,221000000.0,-1395000000.0,0.0,-17808000000.0,VCI,quarterly
BID,2019,1,38545000000.0,6941072000000.0,-16660896000000.0,0.0,-142385000000.0,4993000000.0,-137483000000.0,0.0,0.0,-16798379000000.0,121407099000000.0,0.0,104608720000000.0,-16660896000000.0,650000000.0,0.0,0.0,0.0,VCI,quarterly
BID,2018,4,-385776000000.0,7997922000000.0,30193107000000.0,-144000000.0,1804822000000.0,28029000000.0,1856686000000.0,0.0,-92612000000.0,31957037000000.0,89450062000000.0,0.0,121407099000000.0,30192963000000.0,-604000000.0,0.0,27239000000.0,-92612000000.0,VCI,quarterly
BID,2018,3,-121349000000.0,6519862000000.0,-23738089000000.0,0.0,-172763000000.0,58587000000.0,-77697000000.0,0.0,0.0,-23815786000000.0,113265848000000.0,0.0,89450062000000.0,-23738089000000.0,9764000000.0,0.0,28981000000.0,0.0,VCI,quarterly
BID,2018,2,-91822000000.0,6819486000000.0,9823329000000.0,-186000000.0,-187717000000.0,35891000000.0,-152645000000.0,0.0,0.0,9670498000000.0,103595348000000.0,0.0,113265846000000.0,9823143000000.0,-762000000.0,0.0,0.0,0.0,VCI,quarterly
BID,2018,1,-67034000000.0,7033557000000.0,3173127000000.0,-185000000.0,-329938000000.0,5687000000.0,-319272000000.0,0.0,0.0,2853670000000.0,100741680000000.0,0.0,103595350000000.0,3172942000000.0,5017000000.0,0.0,0.0,0.0,VCI,quarterly
BID,2017,4,-129559000000.0,9385415000000.0,20088700000000.0,-198000000.0,-206259000000.0,8813000000.0,-172342000000.0,0.0,-10382000000.0,19905778000000.0,80549874000000.0,0.0,100455652000000.0,20088502000000.0,8083000000.0,0.0,19332000000.0,-10382000000.0,VCI,quarterly
BID,2017,3,-108343000000.0,5549780000000.0,13216379000000.0,-190000000.0,-326211000000.0,96571000000.0,92260000000.0,0.0,-2469783000000.0,10838666000000.0,69711208000000.0,0.0,80549874000000.0,13216189000000.0,2192000000.0,0.0,319862000000.0,-2469783000000.0,VCI,quarterly
