rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
44.2,37.0,40100,50,0.001,-0.078,11728805,BID: Quyết định về việc chấm dứt hoạt động Chi nhánh Bình Hưng,TCBS,2025-10-02 18:10:58
44.2,37.0,40100,50,0.001,-0.078,11728294,"BID: HĐQT thông qua việc cấp hạn mức đối với  Keb Hana Bank Co.,LTD",TCBS,2025-10-02 13:46:06
43.8,36.0,40050,50,0.001,-0.079,11727574,BID: Công bố thông tin các nội dung liên quan đến chi trả cổ tức bằng tiền mặt,TCBS,2025-10-01 17:36:53
43.8,36.0,40050,50,0.001,-0.079,11727571,BID: Quyết định về việc chấm dứt hoạt động Chi nhánh Thành Nam,TCBS,2025-10-01 17:35:14
43.8,36.0,40050,50,0.001,-0.079,11727429,"VietinBank và BIDV cùng trả cổ tức 2024 với tỷ lệ 4,5%",TCBS,2025-10-01 16:19:00
43.8,36.0,40050,50,0.001,-0.079,11727431,"BID: Nghị quyết HĐQT về việc thông qua hợp đồng, giao dịch làm đại lý quản lý tài sản bảo đảm tại Lào giữa BIDV và NH Liên doanh Lào Việt",TCBS,2025-10-01 16:05:37
49.3,32.0,40550,-350,-0.009,-0.03,11723250,BID: Thông báo về việc chấm dứt hoạt động đối với 06 chi nhánh và chuyển 04 chi nhánh thành PGD,TCBS,2025-09-26 16:28:20
49.9,53.0,40850,-150,-0.004,-0.004,11719256,BID: Quyết định về việc thay đổi địa chỉ trụ sở Chi nhánh và các PGD trực thuộc - Chi nhánh Hà Giang,TCBS,2025-09-23 17:48:05
48.1,48.0,40650,-50,-0.001,0.011,11708602,BID: HĐQT thông qua phụ lục hợp đồng đại lý bảo hiểm năm 2025 với BML,TCBS,2025-09-11 17:06:45
48.1,48.0,40650,-50,-0.001,0.011,11708600,BID: HĐQT thông qua hợp đồng thuê thêm diện tích trụ sở CN Hoàn Kiếm,TCBS,2025-09-11 17:05:19
48.1,48.0,40650,-50,-0.001,0.011,11708045,BID: Quyết định của NHNN về việc sửa đổi nội dung địa chỉ trụ sở chính tại Giấy phép thành lập và hoạt động,TCBS,2025-09-11 11:04:06
48.1,48.0,40650,-50,-0.001,0.011,11708044,BID: Giấy ủy quyền thực hiện công bố thông tin,TCBS,2025-09-11 11:04:00
66.7,64.0,43250,950,0.022,0.112,11682712,BID: Quyết định của HĐQT số 897 ngày 22/08/2025,TCBS,2025-08-22 17:30:16
58.9,47.0,42300,1600,0.039,0.11,11681112,BID: HĐQT thông qua hợp đồng/giao dịch liên quan đến CTCP Đầu tư và Phát triển Ngân Lực,TCBS,2025-08-21 17:19:33
63.0,48.0,41500,1300,0.032,0.074,11670577,BID: Quyết định về việc thay đổi địa chỉ trụ sở Chi nhánh Quy Nhơn,TCBS,2025-08-12 17:18:42
