officer_name,officer_position,officer_own_percent
Tran Luc Lang,,0.0001
Tran Phuong,Spokesman,0.0
Le Kim Hoa,Member of Management Board,0.0
Le Dao Nguyen,Member of Management Board,0.0
Phan Duc Tu,Legal Representative,0.0
Tran Phuong,Deputy General Director,0.0
Phan Duc Tu,Chairman of Management Board,0.0
Tran Bac Ha,,0.0
Tran Anh Tuan,,0.0
Nguyen Phuoc Hoa,,0.0
Hoang Huy Ha,,0.0
Hoang Thi Giang Ha,,0.0
Huynh Nam Dung,,0.0
Nguyen Trung Hieu,,0.0
Tran Thanh Van,,0.0
Pham Duc An,,0.0
Phan Thi Chinh,,0.0
Le Thi Kim Khuyen,,0.0
Nguyen Huy Tua,,0.0
Tran Thi Kim Anh,,0.0
