Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,data_source,period_type
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Dividend yield (%),Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),,
BID,2025,2,17.3832715743,0.07249581549553695,2.3177456442742717,0.4505817907218319,0.1698142672,0.0,0.0091400579,0.0,18.383271574293566,281556612871700,7021361917,10.8884238796,1.7892332305,3.3657934546,2.0573711132,962.0642091735663,22411.8350343113,VCI,yearly
BID,2025,1,17.3194057444,0.07630510913894377,2.2204568265100013,0.4187973052975049,0.1753929381,0.0,0.0093962541,0.0,18.319405744385843,271375638092050,7021361917,10.6088555207,1.8025648928,3.3180356377,2.0487209433,831.8005921129617,21441.6691205579,VCI,yearly
BID,2024,4,18.0516227282,0.08363621498097251,2.0638604691369595,0.49940867956724616,0.187767754,0.0,0.0099335136,0.0,19.051622728203046,256279709970500,7021361917,10.0372530992,1.7737789849,3.1615713305,2.5528088494,1112.336480062405,20577.5354823089,VCI,yearly
BID,2024,3,17.6072498981,0.08346726894496184,1.9716923530862625,0.368221560339575,0.178286575,0.0,0.009624827,0.0,18.60724989810723,269003095452000,6897515268,11.4937934755,2.0172729177,3.5744925638,4.0127167156,746.836766552555,19333.0310726033,VCI,yearly
BID,2024,2,17.7137945035,0.08599868258912871,1.9186772394373357,0.42903731512627613,0.1806127058,0.0,0.0098393228,0.0,18.713794503545213,281601533460000,5700435900,12.3315997054,2.1716940232,3.7109192448,3.8932251452,1116.7486332054011,22747.2192082714,VCI,yearly
BID,2024,1,17.0496808988,0.08441522832870355,1.8375044118951374,0.4292514193552199,0.1805202316,0.0,0.0098550849,0.0,18.049680898768763,265640312940000,5700435900,12.1319400734,2.1429254481,3.6430567901,15.1417799855,1019.684827962016,21745.973496518,VCI,yearly
BID,2023,4,17.7265157173,0.0902745838892774,1.7506154141178136,0.40851765757254244,0.1894828352,0.0,0.009727331,0.0,18.718431871824055,304403277060000,5700435900,14.1550542785,2.5818607243,4.1691644801,-4.2864653562,1065.5825460645913,20682.7577869966,VCI,yearly
BID,2023,3,16.9099277711,0.08805215692974458,1.69607890047181,0.33250004208053113,0.175847658,0.0,0.0092699331,0.0,17.909927771129745,262220051400000,5700435900,13.3351133448,2.2952016439,3.7405255667,-4.5877218485,803.9525538739941,20041.8120656352,VCI,yearly
BID,2023,2,17.6135526178,0.09296510876356717,1.6257763856840652,0.40053581599369553,0.1897692571,0.0,0.0096934566,0.0,18.613552617779206,213216778844400,5058523816,10.4728745844,1.9490186252,3.05598946,-15.4610845608,1072.6714348635182,21626.2684489059,VCI,yearly
BID,2023,1,18.1797364355,0.09445558737090011,1.5644893867959833,0.3923941064823083,0.196535542,0.0,0.0097342838,0.0,19.179736435454146,236233062207200,5058523816,11.7583409885,2.2493750379,3.3439738857,7.0255801234,1081.0426517521412,20761.3222394681,VCI,yearly
BID,2022,4,19.353291926,0.1010714255040026,1.48412183037737,0.28270586194356456,0.1906214078,0.0,0.0093544949,0.0,20.34946686388582,224851383621200,5058523816,12.3827057626,2.2605431811,3.2314384304,1.6967623413,806.3492727064785,19663.4155769684,VCI,yearly
BID,2022,3,19.3017240515,0.1003897049949735,1.437400054192364,0.3743649379274635,0.1749070102,0.0,0.0084969443,0.0,20.301724051489295,211446295508800,5058523816,13.0323868865,2.1966793014,3.1481851241,1.881048167,1043.3786993956498,19028.722113661,VCI,yearly
BID,2022,2,20.0747929734,0.10924399328649359,1.3375971800087456,0.35310520981341664,0.1459508447,0.0,0.0071442705,0.0,21.074792973440243,164149097829200,5058523816,12.6319656386,1.8050277169,2.53094844,2.0339948584,1019.6371881626425,17977.5632789074,VCI,yearly
BID,2022,1,19.56713295,0.11698086744738917,1.2794914442807235,0.27843289611737226,0.1326014912,0.0,0.0066269825,0.0,20.567132949994004,182359783566800,5058523816,15.8634528891,2.1050104279,2.8486160673,5.6304318016,705.9688023419993,17125.8058973622,VCI,yearly
BID,2021,4,19.4067608964,0.12436695902683263,1.2300554510783808,0.2043337622949468,0.1270082541,0.0,0.0064300863,0.0,20.400687672885752,188430012146000,5058523816,17.8773760511,2.2665518737,3.0151793484,2.7352245142,438.40932269320365,16434.6558450601,VCI,yearly
BID,2021,3,18.6083773067,0.12070102385141719,1.2250934222851284,0.1678060537691297,0.1201559249,0.0,0.0062400475,0.0155902004,19.6083773066604,227127719338400,5058523816,22.7320462563,2.7421840401,3.6268963764,8.3391944441,404.8643585549939,16373.8098332203,VCI,yearly
BID,2021,2,18.4247880181,0.12007445193297907,1.2041611157415573,0.28297482779831273,0.1225683915,0.0,0.0064998553,0.0175438596,19.42478801814485,160478519796000,4022018040,15.9650506811,1.972382213,2.6849812328,3.1807214747,909.6707084884184,20229.3448688758,VCI,yearly
BID,2021,1,17.949975967407227,0.1244964977940222,1.1716144954844947,0.24451709402774813,0.10368546098470688,0.0,0.005593821872025728,0.0166666667,18.94997551398805,168924757680000,4022018040,20.1672449325,2.137525841,3.1692738303,4.7764133708,658.4100254309153,19648.8852645723,VCI,yearly
BID,2020,4,18.042689625,0.1305199447584254,1.136367245317715,0.15490712042949242,0.0889591876,0.0,0.0046541089,0.0170731707,19.011144719843372,164902739640000,4022018040,23.5689076814,2.1580733779,3.2956065526,-2.4281536576,406.92408231963077,18998.4272173976,VCI,yearly
BID,2020,3,17.022997143,0.12486151124023025,1.1598992611791898,0.23056565688157932,0.1067635754,0.0,0.0058057982,0.0175438596,18.022997143014138,160478519796000,4022018040,18.703023457,2.0510062899,3.3114628494,-3.6724090792,524.2042623956008,19453.8652541698,VCI,yearly
BID,2020,2,17.1558128453,0.12953595417088754,1.134340359341998,0.28578033022709326,0.1107414555,0.0,0.0056453689,0.0181112549,18.155812845272532,155450997246000,4022018040,18.0409770099,2.0321259369,3.2618702041,-3.5538848561,493.0465204974565,19019.4905242146,VCI,yearly
BID,2020,1,17.2421662944,0.13116742091814138,1.1289735372859002,0.15404752023003174,0.1157404818,0.0,0.0055029411,0.0188172043,18.242166294404097,149619071088000,4022018040,17.2398629086,1.9660873075,3.0660241956,2001.7004110599,350.40295343876676,18920.8281124468,VCI,yearly
BID,2019,4,18.1873804948,0.13636620817232847,1.1075669210515076,0.3115831388355936,0.1265992399,0.0,0.0059711067,0.0196629213,19.161321805252307,143183842224000,4022018040,17.1098756992,1.9213493601,2.9754811435,4.2431300077,743.468818454131,18528.6448889225,VCI,yearly
BID,2019,3,23.0059038348,0.17218082759317582,0.8456621479123222,0.20726065894739126,0.1263591344,0.0,0.0052616353,0.0,24.005903834818195,211960350708000,4022018040,26.1016352326,3.7675019106,4.6195671102,3.1356519702,450.98753460588654,13988.0486463457,VCI,yearly
BID,2019,2,23.3377205115,0.18063642396222046,0.8193349905623445,0.18822443839199893,0.128477175,0.0,0.005371062,0.0,24.337720511451067,137090484893400,3418715334,19.1746849077,2.517617242,3.0355950749,13.3221167961,501.0847153499795,15927.7587280977,VCI,yearly
BID,2019,1,22.7049251238,0.18672213884618494,0.8068563146251503,0.23046787778471098,0.1346810184,0.0,0.005661108,0.0,23.704925123784026,122390008957200,3418715334,16.6538633368,2.2852360293,2.7868149339,-319.6571442675,576.0526418839879,15665.7778632118,VCI,yearly
BID,2018,4,23.0697063994,0.19502845568872976,0.778952953095581,0.18352259222221984,0.1423385483,0.0,0.0058504402,0.0,24.007370764425044,118971293623200,3418715334,16.1692593929,2.3095570599,2.6745302206,6.1164737537,501.3842430672527,15067.824304555,VCI,yearly
BID,2018,3,22.6115845129,0.18762335273420322,0.7650927075833285,0.2150709920508974,0.1611028467,0.0,0.0067068393,0.0222222222,23.61158451292042,107689533021000,3418715334,12.9351512311,2.1295951375,2.4383481305,11.5219124799,512.7774116100186,14791.5439162447,VCI,yearly
BID,2018,2,0.0,0.1914435625421688,0.7576863097057186,0.23044789686454242,0.0,0.0,0.0,0.022875817,23.839645707591394,104612689220400,3418715334,12.9512743486,2.0884177786,2.3678465975,2.25941544,559.4370437863429,14652.2407121248,VCI,yearly
BID,2018,1,23.1508724265,0.19993964558878777,0.723552589946917,0.21582595432506624,0.1451545166,0.0,0.0060655587,0.0266159696,24.150872426537468,89912213284200,3418715334,12.7411111843,1.8798389586,2.1167975768,1.7925167981,578.6334358776419,13990.5601381899,VCI,yearly
BID,2017,4,23.6198058075,0.21066005318947836,0.69766561785395,0.33483672414139715,0.1459848802,0.0,0.0061454674,0.0207715134,24.5309021045928,115210706755800,3418715334,16.9759287799,2.5066897727,2.9528547442,3.2031670598,784.3768018153453,13444.0250113837,VCI,yearly
BID,2017,3,23.1943033652,0.21302128287227126,0.6627789102756203,0.1668635075233562,0.1247671251,0.0,0.0054104032,0.0239726027,24.194303365219255,99826487752800,3418715334,17.3328469548,2.2811210778,2.7187433063,3.5443208101,440.2545555727747,12800.7234179459,VCI,yearly
BID,2017,2,21.8337405333,0.20586853226888216,0.6856182257667832,0.12410622161029258,0.1352072091,0.0,0.0060945843,0.0333333333,22.833740533314504,71793022014000,3418715334,11.5418280496,1.5883926614,2.1178666648,6.6704160867,260.9193550363032,13220.9122532081,VCI,yearly
BID,2017,1,22.2238426287,0.20819987441140317,0.6515967919162313,0.2679611487859032,0.1451298722,0.0,0.0064628734,0.0341463415,22.43125469102086,70083664347000,3418715334,11.0830968441,1.5885030587,2.2100505481,3.9320186623,533.4398514737525,12905.2316816203,VCI,yearly
BID,2016,4,22.6198556401,0.21986752094265868,0.6297553739957712,0.21884171511913206,0.1470244317,0.0,0.0066099161,0.0428134557,22.76558723347938,55895995710900,3418715334,9.1072147759,1.3139478637,1.8366265644,5.2462487952,450.04887792158013,12443.4160984391,VCI,yearly
BID,2016,3,20.3181914207,0.18269440320829017,0.6539052471976428,0.3021999601262127,0.1508284364,0.0,0.0071764238,0.0411764706,20.699514216588597,58118160678000,3418715334,9.0220093235,1.3055851633,1.9821368984,-4.1276108551,575.0610413355931,13020.9813025378,VCI,yearly
BID,2016,2,0.0,0.18763111378543007,0.6326530881772235,0.2181441695502754,0.0,0.0,0.0,0.0409356725,20.94641056388301,58460032211400,3418715334,8.9366432317,1.3583897701,2.1413196262,-636.4338795024,291.1137379886921,12588.4340237399,VCI,yearly
BID,2016,1,19.2475817604,0.19331220936511057,0.623287084718439,0.2942183004463774,0.1543751385,0.0,0.0075845186,0.0397727273,19.627486098950346,60169389878400,3418715334,9.4472567278,1.4206530934,2.3025306388,7.4324746533,485.3519049971886,12388.6683398293,VCI,yearly
BID,2015,4,0.0,0.20851121442394474,0.5829882077562759,0.32477406854262436,0.0,0.0,0.0,0.04,20.783555227046108,59827518345000,3418715334,10.2756467288,1.4609993628,2.4209744782,8.7023350295,531.5768709744232,11978.1024175953,VCI,yearly
BID,2015,3,0.0,0.18991840751877734,0.5654153634194441,0.3846466561219068,0.0,0.0,0.0,0.0548780488,19.802622170522067,56066931477600,3418715334,8.2069345023,1.4122702783,2.2715580313,2.4738854812,587.8430356611844,11612.5080669923,VCI,yearly
BID,2015,2,0.0,0.21722192365500972,0.5019574751540329,0.1579369831293841,0.0,0.0,0.0,0.0382978723,20.563975015386198,80339810349000,3418715334,12.475266207,2.0990914788,3.410937621,6.945324736,180.31802585877423,11195.3196121232,VCI,yearly
BID,2015,1,0.0,0.1890185711044341,0.4971377406922521,0.4039338625323889,0.0,0.0,0.0,0.0401785714,18.971200492525032,76579223526400,3418715336,12.2721745525,1.8040230013,3.2940778208,-2.9827633234,542.4988095586792,12416.6931262798,VCI,yearly
BID,2014,4,18.5365400722,0.19995900365856864,0.47522178564164735,0.3097438958085017,0.1515171429,0.0,0.0082552395,0.0526315789,19.491201735429836,48071565212400,2811202644,9.7155744381,1.4448372062,2.1943849135,3.942663584,515.473567326013,11835.2433936992,VCI,yearly
BID,2014,3,17.6789060261,0.16555340105450073,0.45643038577982764,0.442223879594402,0.1362076642,9.7310860753,0.0077456922,0.0555555555,18.689135335395985,45541482832800,2811202644,10.2326434458,1.4210562169,2.1302238266,0.0,559.9041690322201,11399.9712376341,VCI,yearly
BID,2014,2,16.4553762318,0.15424020514692072,0.4718876108604957,0.09562828630151772,0.1232608009,7.989101531,0.0071742707,0.0676691729,17.464460334440016,37388995165200,2811202644,9.3224939232,1.1284539962,1.8013206103,-12.5946598214,140.59028337979893,11786.0365102872,VCI,yearly
BID,2014,1,16.0988315068,0.15377512123237935,0.47640971887566924,0.439254305394856,0.1420279491,8.950196452,0.0081596703,0.0604026845,17.10777177634276,41886919395600,2811202644,9.0829103679,1.2522079278,2.0896395475,10.3020503096,546.5554846860055,11898.9823239591,VCI,yearly
