ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Business income tax - deferred,Minority Interest,Net Profit For the Year,Attributable to parent company,EPS_basis,data_source,period_type
BID,2025,2,37527165000000,0.10709748530639666,6755001000000,0.06111369953348705,37527165000000,-22535434000000,14991731000000,3590607000000,-1703905000000,1886702000000,1357097000000,47274000000,797832000000,3512666000000,-614527000000,2898139000000,110420000000,22089195000000,-7365592000000,14723603000000,-6098103000000,8625500000000,-1727313000000,-1732963000000,5650000000,-143186000000,6898187000000,6755001000000,0,VCI,yearly
BID,2025,1,35286235000000,0.05031116518636068,5840373000000,0.004769771023464693,35286235000000,-21340651000000,13945584000000,2849210000000,-1310322000000,1538888000000,863527000000,214025000000,-5008000000,1745835000000,-529558000000,1216277000000,125117000000,17898410000000,-5906818000000,11991592000000,-4578467000000,7413125000000,-1457863000000,-1457863000000,0,-114889000000,5955262000000,5840373000000,0,VCI,yearly
BID,2024,4,36469243000000,-0.02738601271513164,7810117000000,0.2857672960685908,36469243000000,-20830514000000,15638729000000,3372210000000,-1404671000000,1967539000000,1438799000000,102793000000,5164422000000,3964823000000,-2015616000000,1949207000000,144692000000,26406181000000,-9558439000000,16847742000000,-6909598000000,9938144000000,-1991721000000,-1989607000000,-2114000000,-136306000000,7946423000000,7810117000000,3204,VCI,yearly
BID,2024,3,34326293000000,-0.09914876767406165,5151318000000,0.12403510456306951,34326293000000,-20336569000000,13989724000000,3013677000000,-1538699000000,1474978000000,732488000000,-63874000000,-485528000000,2032606000000,-527789000000,1504817000000,105983000000,17258588000000,-6307180000000,10951408000000,-4453129000000,6498279000000,-1284413000000,-1286319000000,1906000000,-62548000000,5213866000000,5151318000000,0,VCI,yearly
BID,2024,2,33896893000000,-0.1402337966773458,6365954000000,0.17320250476674554,33896893000000,-19059130000000,14837763000000,3781124000000,-1842209000000,1938915000000,1725068000000,78745000000,512528000000,2045849000000,-1013428000000,1032421000000,99423000000,20224863000000,-6708592000000,13516271000000,-5357739000000,8158532000000,-1630363000000,-1634617000000,4254000000,-162215000000,6528169000000,6365954000000,0,VCI,yearly
BID,2024,1,33595982000000,-0.1096913288431146,5812648000000,0.06293668441687636,33595982000000,-20054622000000,13541360000000,3298301000000,-1605288000000,1693013000000,1465144000000,166849000000,-291092000000,1148615000000,-648299000000,500316000000,95644000000,17171234000000,-5392606000000,11778628000000,-4388714000000,7389914000000,-1474335000000,-1474084000000,-251000000,-102931000000,5915579000000,5812648000000,0,VCI,yearly
BID,2023,4,37496112000000,0.10304607015712124,6074285000000,0.48918333379505496,37496112000000,-22627024000000,14869088000000,3235666000000,-1618754000000,1616912000000,1567446000000,11683000000,3137818000000,2408324000000,-3084781000000,-676457000000,75128000000,20601618000000,-7829831000000,12771787000000,-4885023000000,7886764000000,-1696139000000,-1698137000000,1998000000,-116340000000,6190625000000,6074285000000,0,VCI,yearly
BID,2023,3,38104286000000,0.2442560774990954,4582880000000,-0.13169416342235518,38104286000000,-24321190000000,13783096000000,2894636000000,-1130384000000,1764252000000,1682640000000,114410000000,-294874000000,1478082000000,-737064000000,741018000000,96319000000,17886861000000,-6044456000000,11842405000000,-5949617000000,5892788000000,-1164853000000,-1164722000000,-131000000,-145055000000,4727935000000,4582880000000,0,VCI,yearly
BID,2023,2,39425710000000,0.33955475802470586,5426134000000,0.05201286037481831,39425710000000,-25878522000000,13547188000000,3088401000000,-1414487000000,1673914000000,784558000000,113573000000,28924000000,1407098000000,-372014000000,1035084000000,73920000000,17257161000000,-6373642000000,10883519000000,-3932886000000,6950633000000,-1400796000000,-1403782000000,2986000000,-123703000000,5549837000000,5426134000000,0,VCI,yearly
BID,2023,1,37735207000000,0.4001210475645615,5468480000000,0.5312895529743836,37735207000000,-23799014000000,13936193000000,2673226000000,-1155827000000,1517399000000,672727000000,65730000000,-165000000,1248911000000,-272307000000,976604000000,109908000000,17278396000000,-4831771000000,12446625000000,-5527046000000,6919579000000,-1360538000000,-1360181000000,-357000000,-90561000000,5559041000000,5468480000000,0,VCI,yearly
