time,symbol,open,high,low,close,volume
2015-10-05,CTG,12.16,12.4,12.1,12.34,1129910.0
2015-10-06,CTG,12.53,12.59,12.4,12.53,3176750.0
2015-10-07,CTG,12.53,12.59,12.34,12.34,1649740.0
2015-10-08,CTG,12.34,12.59,12.28,12.53,3609910.0
2015-10-09,CTG,12.65,12.78,12.59,12.59,3440530.0
2015-10-10,CTG,12.65,12.78,12.59,12.59,3440530.0
2015-10-11,CTG,12.65,12.78,12.59,12.59,3440530.0
2015-10-12,CTG,12.53,12.71,12.53,12.59,2117090.0
2015-10-13,CTG,12.53,12.59,12.47,12.59,945280.0
2015-10-14,CTG,12.59,12.59,12.47,12.47,1604230.0
2015-10-15,CTG,12.53,12.84,12.47,12.78,4435440.0
2015-10-16,CTG,12.84,13.21,12.84,13.02,5436700.0
2015-10-17,CTG,12.84,13.21,12.84,13.02,5436700.0
2015-10-18,CTG,12.84,13.21,12.84,13.02,5436700.0
2015-10-19,CTG,12.96,13.21,12.9,13.08,1986760.0
2015-10-20,CTG,13.08,13.08,12.71,12.9,2264460.0
2015-10-21,CTG,12.84,12.96,12.71,12.84,2161940.0
2015-10-22,CTG,12.78,12.9,12.71,12.84,793320.0
2015-10-23,CTG,12.96,13.15,12.84,13.02,2182270.0
2015-10-24,CTG,12.96,13.15,12.84,13.02,2182270.0
2015-10-25,CTG,12.96,13.15,12.84,13.02,2182270.0
2015-10-26,CTG,13.15,13.15,12.9,12.9,1456540.0
2015-10-27,CTG,12.9,12.96,12.78,12.9,1027720.0
2015-10-28,CTG,12.9,12.9,12.78,12.78,1329310.0
2015-10-29,CTG,12.84,12.96,12.71,12.9,1719090.0
2015-10-30,CTG,12.9,13.02,12.84,12.84,1748110.0
2015-10-31,CTG,12.9,13.02,12.84,12.84,1748110.0
2015-11-01,CTG,12.9,13.02,12.84,12.84,1748110.0
2015-11-02,CTG,12.84,12.96,12.78,12.9,1353930.0
2015-11-03,CTG,12.9,12.96,12.78,12.96,1116870.0
2015-11-04,CTG,12.96,13.08,12.84,12.9,1402290.0
2015-11-05,CTG,12.78,12.9,12.78,12.9,1007490.0
