ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Minority Interest,Paid-in capital (Bn. VND),Other Reserves,MINORITY INTERESTS,data_source,period_type
CTG,2025,2,2609788006000000,11463197000000,13692083000000,428879341000000,2209173000000,2326459000000,-117286000000,0,1865914070000000,1899351501000000,-33437431000000,227708956000000,208353252000000,19874993000000,-519289000000,4231173000000,4004046000000,234462000000,-7335000000,9957216000000,6117422000000,3839794000000,45732797000000,2609788006000000,2445961810000000,138527513000000,306985657000000,1719957759000000,641551000000,2163542000000,227953926000000,49731862000000,163826196000000,64067733000000,25343661000000,409359000000,72903163000000,0,53699917000000,1393150000000,1102280000000,VCI,yearly
CTG,2025,1,2469863401000000,11517746000000,13043069000000,406579256000000,3066934000000,3211458000000,-144524000000,0,1762190229000000,1800459242000000,-38269013000000,215370170000000,191116235000000,24769426000000,-515491000000,4071083000000,3843956000000,234462000000,-7335000000,9800697000000,5998739000000,3801958000000,44224217000000,2469863401000000,2315881229000000,138574667000000,309038693000000,1621227454000000,532504000000,2115411000000,203356202000000,41036298000000,153982172000000,63583999000000,25314098000000,229673000000,63803161000000,0,53699917000000,909405000000,1051241000000,VCI,yearly
CTG,2024,4,2385387732000000,11147549000000,34431657000000,378482885000000,2798875000000,2990692000000,-191817000000,0,1685290589000000,1721954714000000,-36664125000000,214607153000000,188557477000000,26635861000000,-586185000000,3933844000000,3706673000000,234462000000,-7291000000,10002157000000,6149216000000,3852941000000,44693023000000,2385387732000000,2236883024000000,154284104000000,276141255000000,1606316685000000,390841000000,2179950000000,151678090000000,45892099000000,148504708000000,63583999000000,25316757000000,243105000000,58390118000000,0,53699917000000,909405000000,970729000000,VCI,yearly
CTG,2024,3,2229791111000000,10239086000000,26611768000000,378231233000000,3234357000000,3417931000000,-183574000000,350654000000,1569844441000000,1605381436000000,-35536995000000,181055780000000,159435714000000,22215768000000,-595702000000,3761550000000,3541519000000,234462000000,-14431000000,9622806000000,5780898000000,3841908000000,46839436000000,2229791111000000,2088805155000000,95457490000000,298636949000000,1516890438000000,0,2104778000000,131825535000000,43889965000000,140985956000000,63510626000000,19077178000000,35561000000,57471783000000,0,53699917000000,836032000000,890808000000,VCI,yearly
CTG,2024,2,2161436302000000,9457900000000,28980462000000,351233814000000,2259106000000,2439833000000,-180727000000,0,1543489193000000,1571529403000000,-28040210000000,159855150000000,149246016000000,11003443000000,-394309000000,3743822000000,3523791000000,234462000000,-14431000000,9763538000000,5870057000000,3893481000000,52653317000000,2161436302000000,2025463448000000,111854927000000,297408527000000,1466830363000000,1378025000000,2232594000000,100256876000000,45502136000000,135972854000000,63510626000000,19070977000000,182531000000,52284565000000,0,53699917000000,836032000000,924155000000,VCI,yearly
CTG,2024,1,2077615056000000,9408384000000,17340570000000,332707091000000,1935074000000,2119491000000,-184417000000,265425000000,1483622353000000,1514397585000000,-30775232000000,164156445000000,158650480000000,5865343000000,-359378000000,3530248000000,3310217000000,234462000000,-14431000000,9921221000000,5961800000000,3959421000000,54728245000000,2077615056000000,1947032568000000,46137063000000,325515909000000,1427664878000000,0,2201409000000,101543990000000,43969319000000,130582488000000,63510626000000,19048471000000,125322000000,46998456000000,0,53699917000000,836032000000,899613000000,VCI,yearly
CTG,2023,4,2032690017000000,9759580000000,40597059000000,279841639000000,2487905000000,2676130000000,-188225000000,0,1445571643000000,1473344564000000,-27772921000000,181310531000000,180695473000000,864999000000,-249941000000,3426624000000,3206452000000,234462000000,-14290000000,10125534000000,6133262000000,3992272000000,59569502000000,2032690017000000,1905119435000000,21814105000000,304424134000000,1410899038000000,555946000000,2237779000000,115375727000000,49812706000000,127570582000000,63510626000000,19056816000000,86970000000,44054853000000,0,53699917000000,836032000000,861317000000,VCI,yearly
CTG,2023,3,1888338295000000,9468579000000,34735212000000,254955175000000,1567526000000,1769594000000,-202068000000,0,1353619192000000,1386280071000000,-32660879000000,163427518000000,162251506000000,1266778000000,-90766000000,3287036000000,3070755000000,234462000000,-18181000000,9766512000000,5791752000000,3974760000000,57511545000000,1888338295000000,1766333172000000,21577020000000,288612623000000,1310323594000000,50406000000,2498010000000,87878620000000,55392899000000,122005123000000,57868215000000,16089954000000,61591000000,47147795000000,0,48057506000000,836032000000,837568000000,VCI,yearly
CTG,2023,2,1860104522000000,10173535000000,23584485000000,230782730000000,1441612000000,1622489000000,-180877000000,1370944000000,1330128708000000,1359356681000000,-29227973000000,193231588000000,192015273000000,1266778000000,-50463000000,3269660000000,3053379000000,234462000000,-18181000000,9867790000000,5842698000000,4025092000000,56253470000000,1860104522000000,1742044149000000,5438198000000,263937809000000,1310048451000000,0,2406112000000,112618359000000,47595220000000,118060373000000,57868215000000,16085751000000,6860000000,43293999000000,0,48057506000000,836032000000,805548000000,VCI,yearly
CTG,2023,1,1823962183000000,10509894000000,22479729000000,207791425000000,1145892000000,1368952000000,-223060000000,2157082000000,1303638965000000,1333109461000000,-29470496000000,200464866000000,198828280000000,1696778000000,-60192000000,3547286000000,3331005000000,234462000000,-18181000000,10057208000000,5966505000000,4090703000000,62169836000000,1823962183000000,1711017010000000,100058595000000,177278728000000,1272350383000000,0,2318712000000,111592448000000,47418144000000,112945173000000,57868215000000,16075417000000,75353000000,38167405000000,0,48057506000000,836032000000,758783000000,VCI,yearly
