ticker,yearReport,lengthReport,Profits from other activities,Operating profit before changes in working capital,Net Cash Flows from Operating Activities before BIT,Payment from reserves,Purchase of fixed assets,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Net cash inflows/outflows from operating activities,Proceeds from disposal of fixed assets,Investment in other entities,Proceeds from divestment in other entities,Dividends paid,data_source,period_type
CTG,2025,2,-100580000000.0,17717503000000.0,27016581000000.0,0.0,-402610000000.0,37502000000.0,-358420000000.0,0.0,0.0,26658161000000.0,364315448000000.0,200739000000.0,391174348000000.0,27016581000000.0,7331000000.0,0.0,0.0,0.0,VCI,yearly
CTG,2025,1,-174682000000.0,8159069000000.0,-8760941000000.0,0.0,-225314000000.0,247000000.0,-223497000000.0,0.0,0.0,-8984438000000.0,373319556000000.0,-19670000000.0,364315448000000.0,-8760941000000.0,1715000000.0,0.0,0.0,0.0,VCI,yearly
CTG,2024,4,-41735000000.0,13681064000000.0,1670206000000.0,0.0,-729672000000.0,1069000000.0,-722655000000.0,0.0,0.0,947551000000.0,372158367000000.0,213638000000.0,373319556000000.0,1670206000000.0,6728000000.0,0.0,0.0,0.0,VCI,yearly
CTG,2024,3,-182103000000.0,14720516000000.0,16134027000000.0,0.0,-194221000000.0,12414000000.0,-178693000000.0,0.0,0.0,15955334000000.0,356354678000000.0,-151645000000.0,372158367000000.0,16134027000000.0,3461000000.0,0.0,0.0,0.0,VCI,yearly
CTG,2024,2,-591251000000.0,15211203000000.0,48014597000000.0,0.0,-236047000000.0,6844000000.0,-226586000000.0,0.0,1537000000.0,47789548000000.0,308509791000000.0,55339000000.0,356354678000000.0,48014597000000.0,3861000000.0,0.0,0.0,0.0,VCI,yearly
CTG,2024,1,-97376000000.0,5141022000000.0,36369856000000.0,0.0,-202139000000.0,212000000.0,-201089000000.0,0.0,0.0,36168767000000.0,272303607000000.0,37417000000.0,308509791000000.0,36369856000000.0,1108000000.0,0.0,0.0,0.0,VCI,yearly
CTG,2023,4,-46791000000.0,8001146000000.0,7141948000000.0,0.0,-364386000000.0,17120000000.0,-344232000000.0,0.0,0.0,6797716000000.0,265483756000000.0,22135000000.0,272303607000000.0,7141948000000.0,5014000000.0,0.0,0.0,0.0,VCI,yearly
CTG,2023,3,-28767000000.0,15176619000000.0,19183597000000.0,0.0,-167995000000.0,40384000000.0,-125315000000.0,0.0,0.0,19058282000000.0,246377396000000.0,48078000000.0,265483756000000.0,19183597000000.0,2611000000.0,0.0,0.0,0.0,VCI,yearly
CTG,2023,2,205546000000.0,16612237000000.0,14831974000000.0,0.0,-241972000000.0,672000000.0,-239563000000.0,0.0,0.0,14592411000000.0,231870969000000.0,-85984000000.0,246377396000000.0,14831974000000.0,1912000000.0,0.0,0.0,0.0,VCI,yearly
CTG,2023,1,129663000000.0,11450284000000.0,-12354419000000.0,0.0,-64500000000.0,34161000000.0,-29524000000.0,0.0,0.0,-12383943000000.0,244298220000000.0,-43308000000.0,231870969000000.0,-12354419000000.0,936000000.0,0.0,0.0,0.0,VCI,yearly
CTG,2022,4,422988000000.0,11138865000000.0,38532149000000.0,0.0,-192133000000.0,12448000000.0,-243427000000.0,0.0,0.0,38288722000000.0,207128395000000.0,-185694000000.0,245231423000000.0,38532149000000.0,5879000000.0,-6200000000.0,-61988000000.0,0.0,VCI,yearly
CTG,2022,3,-44316000000.0,12790676000000.0,20511712000000.0,0.0,-160510000000.0,18857000000.0,-138696000000.0,0.0,0.0,20373016000000.0,186647100000000.0,108279000000.0,207128395000000.0,20511712000000.0,3167000000.0,6200000000.0,-6200000000.0,0.0,VCI,yearly
CTG,2022,2,3286470000000.0,12737887000000.0,9974925000000.0,0.0,-123946000000.0,1195000000.0,-116868000000.0,0.0,0.0,9858057000000.0,176842642000000.0,-53599000000.0,186647100000000.0,9974925000000.0,6166000000.0,0.0,0.0,0.0,VCI,yearly
CTG,2022,1,958811000000.0,13789128000000.0,16376396000000.0,0.0,-77156000000.0,55236000000.0,-14340000000.0,0.0,-3844600000000.0,12517456000000.0,164376586000000.0,-51400000000.0,176842642000000.0,16376396000000.0,1632000000.0,0.0,6200000000.0,-3844600000000.0,VCI,yearly
CTG,2021,4,231953000000.0,7704881000000.0,32546722000000.0,0.0,-215178000000.0,16387000000.0,-197692000000.0,0.0,0.0,32349030000000.0,132378903000000.0,-402635000000.0,164325298000000.0,32546722000000.0,3482000000.0,0.0,0.0,0.0,VCI,yearly
CTG,2021,3,-336141000000.0,7637351000000.0,-53734155000000.0,0.0,-269752000000.0,25048000000.0,-243923000000.0,0.0,0.0,-53978078000000.0,186538352000000.0,-181371000000.0,132378903000000.0,-53734155000000.0,1144000000.0,0.0,0.0,0.0,VCI,yearly
CTG,2021,2,-21635000000.0,8803320000000.0,37158105000000.0,0.0,-120549000000.0,30661000000.0,-88480000000.0,0.0,-21267000000.0,37048358000000.0,149394945000000.0,95049000000.0,186538352000000.0,37158105000000.0,1508000000.0,0.0,0.0,-21267000000.0,VCI,yearly
CTG,2021,1,76659000000.0,6478962000000.0,-10701222000000.0,0.0,-56979000000.0,11675000000.0,-44099000000.0,0.0,0.0,-10745321000000.0,160175076000000.0,-34810000000.0,149394945000000.0,-10701222000000.0,1236000000.0,0.0,0.0,0.0,VCI,yearly
CTG,2020,4,225769000000.0,4381350000000.0,15154336000000.0,0.0,-258637000000.0,15670000000.0,-240495000000.0,0.0,-1861702000000.0,13052139000000.0,147216966000000.0,-93930000000.0,160175175000000.0,15154336000000.0,5259000000.0,23990000000.0,-23990000000.0,-1861702000000.0,VCI,yearly
CTG,2020,3,140582000000.0,7528030000000.0,818544000000.0,0.0,-88242000000.0,26693000000.0,-14467000000.0,0.0,0.0,804077000000.0,146449844000000.0,-36955000000.0,147216966000000.0,818544000000.0,90802000000.0,0.0,0.0,0.0,VCI,yearly
CTG,2020,2,-63263000000.0,5612909000000.0,-6308963000000.0,0.0,-91829000000.0,22313000000.0,-65161000000.0,0.0,-19527000000.0,-6393651000000.0,153047985000000.0,-204490000000.0,146449844000000.0,-6308963000000.0,11519000000.0,0.0,0.0,-19527000000.0,VCI,yearly
CTG,2020,1,110748000000.0,6851391000000.0,-1765883000000.0,0.0,-276246000000.0,2385000000.0,-249561000000.0,0.0,0.0,-2015444000000.0,155046744000000.0,16685000000.0,153047985000000.0,-1765883000000.0,354000000.0,0.0,23990000000.0,0.0,VCI,yearly
CTG,2019,4,-1271947000000.0,6719662000000.0,3480269000000.0,-2220000000.0,-381385000000.0,28937000000.0,-336599000000.0,15000000.0,15000000.0,3141465000000.0,151964855000000.0,-62693000000.0,155043627000000.0,3478049000000.0,3419000000.0,0.0,13000000000.0,0.0,VCI,yearly
CTG,2019,3,1129248000000.0,7828127000000.0,-2825945000000.0,0.0,87851000000.0,10449000000.0,129283000000.0,-6433000000.0,-32346000000.0,-2729008000000.0,154904340000000.0,-212948000000.0,151962384000000.0,-2825945000000.0,146057000000.0,0.0,-83470000000.0,-25913000000.0,VCI,yearly
CTG,2019,2,670000000.0,5505936000000.0,7013876000000.0,0.0,100813000000.0,325007000000.0,749157000000.0,593300000000.0,593089000000.0,8356122000000.0,146337685000000.0,210533000000.0,154904340000000.0,7013876000000.0,237191000000.0,0.0,304905000000.0,-211000000.0,VCI,yearly
CTG,2019,1,-61289000000.0,7649566000000.0,-9139963000000.0,0.0,-187876000000.0,3200000000.0,-184204000000.0,0.0,0.0,-9324167000000.0,155544719000000.0,117133000000.0,146337685000000.0,-9139963000000.0,967000000.0,0.0,0.0,0.0,VCI,yearly
CTG,2018,4,-527617000000.0,8286145000000.0,21923099000000.0,0.0,-308943000000.0,36543000000.0,-269006000000.0,0.0,0.0,21654093000000.0,134600610000000.0,-93141000000.0,156161562000000.0,21923099000000.0,3847000000.0,0.0,0.0,0.0,VCI,yearly
CTG,2018,3,448288000000.0,6849398000000.0,29736697000000.0,0.0,-328178000000.0,147864000000.0,-180314000000.0,0.0,0.0,29556383000000.0,105019573000000.0,24654000000.0,134600610000000.0,29736697000000.0,0.0,0.0,0.0,0.0,VCI,yearly
CTG,2018,2,19477000000.0,5368665000000.0,-14181164000000.0,-7883000000.0,-320814000000.0,184293000000.0,-136119000000.0,0.0,0.0,-14325166000000.0,119256786000000.0,87953000000.0,105019573000000.0,-14189047000000.0,1044000000.0,0.0,0.0,0.0,VCI,yearly
CTG,2018,1,7022000000.0,4875201000000.0,-12405776000000.0,7883000000.0,-67369000000.0,-1413000000.0,-71531000000.0,0.0,0.0,-12469424000000.0,131707327000000.0,18883000000.0,119256786000000.0,-12397893000000.0,1193000000.0,0.0,0.0,0.0,VCI,yearly
CTG,2017,4,-526685000000.0,5792138000000.0,14869505000000.0,0.0,-736249000000.0,175198000000.0,-558846000000.0,0.0,-2606383000000.0,11704276000000.0,120033619000000.0,-62001000000.0,131675894000000.0,14869505000000.0,2855000000.0,0.0,0.0,-2606383000000.0,VCI,yearly
CTG,2017,3,143705000000.0,6165871000000.0,-5790779000000.0,0.0,-275330000000.0,42368000000.0,-232063000000.0,0.0,0.0,-6022842000000.0,126039483000000.0,16978000000.0,120033619000000.0,-5790779000000.0,879000000.0,0.0,0.0,0.0,VCI,yearly
CTG,2017,2,-379662000000.0,4149193000000.0,13573144000000.0,-1000000.0,-445718000000.0,9720000000.0,199322000000.0,0.0,0.0,13772465000000.0,112160775000000.0,106243000000.0,126039483000000.0,13573143000000.0,39967000000.0,0.0,600000000000.0,0.0,VCI,yearly
CTG,2017,1,-80820000000.0,4143561000000.0,1266518000000.0,-623000000.0,-327352000000.0,4296000000.0,-323056000000.0,0.0,-2606383000000.0,-1663544000000.0,113814949000000.0,9370000000.0,112160775000000.0,1265895000000.0,0.0,0.0,0.0,-2606383000000.0,VCI,yearly
CTG,2016,4,-255487000000.0,6554287000000.0,-1865592000000.0,-2708000000.0,-1100714000000.0,204833000000.0,-794930000000.0,0.0,0.0,-2663230000000.0,116420105000000.0,58073000000.0,113814948000000.0,-1868300000000.0,1598000000.0,55267000000.0,45234000000.0,0.0,VCI,yearly
CTG,2016,3,-200402000000.0,5773135000000.0,13189256000000.0,0.0,-308115000000.0,23845000000.0,-306929000000.0,0.0,0.0,12882327000000.0,103538219000000.0,-441000000.0,116420105000000.0,13189256000000.0,893000000.0,-47514000000.0,0.0,0.0,VCI,yearly
CTG,2016,2,-183027000000.0,3298799000000.0,16124612000000.0,-35000000.0,-291158000000.0,7698000000.0,-305286000000.0,0.0,0.0,15819291000000.0,87716794000000.0,2134000000.0,103538219000000.0,16124577000000.0,10275000000.0,0.0,-736000000.0,0.0,VCI,yearly
CTG,2016,1,0.0,3433218000000.0,7361690000000.0,0.0,-523923000000.0,4951000000.0,-508202000000.0,0.0,0.0,6853488000000.0,80882722000000.0,-19416000000.0,87716794000000.0,7361690000000.0,582000000.0,0.0,10210000000.0,0.0,VCI,yearly
CTG,2015,4,-105895000000.0,3442533000000.0,6162803000000.0,0.0,-731587000000.0,6419000000.0,-717663000000.0,0.0,0.0,5445140000000.0,75057935000000.0,-15688000000.0,80487387000000.0,6162803000000.0,25544000000.0,0.0,0.0,0.0,VCI,yearly
CTG,2015,3,-50088000000.0,2354896000000.0,2220729000000.0,0.0,-573137000000.0,344549000000.0,-195477000000.0,0.0,-3095412000000.0,-1070160000000.0,76083362000000.0,44733000000.0,75057935000000.0,2220729000000.0,8276000000.0,-3860000000.0,28705000000.0,-3096013000000.0,VCI,yearly
CTG,2015,2,-86011000000.0,3887802000000.0,8499587000000.0,0.0,-299447000000.0,22181000000.0,-268085000000.0,0.0,0.0,8231502000000.0,68490239000000.0,-10386000000.0,76711355000000.0,8499587000000.0,8366000000.0,-10000000000.0,11000000000.0,0.0,VCI,yearly
CTG,2015,1,-80934000000.0,2368456000000.0,-18187031000000.0,-348000000.0,-411397000000.0,343000000.0,-411016000000.0,0.0,0.0,-18598395000000.0,87064648000000.0,23986000000.0,68490239000000.0,-18187379000000.0,112000000.0,0.0,0.0,0.0,VCI,yearly
CTG,2014,4,188521879579.0,1408664842561.0,-13166197069217.0,0.0,-831403878103.0,3133527051.0,427539657551.0,0.0,11869550000.0,-12726787861666.0,99787760115534.0,3675458180.0,87064647712048.0,-13166197069217.0,1247468317568.0,0.0,10000000000.0,0.0,VCI,yearly
CTG,2014,3,126615101972.0,2026348036673.0,-6163632959967.0,376287.0,-545789552737.0,61032767.0,-556002332980.0,0.0,-9570176600.0,-6729205093260.0,106507777000000.0,9188208794.0,99787760115534.0,-6163632583680.0,714508808.0,0.0,-11000000000.0,-10787676600.0,VCI,yearly
CTG,2014,2,11166852049.0,3265570868631.0,22865553347303.0,-376287.0,-842384583809.0,15212773900.0,-814470980974.0,0.0,-3723405000000.0,18327676990042.0,88180310933901.0,-210923943.0,106507777000000.0,22865552971016.0,1694468935.0,0.0,11000000000.0,-3723405000000.0,VCI,yearly
CTG,2014,1,273190147951.0,1423250131369.0,14949584652697.0,-34623713.0,-985503416191.0,465226100.0,-984480019026.0,0.0,0.0,13965070009958.0,74215984000000.0,-743076057.0,88180310933901.0,14949550028984.0,666531065.0,0.0,0.0,0.0,VCI,yearly
CTG,2013,4,51339849387.0,660300771947.0,11680116974737.0,-129829757.0,-1658280016513.0,1525327000.0,-1654454817218.0,4572472480000.0,4572472480000.0,14598004807762.0,56940397908756.0,250632371.0,71538653348889.0,11679987144980.0,4135799138.0,-493679.0,0.0,0.0,VCI,yearly
CTG,2013,3,691566760637.0,2491105507749.0,-1147355023752.0,0.0,-980502250338.0,314372289068.0,-962954748583.0,466313.0,-4194806792887.0,-6305116565222.0,63245514000000.0,473978.0,56940397908756.0,-1147355023752.0,900377786.0,-296730256321.0,0.0,-4194807259200.0,VCI,yearly
CTG,2013,2,205449358850.0,3744118263180.0,-3535932153493.0,0.0,-218008530353.0,24469239620.0,-116236781596.0,15413296000000.0,15413296000000.0,11761127064911.0,51486402665787.0,-2015730698.0,63245514000000.0,-3535932153493.0,1399903849.0,85000000000.0,-5000000000.0,0.0,VCI,yearly
CTG,2013,1,180089641150.0,2000402736820.0,-7385279846507.0,0.0,-368388469647.0,140760380.0,-442417218404.0,0.0,0.0,-7827697064911.0,59313988000000.0,111730698.0,51486402665787.0,-7385279846507.0,886096151.0,-80000000000.0,5000000000.0,0.0,VCI,yearly
CTG,2012,2,308436765779.0,2848045939775.0,8789621688247.0,-878349534800.0,-1693211633844.0,10438796081.0,-1681803279883.0,0.0,-79000000.0,6229389873564.0,27486671680634.0,5389445802.0,33721451000000.0,7911272153447.0,953609699.0,0.0,0.0,-79000000.0,VCI,yearly
CTG,2010,2,192696000000.0,2016832000000.0,7241341000000.0,-233548000000.0,-670392000000.0,6671000000.0,-656379000000.0,0.0,0.0,6351414000000.0,30326319000000.0,0.0,36677733000000.0,7007793000000.0,10144000000.0,-2802000000.0,0.0,0.0,VCI,yearly
CTG,2009,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCI,yearly
