rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
53.8,71.0,51500,700,0.014,0.018,11726340,"Thêm một ngân hàng Big4 chuẩn bị trả cổ tức tiền mặt, dự chi hơn 2.400 tỷ đồng thanh toán vào tháng 11",TCBS,2025-10-01 00:05:00
55.1,68.0,50800,-200,-0.004,0.004,11726291,CTG: Nghị quyết HĐQT về việc phê duyệt chi trả cổ tức năm 2024 bằng tiền,TCBS,2025-09-30 17:28:22
55.1,68.0,50800,-200,-0.004,0.004,11726288,CTG: Nghị quyết HĐQT phê duyệt chủ trương thay đổi địa điểm đặt trụ sở Chi nhánh Bắc Thăng Long,TCBS,2025-09-30 17:27:03
51.5,62.0,50700,400,0.008,-0.01,11723338,CTG: Nghị quyết HĐQT số 376 ngày 26/09/2025,TCBS,2025-09-26 17:56:37
65.1,82.0,51400,-1100,-0.021,0.06,11713829,CTG: Báo cáo kết quả giao dịch cổ phiếu của người liên quan của Người nội bộ Đỗ Thị Thanh Thúy,TCBS,2025-09-17 16:05:49
65.1,82.0,51400,-1100,-0.021,0.06,11713812,CTG: Anh rể Phó TGĐ đăng ký bán 130.200 cổ phiếu,TCBS,2025-09-17 15:58:00
60.6,64.0,50300,-700,-0.014,0.082,11703394,CTG: Nghị quyết HĐQT thông qua văn bản sửa đổi bổ sung Hợp đồng đại lý bảo hiểm với VBI,TCBS,2025-09-05 16:40:10
63.0,73.0,50600,-700,-0.014,0.108,11700038,"CTG: Nghị quyết HĐQT về việc phê duyệt, công bố chính thức các chỉ tiêu kế họach KD năm 2025",TCBS,2025-09-03 15:12:38
63.0,73.0,50600,-700,-0.014,0.108,11699847,VietinBank lên kế hoạch lợi nhuận trước thuế 32.500 tỷ đồng,TCBS,2025-09-03 13:29:00
56.7,70.0,51200,2100,0.043,0.123,11685436,CTG: Nghị quyết HĐQT về việc phê duyệt thay đổi và sử dụng mẫu dấu của Vietinbank,TCBS,2025-08-26 15:18:46
56.7,70.0,51200,2100,0.043,0.123,11685432,CTG: HĐQT thông qua hợp đồng khung tiền gửi bằng VND với MUFG - CN. TpHCM,TCBS,2025-08-26 15:17:44
56.7,70.0,51200,2100,0.043,0.123,11685430,CTG: HĐQT thông qua hợp đồng hạn mức giao dịch gửi tiền trên TT liên NH và hợp đồng hạn mức giao dịch ngoại tệ với MUFG - CN. TpHCM,TCBS,2025-08-26 15:16:31
69.6,78.0,51800,1200,0.024,0.146,11680760,CTG: Thông báo nhận được Quyết định của Chi cục thuế doanh nghiệp lớn về việc xử phạt vi phạm hành chính về thuế,TCBS,2025-08-21 14:12:33
69.6,78.0,51800,1200,0.024,0.146,11680758,CTG: HĐQT thông qua hợp đồng bảo hiểm tiền gửi với VBI,TCBS,2025-08-21 14:10:43
66.3,62.0,50600,1000,0.02,0.119,11679484,CTG: HĐQT thông qua mẫu đề nghị mở tài khoản Nostro tại Vietinbank Lào,TCBS,2025-08-20 15:10:30
