officer_name,officer_position,officer_own_percent
Nguyen Van Thang,,0.0001
Vu Thi Bich Hong,Member of Supervisors Board,0.0
Cat Quang Duong,Member of Management Board,0.0
Do Thi Thuy,Member of Management Board,0.0
Cat Quang Duong,Independent Member of Management Board,0.0
Le Nhu Hoa,Deputy General Director,0.0
Le Duy Hai,Deputy General Director,0.0
Nguyen Bao Thanh Van,Deputy General Director,0.0
Nguyen Bao Thanh Van,Chief Financial Officer,0.0
Nguyen Hai Hung,Chief Accountant,0.0
Nguyen Thi Thu Phuong,,0.0
Pham Anh Tuan,,0.0
Tran Thu Huyen,,0.0
Nguyen Van Chung,,0.0
Tran Thi Le Nga,,0.0
Le Duc Tho,,0.0
Nguyen Van Du,,0.0
Pham Thi Hoang Tam,,0.0
Le Thanh Mai,,0.0
Do Thi Thuy,,0.0
