Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,data_source,period_type
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Dividend yield (%),Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),,
CTG,2025,2,14.9302240406,0.06077914425846768,3.050771838914193,0.6103717340621019,0.1983396542,0.0,0.0124243001,0.0,15.930224040604593,276554575022000.0,5369991748.0,9.1839327354,1.6995324462,3.2700558534,7.6693163215,1800.7262308366587,30302.4517794846,VCI,quarterly
CTG,2025,1,15.0399309149,0.0636482579294959,2.8674563989292743,0.35016476346209086,0.1781584051,0.0,0.0111645876,0.0,16.039930914859415,237890634436400.0,5369991748.0,9.2176089344,1.5555429688,2.8559953049,4.1692855533,1009.1030404317113,28478.8018635145,VCI,quarterly
CTG,2024,4,15.0627078032,0.06735245727024358,2.7654550503789714,0.6006716953496708,0.1847695587,0.0,0.0114749694,0.0,16.06270780317618,202717188487000.0,5369991748.0,7.9972963254,1.3740372886,2.4749169571,1.9837537267,1824.630550624079,27473.7813247008,VCI,quarterly
CTG,2024,3,14.8156966429,0.06825364932092953,2.6254408314967863,0.3354745179493981,0.1619806236,0.0,0.0101955449,0.0,15.815696642862783,198421195088600.0,5369991748.0,9.1567296577,1.4163316712,2.5085151463,1.8430281064,973.1595959986939,26088.5220265333,VCI,quarterly
CTG,2024,2,14.896086891,0.071805053088023,2.532086833292467,0.3497838532873995,0.1573759619,0.0,0.0099541455,0.0,15.896086890990755,193588202515400.0,5369991748.0,9.5332393341,1.433469585,2.5958541002,1.74860632,999.1253714678893,25148.7721653013,VCI,quarterly
CTG,2024,1,14.9103650713,0.0759766577582746,2.4317074239198626,0.3267914114423949,0.1617335633,0.0,0.0102533718,0.0,15.910365071310327,171839735936000.0,5369991748.0,8.5302846743,1.3250765449,2.3634418221,2.2165039852,923.429724421245,24149.5482834399,VCI,quarterly
CTG,2023,4,15.1482816885,0.07937201383936619,2.3756197027213757,0.41994675277137167,0.1699791545,0.0,0.0103625882,0.0,15.933846072756806,192782703753200.0,5369991748.0,9.6858451598,1.5421308573,2.7326395202,6.7012086836,1139.5687902647408,23279.4771140121,VCI,quarterly
CTG,2023,3,14.4775328164,0.0800500156046726,2.2719797110570905,0.29517429577693477,0.1572301237,0.0,0.0098261541,0.0,15.477532816388374,169154740062000.0,5369991748.0,9.3284709241,1.3960398892,2.4363886341,2.8101921139,719.3819248304737,22563.8251762915,VCI,quarterly
CTG,2023,2,14.7555365508,0.08358257516262463,2.198520566516148,0.4078634713622685,0.1581290875,0.0,0.0097229779,0.0,15.755536550778135,142250218026400.0,4805750609.0,8.0785329747,1.213171552,2.0509119036,2.3122064967,1082.724931721483,24398.8576478376,VCI,quarterly
CTG,2023,1,15.1490937112,0.08904504489094013,2.1032652990959493,0.37946566488009675,0.1585577156,0.0,0.009639872,0.0,16.14909371115842,144172518270000.0,4805750609.0,8.4556038115,1.285115942,2.1349961618,2.5443241605,1000.1303419696451,23344.1972186202,VCI,quarterly
CTG,2022,4,15.718766165,0.09419894914646473,2.016850808762174,0.33161101639401425,0.1662403072,0.0,0.0100449029,0.0,16.7046137563605,139847342721900.0,4805750609.0,8.3366155321,1.3017748571,2.1811379022,1.6557088364,886.5235312088996,22354.0959031068,VCI,quarterly
