time,open,high,low,close,volume,data_source
2015-10-05,12.16,12.4,12.1,12.34,1129910,TCBS
2015-10-06,12.53,12.59,12.4,12.53,3176750,TCBS
2015-10-07,12.53,12.59,12.34,12.34,1649740,TCBS
2015-10-08,12.34,12.59,12.28,12.53,3609910,TCBS
2015-10-09,12.65,12.78,12.59,12.59,3440530,TCBS
2015-10-12,12.53,12.71,12.53,12.59,2117090,TCBS
2015-10-13,12.53,12.59,12.47,12.59,945280,TCBS
2015-10-14,12.59,12.59,12.47,12.47,1604230,TCBS
2015-10-15,12.53,12.84,12.47,12.78,4435440,TCBS
2015-10-16,12.84,13.21,12.84,13.02,5436700,TCBS
2015-10-19,12.96,13.21,12.9,13.08,1986760,TCBS
2015-10-20,13.08,13.08,12.71,12.9,2264460,TCBS
2015-10-21,12.84,12.96,12.71,12.84,2161940,TCBS
2015-10-22,12.78,12.9,12.71,12.84,793320,TCBS
2015-10-23,12.96,13.15,12.84,13.02,2182270,TCBS
2015-10-26,13.15,13.15,12.9,12.9,1456540,TCBS
2015-10-27,12.9,12.96,12.78,12.9,1027720,TCBS
2015-10-28,12.9,12.9,12.78,12.78,1329310,TCBS
2015-10-29,12.84,12.96,12.71,12.9,1719090,TCBS
2015-10-30,12.9,13.02,12.84,12.84,1748110,TCBS
2015-11-02,12.84,12.96,12.78,12.9,1353930,TCBS
2015-11-03,12.9,12.96,12.78,12.96,1116870,TCBS
2015-11-04,12.96,13.08,12.84,12.9,1402290,TCBS
2015-11-05,12.78,12.9,12.78,12.9,1007490,TCBS
2015-11-06,12.84,12.9,12.65,12.84,1208400,TCBS
2015-11-09,12.84,12.9,12.71,12.78,716880,TCBS
2015-11-10,12.65,12.71,12.53,12.53,1068830,TCBS
2015-11-11,12.47,12.65,12.47,12.53,1086670,TCBS
2015-11-12,12.47,12.71,12.4,12.71,1434490,TCBS
2015-11-13,12.59,12.71,12.47,12.71,887880,TCBS
2015-11-16,12.65,12.65,12.4,12.53,429910,TCBS
2015-11-17,12.47,12.53,12.4,12.4,930680,TCBS
2015-11-18,12.4,12.47,12.34,12.34,506460,TCBS
2015-11-19,12.47,12.47,12.28,12.28,554600,TCBS
2015-11-20,12.28,12.34,12.22,12.28,781130,TCBS
2015-11-23,12.4,12.4,12.16,12.16,537990,TCBS
2015-11-24,12.1,12.16,11.97,12.1,970280,TCBS
2015-11-25,12.1,12.1,11.91,12.1,682440,TCBS
2015-11-26,12.04,12.04,11.91,12.04,588680,TCBS
