ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Business income tax - deferred,Minority Interest,Net Profit For the Year,Attributable to parent company,EPS_basis,data_source,period_type
CTG,2025,2,34876403000000,0.15721282558967617,9669885000000,0.8023025760932064,34876403000000,-19033787000000,15842616000000,3141453000000,-1707237000000,1434216000000,1106104000000,213219000000,30591000000,2545568000000,-372166000000,2173402000000,116932000000,20917080000000,-5847160000000,15069920000000,-2972768000000,12097152000000,-2345147000000,-2345147000000,0,-82120000000,9752005000000,9669885000000,0,VCI,yearly
CTG,2025,1,32684212000000,0.055965655169227545,5418875000000,0.09277729939239454,32684212000000,-17208997000000,15475215000000,2874899000000,-1264360000000,1610539000000,912866000000,238195000000,90960000000,2241243000000,-238922000000,2002321000000,123287000000,20453383000000,-5519223000000,14934160000000,-8110962000000,6823198000000,-1323811000000,-1319472000000,-4339000000,-80512000000,5499387000000,5418875000000,0,VCI,yearly
CTG,2024,4,32446079000000,-0.005857082636710864,9798251000000,0.6011587595341104,32446079000000,-16133922000000,16312157000000,2837517000000,-1607967000000,1229550000000,1057550000000,12516000000,53378000000,2892475000000,-302011000000,2590464000000,29444000000,21285059000000,-6569774000000,14715285000000,-2464267000000,12251018000000,-2372846000000,-2377386000000,4540000000,-79921000000,9878172000000,9798251000000,0,VCI,yearly
CTG,2024,3,30924362000000,-0.05826994605610238,5225859000000,0.35277182037625465,30924362000000,-15346848000000,15577514000000,3125194000000,-1323745000000,1801449000000,608810000000,16411000000,-201712000000,4377345000000,-414355000000,3962990000000,150836000000,21916298000000,-6094955000000,15821343000000,-9268664000000,6552679000000,-1360167000000,-1360167000000,0,33347000000,5192512000000,5225859000000,0,VCI,yearly
CTG,2024,2,30138279000000,-0.11660790777211649,5365295000000,0.031131938040930132,30138279000000,-14799392000000,15338887000000,3178353000000,-1292117000000,1886236000000,1186105000000,24649000000,-33548000000,2138199000000,-1050988000000,1087211000000,150897000000,19640437000000,-5073752000000,14566685000000,-7816739000000,6749946000000,-1340587000000,-1340587000000,0,-44064000000,5409359000000,5365295000000,0,VCI,yearly
CTG,2024,1,30951965000000,-0.05519897558935663,4958810000000,0.03171474064560479,30951965000000,-15777729000000,15174236000000,3091737000000,-1312984000000,1778753000000,1344217000000,38253000000,-106162000000,1279714000000,-501593000000,778121000000,59471000000,19066889000000,-4807448000000,14259441000000,-8049159000000,6210282000000,-1207758000000,-1207758000000,0,-43714000000,5002524000000,4958810000000,0,VCI,yearly
CTG,2023,4,32637238000000,0.07494201853713899,6119475000000,0.4363579006814131,32637238000000,-18065212000000,14572026000000,3310266000000,-1756457000000,1553809000000,763380000000,82990000000,-157990000000,2009290000000,-469349000000,1539941000000,121282000000,18475438000000,-6304215000000,12171223000000,-4472642000000,7698581000000,-1555357000000,-1555298000000,-59000000,-23749000000,6143224000000,6119475000000,0,VCI,yearly
CTG,2023,3,32837820000000,0.2118180473901762,3863075000000,0.15718856864873673,32837820000000,-19750383000000,13087437000000,2835950000000,-1020780000000,1815170000000,1135313000000,-19950000000,-12987000000,1735446000000,-325678000000,1409768000000,-21597000000,17393154000000,-5081879000000,12311275000000,-7440325000000,4870950000000,-975628000000,-975628000000,0,-32247000000,3895322000000,3863075000000,0,VCI,yearly
CTG,2023,2,34116537000000,0.36145009152411295,5203306000000,0.12009545760516879,34116537000000,-21359067000000,12757470000000,2901827000000,-1117648000000,1784179000000,1176766000000,201509000000,1967000000,2076206000000,-298059000000,1778147000000,71892000000,17771930000000,-4743381000000,13028549000000,-6478353000000,6550196000000,-1286541000000,-1286541000000,0,-60349000000,5263655000000,5203306000000,0,VCI,yearly
CTG,2023,1,32760300000000,0.4802001324306123,4806377000000,0.030547350107967417,32760300000000,-20094129000000,12666171000000,3341451000000,-1340780000000,2000671000000,1172650000000,28015000000,14889000000,1205592000000,-185634000000,1019958000000,115691000000,17018045000000,-4313889000000,12704156000000,-6723821000000,5980335000000,-1149134000000,-1149134000000,0,-24824000000,4831201000000,4806377000000,0,VCI,yearly
