time,symbol,open,high,low,close,volume
2015-10-05,DGC,6.28,6.43,6.29,6.37,22475.0
2015-10-06,DGC,6.38,6.46,6.39,6.44,32200.0
2015-10-07,DGC,6.55,6.61,6.45,6.46,14900.0
2015-10-08,DGC,6.42,6.43,6.36,6.38,19200.0
2015-10-09,DGC,6.38,6.54,6.43,6.44,11700.0
2015-10-10,DGC,6.38,6.54,6.43,6.44,11700.0
2015-10-11,DGC,6.38,6.54,6.43,6.44,11700.0
2015-10-12,DGC,6.37,6.37,6.32,6.37,19900.0
2015-10-13,DGC,6.37,6.39,6.32,6.35,22900.0
2015-10-14,DGC,6.35,6.41,6.34,6.37,11700.0
2015-10-15,DGC,6.37,6.37,6.37,6.37,7000.0
2015-10-16,DGC,6.37,6.47,6.41,6.42,14600.0
2015-10-17,DGC,6.37,6.47,6.41,6.42,14600.0
2015-10-18,DGC,6.37,6.47,6.41,6.42,14600.0
2015-10-19,DGC,6.46,6.91,6.48,6.69,39500.0
2015-10-20,DGC,6.67,6.68,6.59,6.64,26300.0
2015-10-21,DGC,6.64,6.69,6.62,6.64,8200.0
2015-10-22,DGC,6.71,6.61,6.46,6.55,24150.0
2015-10-23,DGC,6.55,6.48,6.38,6.46,15425.0
2015-10-24,DGC,6.55,6.48,6.38,6.46,15425.0
2015-10-25,DGC,6.55,6.48,6.38,6.46,15425.0
2015-10-26,DGC,6.56,6.53,6.38,6.42,27900.0
2015-10-27,DGC,6.42,6.7,6.5,6.55,22800.0
2015-10-28,DGC,6.64,6.75,6.56,6.64,17300.0
2015-10-29,DGC,6.64,6.62,6.6,6.62,11602.0
2015-10-30,DGC,6.62,6.61,6.54,6.56,34180.0
2015-10-31,DGC,6.62,6.61,6.54,6.56,34180.0
2015-11-01,DGC,6.62,6.61,6.54,6.56,34180.0
2015-11-02,DGC,6.64,6.69,6.6,6.64,36900.0
2015-11-03,DGC,6.64,6.74,6.67,6.69,36900.0
2015-11-04,DGC,6.69,6.73,6.65,6.67,42617.0
2015-11-05,DGC,6.67,6.74,6.68,6.69,12440.0
2015-11-06,DGC,6.69,6.68,6.63,6.65,9300.0
2015-11-07,DGC,6.69,6.68,6.63,6.65,9300.0
2015-11-08,DGC,6.69,6.68,6.63,6.65,9300.0
2015-11-09,DGC,6.65,6.66,6.62,6.64,29100.0
2015-11-10,DGC,6.71,7.26,6.63,6.65,21700.0
2015-11-11,DGC,6.65,6.69,6.64,6.67,8500.0
2015-11-12,DGC,6.72,7.33,6.87,7.17,139817.0
2015-11-13,DGC,7.19,7.87,7.3,7.71,89055.0
2015-11-14,DGC,7.19,7.87,7.3,7.71,89055.0
2015-11-15,DGC,7.19,7.87,7.3,7.71,89055.0
2015-11-16,DGC,7.71,7.85,7.67,7.77,59920.0
2015-11-17,DGC,7.8,8.35,7.61,8.07,107700.0
2015-11-18,DGC,8.07,8.48,8.21,8.32,103000.0
2015-11-19,DGC,8.43,8.5,8.36,8.41,79220.0
2015-11-20,DGC,8.36,8.38,8.24,8.29,39000.0
2015-11-21,DGC,8.36,8.38,8.24,8.29,39000.0
2015-11-22,DGC,8.36,8.38,8.24,8.29,39000.0
2015-11-23,DGC,8.29,8.24,8.08,8.16,61356.0
2015-11-24,DGC,8.16,8.54,8.16,8.43,221100.0
2015-11-25,DGC,8.43,8.68,8.39,8.56,62900.0
2015-11-26,DGC,8.34,8.5,8.29,8.43,27500.0
2015-11-27,DGC,8.27,8.36,8.2,8.27,41380.0
2015-11-28,DGC,8.27,8.36,8.2,8.27,41380.0
2015-11-29,DGC,8.27,8.36,8.2,8.27,41380.0
2015-11-30,DGC,8.21,8.05,7.65,7.89,83670.0
2015-12-01,DGC,7.89,8.3,7.97,8.16,47400.0
2015-12-02,DGC,8.12,8.2,8.14,8.16,5840.0
2015-12-03,DGC,8.09,8.24,8.12,8.18,20100.0
