ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Fixed assets (Bn. VND),Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
DGC,2025,2,14783064557015,191299130677,11987567108191,1178701441983,1284874647212,140622228952,3421880706203,2381517517551,0,401096635214,18204945263218,2998410702251,2933168817081,65241885170,15206534560967,15206534560967,-849228747207,8290771487479,379426778728,18204945263218,210063124063,0,1285172413932,0,1801113539567,3797792860000,3797792860000,51674265806,1577082479739,53736330373,318469766732,33789302483,33789302483,VCI,quarterly
DGC,2025,1,13428352532359,190435302744,11097867105818,1058372463968,962726631367,118951028462,3087770708597,2427340551977,0,413917083171,16516123240956,2201527916598,2135460508187,66067408411,14314595324358,14314595324358,-849228747207,7448524182915,330817438677,16516123240956,312431891183,0,963029491156,0,1800030947573,3797792860000,3797792860000,52869914351,1079622979999,55538636821,333388503555,33789302483,33789302483,VCI,quarterly
DGC,2024,4,12700554128065,115781847631,10570339235577,979616786629,984727571037,50088687191,3120704495499,2495504871071,0,431449358270,15821258623564,2120242323437,2053342950641,66899372796,13701016300127,13701016300127,-849228747207,7205267275993,343061823287,15821258623564,257511944722,0,985030430826,0,1417464445654,3797792860000,3797792860000,72040064302,864648943903,57340943269,349565061422,32496859984,32496859984,VCI,quarterly
DGC,2024,3,13031021545616,248488682452,11117860625577,878699190890,738172010532,47801036165,3165947012912,2276125535717,0,405307089380,16196968558528,2055814710512,1987963430764,67851279748,14141153848016,14141153848016,-849228747207,7597295800646,390938644451,16196968558528,262712368203,0,738368610879,0,1417696647726,3797792860000,3797792860000,68316253205,791560582209,59143249716,323128509885,32496859984,32496859984,VCI,quarterly
DGC,2024,2,12220643188596,500022750685,9739148907490,958022512414,978920013005,44529005002,3211068062861,2365315685449,0,404674745440,15431711251457,2027319499374,1958686440570,68633058804,13404391752083,13404391752083,-849228747207,6891315841672,358889644877,15431711251457,217954636978,0,979121820542,0,1418963510341,3797792860000,3797792860000,64573881163,818249534075,60945556164,326023587635,32504859984,32504859984,VCI,quarterly
DGC,2024,1,11468461711734,113196096145,9456508255068,961445176083,859034879497,78277304941,2990154366305,2118404168188,0,662346551808,14458616078039,1948610248550,1933683173129,14927075421,12510005829489,12510005829489,-849228747207,6011154335924,344638923640,14458616078039,158415805152,0,859236687034,0,1418989814732,3797792860000,3797792860000,18595299064,920569904616,304692696699,339380221080,32496859984,32496859984,VCI,quarterly
DGC,2023,4,12466263598686,1060574918860,9342000715040,1129510487178,854954101108,79223376500,3025387860606,2099785809705,0,669005878190,15491651459292,3492608555719,3492337623283,270932436,11999042903573,11999042903573,-849228747207,5887216932464,403933047715,15491651459292,132693469131,0,855166569941,0,972670168201,3797792860000,3797792860000,61792801018,1328012657205,348243175396,304748190439,31224645692,31224645692,VCI,quarterly
DGC,2023,3,11610208536225,73177884022,9593694468974,997605561760,857649847122,88080774347,3083125220284,2158366435368,0,686004642045,14693333756509,2186113657956,2185842725520,270932436,12507220098553,12507220098553,-849228747207,6417329235429,377739236517,14693333756509,49596386090,0,858167536473,0,976928871414,3797792860000,3797792860000,63425058782,978167398273,357538439988,316767124041,31224645692,31224645692,VCI,quarterly
DGC,2023,2,11274180631324,71510557160,8520925381461,1580562860649,997172801426,104009030628,2490360189896,1716958206423,0,440163193260,13764540821220,2060179074980,2059918142544,260932436,11704361746240,11704361746240,-849228747207,5655971085005,336239034628,13764540821220,97451334936,0,997690490777,0,976928871414,3797792860000,3797792860000,40743604497,1002604730762,94833704578,329322281397,30224645692,30224645692,VCI,quarterly
DGC,2023,1,10803883184128,158429066119,8736947212109,907286909681,953904538130,47315458089,2411554152137,1786558515898,0,355675839031,13215437336265,2178712729505,2178451797069,260932436,11036724606760,11036724606760,-849228747207,5019878299369,301032425977,13215437336265,193365595419,0,954422227481,0,980591126221,3797792860000,3797792860000,30576713549,967138626506,3584554314,348973096944,30224645692,30224645692,VCI,quarterly
DGC,2022,4,10896086736284,1435474845085,7571318829256,915960586737,918343451442,54989023764,2419487351405,1781234400328,0,375711646435,13315574087689,2481010604049,2480910604049,100000000,10834563483640,10834563483640,-849228747207,5084119950638,383093932171,13315574087689,201075961305,0,918343451442,0,632126845638,3797792860000,3797792860000,30544221120,467624949883,3170951896,371997372297,28964403699,28964403699,VCI,quarterly
DGC,2022,3,10320582059082,65116212319,7382836736626,1236723621954,1532147562103,103757926080,2431374652100,1822493639170,0,386722650781,12751956711182,1776746457418,1776646457418,100000000,10975210253764,10975210253764,-849228747207,5193468143898,414392509035,12751956711182,74515001019,0,1532147562103,0,632126845638,3797792860000,3797792860000,51815130063,876822717317,3308819369,370292742163,28964403699,28964403699,VCI,quarterly
DGC,2022,2,9313379570773,112444763118,5984348516910,1196783586423,1978834680311,40968024011,2480102095172,1860558163896,0,391187178925,11793481665945,2294844096789,2294744096789,100000000,9498637569156,9498637569156,-849228747207,3779519155315,437140943010,11793481665945,48995529515,0,1978834680311,0,632126845638,3712420730000,3712420730000,29099386309,987174897306,3446686842,376871170101,28964403699,28964403699,VCI,quarterly
DGC,2022,1,6936777656490,59672425281,4981691741349,867549997515,995877549374,31985942971,2495054314504,1906137817370,0,390098183490,9431831970994,1820241987536,1820141987536,100000000,7611589983458,7611589983458,-849228747207,4004840715319,326386967308,9431831970994,54996553312,0,995877549374,0,632126845638,1710805560000,1710805560000,88377332170,860301363700,4136024208,384722134170,10464403699,10464403699,VCI,quarterly
DGC,2021,4,5815714479815,123957761695,3631679997108,780755334152,1207823415646,71497971214,2523045582016,1973866114123,0,368339950887,8338760061831,2006192758915,2006092758915,100000000,6332567302916,6332567302916,-849228747207,2922772564571,279834232059,8338760061831,73409082843,0,1207823415646,0,481725051093,1710805560000,1710805560000,165633053411,841909212299,3722421789,361083406691,9239083336,9239083336,VCI,quarterly
DGC,2021,3,4231076546385,80609420665,2351399722557,997261233201,742827615026,58978554936,2570929105514,2024826475462,0,355957409362,6802005651899,1675041298916,1674941298916,100000000,5126964352983,5126964352983,-849228747207,1813595383005,183408463692,6802005651899,159155194644,0,742827615026,0,481725051093,1710805560000,1710805560000,223836942099,869229393091,3860289262,335544967157,9239083336,9239083336,VCI,quarterly
DGC,2021,2,3831125101261,52027251455,1903908150945,905377384485,908438975724,61373338652,2548934155712,1990597993395,0,330390813324,6380059256973,1741176394247,1741076394247,100000000,4638882862726,4638882862726,-849228747207,1335196120615,173726235825,6380059256973,55605672452,0,908438975724,0,481725051093,1710805560000,1710805560000,96360346744,1181363976476,3998156735,308751002723,9239083336,9239083336,VCI,quarterly
