ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Dividends received,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,data_source,period_type
DGC,2025,2,986325309764,80170349836,-12948473,13022438560,-151205886369,9878436346,938177699664,-120090308633,-325690078914,159879707971,17627204973,3664990539,-14777644000,0,-35249221724,623542349876,-238014233460,4666690529,-1876000000000,1004213477737,0,0,32101607061,-1073032458133,0,0,1669254904711,-1184667329778,-32937604601,0,451649970332,2159862075,190435302744,-1296034142,191299130677,VCI,yearly
DGC,2025,1,977912812419,74831794166,0,0,-133889796956,6994545308,925849354937,-122831422022,22357918878,-224086520899,17535391138,-20183785314,-158896175868,0,-94233251006,345511509844,-95006173567,0,-3697400000000,3188098050000,0,0,118476032740,-485832090827,0,0,1065865956520,-850891920424,0,0,214974036096,74653455113,115781847631,0,190435302744,VCI,yearly
DGC,2024,4,864953785415,69038206233,161672423,1334769930,-140081493954,5919463593,801326403640,-46401929590,-250901650320,112377050030,31173439145,-4627065854,-179868198591,0,-34774949687,428303098773,-184507774879,1066666667,-1673888050000,2221409440000,0,0,195881195015,559961476803,0,0,1128628919379,-1054923778020,-1194930140118,0,-1121224998759,-132960423183,248488682452,253588362,115781847631,VCI,yearly
DGC,2024,3,800024592972,102186200659,-9689390,549303893,-135097885925,3920315833,771572838042,44901839162,237620504372,-16627124080,4642048816,-5277251241,-296579749,0,-14465875802,1022070399520,-40372503514,-1066666667,-5529113068493,4155464963014,0,0,158854287576,-1256232988084,0,0,861939130073,-893386546373,14087284768,0,-17360131532,-251522720096,500022750685,-11348137,248488682452,VCI,yearly
DGC,2024,2,966036006970,90868641221,-9705605,-549303893,-128121534498,5305560974,933529665169,59903021949,-119203845386,2577648536834,21416757084,-4745076498,-2326346999,0,-23181838111,3443040874042,-273696182137,1066666667,-1533646997627,1260030000000,0,0,90277865444,-455968647653,0,0,995277493982,-1096371985771,-2499162428197,0,-2600256919986,386815306403,113196096145,11348137,500022750685,VCI,yearly
DGC,2024,1,769261126172,106401621585,-20721296,0,-137854753887,6509031647,744296304221,184288233459,-5832828674,-2582781832568,-8517816714,-6072527578,-60340903996,0,-38978797378,-1773940169228,-23426403735,0,-966000000000,897330375040,0,0,92016838819,-79189876,0,0,702125563624,-1110978729664,1235493702429,0,826640536389,-947378822715,1060574918860,0,113196096145,VCI,yearly
DGC,2023,4,798626857948,98184364342,-1572340577,5035845014,-165478148999,7717012159,742513589887,-125102368079,-1411410389,-235151278426,16807304468,-7748352215,-186703814814,0,-74144755682,129058914750,-48150503927,3751924789,-1431930000000,2068293193934,0,0,-222943215790,369021399006,0,0,1013142334004,-678844789833,155018409590,0,489315953761,987396267517,73177884022,767321,1060574918860,VCI,yearly
DGC,2023,3,863560075518,93245931185,-237302081,-9966649949,-165326343234,8243042402,789518753841,-461794270656,128571107286,-421228992022,134848175034,-4172424062,-208596015,0,-8774031178,156759722228,-69610601780,545454546,-3813900000000,2761309117528,743964764766,0,252963162509,-124728102431,0,0,970258819392,-999498523536,-1720126000,0,-30959830144,1071789653,71510557160,595537209,73177884022,VCI,yearly
DGC,2023,2,950125135893,80267887927,-6437899778,9966649949,-158670660039,8856891003,884108004955,-85057702151,-43268263296,896678632590,-99768046699,-12948519089,267884632,0,-33191438800,1506820552142,69886799127,0,-1986364000000,2205148999708,-743964764766,0,100491102103,-354801863828,0,0,838897129875,-817127896939,-1260110893000,0,-1238341660064,-86322971750,158429066119,-595537209,71510557160,VCI,yearly
DGC,2023,1,884694313479,80721210743,6675201859,0,-137496499168,6814237231,841408464144,75660268468,45561802850,-987269659275,138426788524,-6405708937,-78345472847,0,-10173424411,18863058516,-209683369752,0,-2534977000000,1292602244631,0,0,65050706487,-1387007418634,0,0,884269762656,-382873514914,-510297666590,0,-8901418848,-1377045778966,1535474845085,0,158429066119,VCI,yearly
DGC,2022,4,1191274300460,72900838471,0,3317580488,-118840323533,6275057440,1154927453326,432739602921,615289824281,110423496751,-5189965255,-6451956359,-260532000000,0,-24448429887,2016758025778,-72717138744,0,-596945931181,419530446635,0,0,42512319344,-207620303946,0,0,406510653292,-844883783920,0,0,-438373130628,1370764591204,65116212319,-405958438,1435474845085,VCI,yearly
DGC,2022,3,1596007123439,74023405530,0,0,-204981426478,124372257592,1583287700653,-275314006235,448371528389,-488132530383,11356539601,-5601311361,0,0,-4800442463,1269167478201,-37807272817,4259259263,-2416493506993,1222749389711,0,0,49134417841,-1178157712995,85372130000,0,675806606537,-801503221568,-97996624000,0,-138321109031,-47311343825,112444763118,-17206974,65116212319,VCI,yearly
DGC,2022,2,1998751213298,75167008590,0,0,57303776315,-115784733767,2021570923866,-120181798569,-986576872438,354484168462,644785651,-3345096129,0,0,-23492441425,1243103669418,-38484464116,261000000,-2700626064677,1511521742484,0,0,16739445766,-1210588340543,0,0,1083257201877,-969740965889,-93276434000,0,20239801988,52755130863,59672425281,17206974,112444763118,VCI,yearly
DGC,2022,1,1586372347138,74231033464,0,0,-47840648777,2735393968,1615498125793,-20123796558,393706923775,-448988518526,-21150037163,-2839203781,-42290307353,0,-10226395921,1463586790266,-23948809608,0,-1617810000000,275710159211,0,0,14479873983,-1351568776414,0,0,771972936437,-752883328956,-195392957250,0,-176303349769,-64285335917,123957761198,0,59672425281,VCI,yearly
DGC,2021,4,1456844353632,71466396521,0,8393853930,-30641730380,2567417807,1508630291510,223442146310,-452952137770,215374854880,-131482295595,-2417657285,-81470000000,0,-26615166807,1252510035243,-11892928120,0,-1421329000000,145884014725,0,0,1621745329,-1285716168066,0,0,675517886903,-702285580985,0,0,-26767694082,-59973826905,183952631478,-21042878,123957761695,VCI,yearly
DGC,2021,3,515942862992,70877216892,0,-4240684235,-22896019214,3170009943,562853386378,-91101778016,177970780255,209721274779,79694283394,-3388977170,0,0,2508154867,938257124487,-78740107082,0,-933126326027,494192288219,0,0,17049013142,-500625131748,0,0,599265076789,-904973080187,0,0,-305708003398,131923989341,52027251455,1390682,183952631478,VCI,yearly
DGC,2021,2,354448593213,68516629482,0,4240684235,-20632150257,3539833008,410113589681,-21351641233,-203068336048,-63614346822,-79254254773,-5046734059,61565224,0,-16239080919,21600761051,2307586797,0,-437575000000,297981667551,0,0,13693272916,-123592472736,0,0,676579339148,-578096359978,-1350494197,0,97132484973,-4859226712,56887868849,-1390682,52027251455,VCI,yearly
DGC,2021,1,309882973887,67745451058,0,0,-19765784896,4386371578,362249011627,-72966642925,-35784077505,186595845641,2130766302,-3559614339,-46346310875,0,-18624931188,373694046738,-128574481889,0,-666932750685,481432931509,0,0,16822658289,-297251642776,0,0,1158355478797,-1225076572388,-235153211075,0,-301874304666,-225431900704,282319769553,0,56887868849,VCI,yearly
DGC,2020,4,259464099400,67331468653,0,3062888164,-22278873989,4555074333,312134656561,139617020779,-63515288248,-5623513613,-27937218448,-4553416549,-7000000000,0,-26003162992,317119077490,-55677432920,0,-119060000000,182174851363,0,0,5678335344,13115753787,0,0,764420706729,-876236579239,194220197412,-193182362965,-110778038063,219456793214,62779043825,32050198,282267887237,VCI,yearly
DGC,2020,3,248108303929,67519852157,0,-21471351324,-22998587905,3773865993,274932082850,-132344899040,9193640848,2944145554,58004915125,-3887420874,0,0,-2266806158,206575658305,-115648942445,2907144150,-784241000000,638368505883,0,0,20744091551,-237870200861,0,0,971893281988,-871109256867,-64985594212,0,35798430909,4503888353,58249839642,25315830,62779043825,VCI,yearly
DGC,2020,2,283456478620,66704585093,0,21471351324,-12409734235,4861014457,364083695259,56266513298,-63018990022,12857256524,1496275016,-4593449694,-65459272,0,-11386452560,355639388549,-99532415098,373542215,-571684691757,65000000000,0,0,2100315397,-603743249243,0,0,860854086311,-598563846025,-21600000,0,262268640286,14164779592,44110375880,-25315830,58249839642,VCI,yearly
DGC,2020,1,210124182360,66314223375,0,0,-13412264630,4977245527,268003386632,-249479337568,223542728369,36235409444,3234787764,-4837351724,-22511973264,0,-6904098583,247283551070,-27645336044,0,-474350308243,167628561410,0,0,7427013574,-326940069303,0,0,605850490930,-480550287580,-129213003200,0,-3912799850,-83569318083,127679693963,0,44110375880,VCI,yearly
DGC,2019,4,182935583801,66233539699,0,4684696442,-15088354322,8758866807,247524332427,-104832373579,101432399829,-27531954989,1540235774,-8913732073,-5000000000,0,-6989023707,197229883682,-32617077309,0,0,-121140623153,0,0,10267643911,-143490056551,0,0,799763601660,-775301329822,0,0,24462271838,78202098969,49487586984,28010,127689713963,VCI,yearly
DGC,2019,3,121863716502,65357722338,0,-8760044671,-5853827987,5359678333,177967244515,59134326591,52196244404,-39040665267,3776524934,-4779401787,0,0,-5704868534,243549404856,-31134442543,304723250,-367198901107,210660130609,0,0,6785724809,-180582764982,53900000000,0,645169172482,-757701972471,163886620,0,-58468913369,4497726505,44986346630,3513849,49487586984,VCI,yearly
DGC,2019,2,168772432903,64190724254,0,8760044671,-6074272083,8630777840,244279707585,-115566706674,125817057737,-61775757374,2642646533,-6736646887,0,0,-4206120380,184454180540,-14340874322,737463171,-192607650381,94762959944,0,0,1128810296,-110319291292,0,0,608770799559,-777196737191,-54065355620,0,-222491293252,-148356404004,193346264483,-3513849,44986346630,VCI,yearly
DGC,2019,1,125451692830,63858449107,0,0,-6230775251,8819411873,191898778559,287779748395,-291040870101,94839055332,-23465401613,-6987828975,-25302110194,0,-12460619710,215260751693,-35869263688,0,-5692265204,0,0,0,8375429614,-33186099278,0,0,886347274402,-1041559591256,-107802938000,0,-263015254854,-80940602439,274286866922,0,193346264483,VCI,yearly
DGC,2018,4,272020891798,58166085960,0,-85849686,-5745501929,10166554925,334522181068,-65075339638,128552552201,-34811032510,142065009,-8596369158,-99848403574,550474323928,-6923496791,798436480535,-759641694934,0,-1300000000,0,0,0,4328170466,-756613524468,0,0,931900887287,-864553029570,0,0,67347857717,109170813784,165127075014,-11021876,274286866922,VCI,yearly
DGC,2018,3,616412845236,150154802658,0,32515519,-9134362863,17090440305,774556240855,-605308343205,-875845777941,1762163413020,-79018929100,-13032160738,57710484785,-550474323928,-36252395654,434498208094,-114592250356,0,-167800000000,0,0,0,-78272329329,-360664579685,0,0,2118891898669,-1915738693891,-115511916400,0,87641288378,161474916787,3652158227,0,165127075014,VCI,yearly
