rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
50.2,38.0,100000,500,0.005,-0.033,11712510,"Hoá chất Đức Giang (DGC) tăng vốn cho 'quả đấm thép' ở Nghi Sơn lên 2.900 tỷ, 50% sản lượng có đối tác bao tiêu",TCBS,2025-09-16 15:23:00
50.2,38.0,100000,500,0.005,-0.033,11711970,Hoá chất Đức Giang (DGC) nâng vốn đầu tư dự án tại Thanh Hoá lên 2.900 tỷ đồng,TCBS,2025-09-16 07:29:00
43.8,35.0,99500,2000,0.021,-0.04,11711315,"DGC: Nghị quyết HĐQT về việc thông qua điều chỉnh GCN Đăng ký Đầu tư ""Dự án số 1, Tổ hợp hóa chất Đức Giang Nghi Sơn""",TCBS,2025-09-15 17:36:46
43.8,35.0,99500,2000,0.021,-0.04,11711317,DGC: Nghị quyết HĐQT về việc thông qua giải tỏa cổ phiếu ESOP 2022,TCBS,2025-09-15 17:34:04
56.6,39.0,103600,-2300,-0.022,0.012,11674611,DGC: Giải trình chênh lệch LNST 6 tháng đầu năm 2025 so với cùng kỳ năm trước,TCBS,2025-08-15 13:17:26
58.7,35.0,105900,-600,-0.006,0.019,11673307,DGC: Báo cáo thay đổi về sở hữu của nhóm nhà đầu tư nước ngoài có liên quan là cổ đông lớn,TCBS,2025-08-14 15:53:00
55.1,45.0,106300,2800,0.027,0.04,11664223,Hóa chất Đức Giang (DGC) dự kiến lợi nhuận sau thuế quý III/2025 đạt 880 tỷ đồng,TCBS,2025-08-06 10:02:00
54.2,33.0,103500,300,0.003,0.013,11663637,"DGC: Nghị quyết HĐQT về việc thông qua kết quả SXKD quý 2/2025, kế hoạch SXKD quý 3/2025",TCBS,2025-08-05 17:44:20
50.0,33.0,103900,2400,0.024,0.022,11654839,DGC: Báo cáo tình hình quản trị 6 tháng đầu năm 2025,TCBS,2025-07-30 10:26:05
66.3,54.0,105200,0,0.0,0.082,11649274,DGC: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 26,TCBS,2025-07-25 15:25:45
58.7,45.0,102300,200,0.002,0.061,11643312,DGC: Giải trình biến động LNST quý 2.2025 so với cùng kỳ năm trước,TCBS,2025-07-22 15:39:00
58.7,45.0,102300,200,0.002,0.061,11643238,"Hóa chất Đức Giang báo lãi cao nhất 10 quý, hơn 12.000 tỷ 'tiền tươi' vẫn để trong ngân hàng",TCBS,2025-07-22 15:15:00
60.3,40.0,103100,1100,0.011,0.045,11637401,DGC: Báo cáo thay đổi sở hữu vượt ngưỡng 1% của nhóm nhà đầu tư nước ngoài,TCBS,2025-07-17 17:15:00
52.4,40.0,91900,-1600,-0.017,0.049,11585708,DGC: Báo cáo thay đổi về sở hữu của nhóm nhà đầu tư nước ngoài có liên quan là cổ đông lớn,TCBS,2025-05-16 17:42:00
48.0,34.0,91600,-200,-0.002,0.025,11570164,Hóa chất Đức Giang ‘rót’ thêm 500 tỷ đồng vào công ty con kinh doanh bất động sản,TCBS,2025-05-13 00:13:00
