officer_name,officer_position,officer_own_percent
Dao Huu Huyen,Spokesman,0.1838
Ngo Thi Ngoc Lan,,0.0664
Dao Huu Kha,,0.0597
Nguyen Thi Hong Lan,,0.0376
Dao Huu Duy Anh,Vice Chairman of Management Board,0.0301
Dao Huu Duy Anh,Deputy General Director,0.0301
Dao Hong Hanh,,0.0135
Dao Thi Quyen,,0.0057
,,0.0048
,,0.0045
Bui Thi Ha Thu,,0.0031
Dao Thi Huyen,,0.002
Dao Huu Tu,,0.002
Pham Van Hung,Deputy General Director,0.0019
Dao Thi Mai,Chief Accountant,0.0018
,,0.0011
Dao Thi Hong Hien,,0.001
,,0.0009
Luu Bach Dat,Member of Management Board,0.0007
,,0.0007
