Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,data_source,period_type
ticker,yearReport,lengthReport,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Inventory Outstanding,Days Payable Outstanding,Cash Cycle,Inventory Turnover,EBIT Margin (%),Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),EBITDA (Bn. VND),EBIT (Bn. VND),Dividend yield (%),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,,
DGC,2025,2,0.1037108405,0.1971790936,0.1566114559502607,4.00404527617312,0.640127085,4.4592330454,17.960395685195877,51.6291927129,14.9956545696,84.58524296769588,7.0696437581,0.2941951331794372,0.33887857533081156,0.29099228620584505,0.2220973775,0.1826140548,0.1860894008,3391150912970.0,851517616354,0.0326797386,5.0399637658,0.0652192706,4.6019137498,-86.1996359068304,1.1971790936475093,34863658313400.0,379778413.0,11.2287054912,2.3513458474,3.2642628717,14.4098801718,2217.7334880116,39041.4706963321,10.8013088716,VCI,quarterly
DGC,2025,1,0.0754211318,0.1537960289,0.16957102153258843,3.7691880131550937,0.6434986285,4.3037264028,16.70879821876616,50.4724367757,13.2462809592,80.42751595366616,7.2316698641,0.29481411011083963,0.34877657286470165,0.28798766332385983,0.2307730558,0.1974405096,0.1953139582,3376367149752.0,828519347208,0.0288739172,6.2882701323,0.089177628,5.837441551,-118.45220964690618,1.1537960289280296,39458977110700.0,379778413.0,12.6334777642,2.821768011,3.834498535,7.5318830612,2131.071384686628,36820.8866196958,12.0481512888,VCI,quarterly
DGC,2024,4,0.0631083801,0.1547507336,0.18214012861570483,3.6076260094203767,0.6279066319,3.9839634662,22.534084385096254,52.3464390395,14.3168444028,89.19736782739625,6.9727761181,0.294316706561996,0.3385646910878065,0.3091091607072872,0.2383122366,0.1944100438,0.190100456,3200206288396.0,711544266063,0.0335195531,6.1853058322,0.0563869994,5.7057329626,-120.20417980176941,1.1547507335946565,33990167963500.0,379778413.0,11.3807128036,2.5445638419,3.445542033,10.8961208686,1967.7440542440731,35173.0220033333,10.9131022692,VCI,quarterly
DGC,2024,3,0.0559756715,0.1453781447,0.16095755411333282,3.723518993612516,0.6388592062,4.4403967315,19.619832602473398,48.7818151976,12.9370837005,81.33873150057339,7.4822963951,0.2632215581477803,0.3445616521680822,0.2759798621661677,0.2341046591,0.184826239,0.1921994625,3157598273664.0,673343132451,0.0275482094,6.5549603901,0.1249966064,6.1836396711,-171.7573688280436,1.1453781447120335,41357869175700.0,379778413.0,13.9776356953,3.0077979554,4.205142606,14.6647148977,1858.9259816881693,36205.8893630824,13.3936859773,VCI,quarterly
DGC,2024,2,0.0610433915,0.1512429312,0.1764582630227468,3.52952155270601,0.6485539544,4.4569493892,22.08887687274052,50.9043080312,14.0849913685,87.07817627244052,7.170316504,0.32981950786188724,0.39265128560738594,0.34367813081615245,0.2463847976,0.1947333257,0.2006973053,3158322796694.0,826035561751,0.0258175559,6.2392034455,0.2552847359,5.7394195124,-155.69240760760314,1.151242931187755,44130251590600.0,379778413.0,14.6405979468,3.382794409,4.530584597,22.5739500588,2266.438962580003,34350.299176183,14.1870767819,VCI,quarterly
DGC,2024,1,0.0735866887,0.1557641359,0.16933678505524175,3.2940200507641695,0.6608391078,4.7690510657,23.557101120615684,51.5563845834,14.2596707983,89.37315650231568,7.0796275369,0.26031466169754364,0.32126985210654196,0.28204711583557274,0.2534366371,0.2037719552,0.2050558111,3114874481205.0,620788658433,0.0239043825,5.9308897502,0.0585391122,5.4866417517,-95.37342758490355,1.155764135933228,47662190831500.0,379778413.0,15.9180006848,3.9178588858,4.9392938509,2548.9138525325,1771.073284641905,32032.8025222671,15.671322828,VCI,quarterly
DGC,2023,4,0.1104198432,0.2917590249,0.17499610815457114,3.1594779773146975,0.6736453318,4.9671730618,23.05885984704244,53.6707075739,14.9330336498,91.66260107074244,6.8007301655,0.2679509074058391,0.32855249401949554,0.30134272212352814,0.279935602,0.2130832277,0.2142272697,3203741029063.0,639790093222,0.0251677852,3.5691327022,0.3036367901,3.3243770403,-82.90645136224671,1.2910739284613268,45269586829600.0,379778413.0,14.603162047,3.8703072279,4.6439801287,16.2612986998,1894.5789627094998,30798.5885824637,14.5306112941,VCI,quarterly
DGC,2023,3,0.0782082182,0.1747881336,0.17256963724638605,3.293286537632018,0.761734214,5.6276036932,19.237974641049536,52.2466251134,14.9008051051,86.38540485954954,6.9860971729,0.2772469754729868,0.3408882236427841,0.309050944687691,0.306290961,0.2443851021,0.2488964717,3622763667993.0,683007924955,0.0327510917,5.3115479905,0.0334781104,4.9191822282,-81.58749485632352,1.1747881336324224,34787702630800.0,379778413.0,10.1669825606,2.8680289805,3.3220591125,9.4041116603,2004.7430930493672,31938.3104643075,9.9566062507,VCI,quarterly
DGC,2023,2,0.0856607778,0.1760180623,0.14669387734658568,3.081885236426507,0.8825352006,6.5871227917,19.973081393043405,57.9010700374,11.8379358289,89.7120872593434,6.3038558659,0.3286349739359313,0.3895178916925091,0.3483361746961445,0.3779771879,0.3210839012,0.3072133524,4387915711123.0,793187999556,0.0306435138,5.4731207025,0.0347152422,4.9890369999,-89.55603035956206,1.1760180622956078,37180306632700.0,379778413.0,9.0812944587,3.2705757649,3.1766979819,7.6895780564,2213.760621446907,29933.5673710659,8.7621646294,VCI,quarterly
