rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
42.8,22.0,98000,-1500,-0.015,-0.008,11721225,"Tin vui từ UAE: ""Ông lớn"" G42 muốn bắt tay FPT và Việt Thái làm trung tâm dữ liệu, chủ nhân tháp Burj Khalifa sắp sang Việt Nam tìm cơ hội đầu tư",TCBS,2025-09-25 13:16:00
41.8,23.0,98000,-1700,-0.017,-0.008,11718078,Ông Donald Trump tuyên bố áp 100.000 USD cho visa H-1B: FPT bị ảnh hưởng ra sao?,TCBS,2025-09-23 08:13:00
49.6,50.0,103000,0,0.0,0.027,11716537,FPT trở thành nhà đầu tư nước ngoài đầu tiên nắm 10% cổ phần Daythree tại Malaysia,TCBS,2025-09-19 17:14:00
49.6,50.0,103000,0,0.0,0.027,11715214,"Tập đoàn FPT mua 10% cổ phần của Daythree, mở rộng hoạt động tại khu vực châu Á - Thái Bình Dương",TCBS,2025-09-19 08:15:00
56.4,56.0,103000,-2500,-0.024,0.025,11714677,"FPT hoàn thành tăng vốn điều lệ lên hơn 17 nghìn tỷ đồng, cổ đông nước ngoài nắm 41%",TCBS,2025-09-18 11:22:00
47.0,31.0,103500,1600,0.016,0.03,11711360,FPT ký hợp đồng 256 triệu USD với tập đoàn năng lượng hàng đầu châu Á,TCBS,2025-09-16 11:30:00
49.3,22.0,105000,1800,0.017,-0.015,11700582,FPT: Báo cáo kết quả giao dịch cổ phiếu của người có liên quan đến người nội bộ Nguyễn Đức Tiến,TCBS,2025-09-04 08:59:30
49.3,22.0,105000,1800,0.017,-0.015,11700478,FPT: Thông báo về việc niêm yết và giao dịch chứng khoán thay đổi niêm yết,TCBS,2025-09-04 08:41:00
51.9,39.0,101600,-2900,-0.028,-0.042,11698000,FPT ký hợp đồng chuyển đổi số 100 triệu USD với khách hàng Mỹ,TCBS,2025-08-29 10:35:00
53.1,43.0,104500,-500,-0.005,-0.061,11687040,FPT: Quyết định về việc thay đổi đăng ký niêm yết,TCBS,2025-08-28 09:13:00
40.7,21.0,105000,5000,0.05,-0.057,11685896,FPT: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 60,TCBS,2025-08-27 09:01:05
37.4,25.0,98800,-200,-0.002,-0.107,11684244,FPT: Báo cáo kết quả giao dịch cổ phiếu của người liên quan của Người nội bộ Đỗ Hữu Binh,TCBS,2025-08-25 16:49:11
41.5,15.0,101400,-2400,-0.023,-0.075,11674369,FPT công bố kết quả kinh doanh sau khi điều chỉnh kế hoạch tăng trưởng 2025,TCBS,2025-08-15 11:10:00
52.3,32.0,105100,-2400,-0.022,-0.049,11670769,"FPT hạ kế hoạch tăng trưởng doanh thu cả năm xuống 15%, nhà máy AI không đạt kỳ vọng",TCBS,2025-08-13 07:54:00
47.8,33.0,105600,-600,-0.006,-0.025,11667527,"FPT hở room ngoại cao kỷ lục, lần đầu tiên giảm hàng trăm nhân sự",TCBS,2025-08-08 14:57:00
