officer_name,officer_position,officer_own_percent
Truong Gia Binh,Member of Member Board,0.0689
Truong Gia Binh,Chairman of Management Board,0.0689
BUI QUANG NGOC,Vice Chairman of Management Board,0.0148
Truong Thi Thanh Thanh,Vice Chairman of Management Board,0.0147
Hoang Minh Chau,Vice Chairman of Management Board,0.0141
Hoang Minh Chau,Deputy General Director,0.0141
Phan Ngo Tong Hung,Vice Chairman of Management Board,0.0134
Nguyen Thanh Nam,,0.0094
Do Cao Bao,Member of Management Board,0.0093
Le Quang Tien,Vice Chairman of Management Board,0.0063
Duong Dung Trieu,Chairman of Member Board,0.0044
Nguyen The Phuong,Person in charge of Corporate governace,0.0036
Nguyen The Phuong,Deputy General Director,0.0036
Nguyen Van Khoa,,0.0032
Nguyen Khac Thanh,,0.0024
Hoang Viet Anh,,0.0023
Nguyen Khai Hoan,Member of Supervisors Board,0.0017
Pham Minh Tuan,Deputy General Director,0.0017
Do Thi Ngoc Mai,,0.0007
Nguyen Thi Du,,0.0007
