time,symbol,open,high,low,close,volume
2015-10-05,GAS,22.44,22.64,22.39,22.59,389040.0
2015-10-06,GAS,22.88,23.03,22.78,22.84,677180.0
2015-10-07,GAS,23.43,23.92,23.38,23.43,1225250.0
2015-10-08,GAS,23.43,23.52,23.18,23.48,483920.0
2015-10-09,GAS,23.77,24.26,23.67,23.82,938020.0
2015-10-10,GAS,23.77,24.26,23.67,23.82,938020.0
2015-10-11,GAS,23.77,24.26,23.67,23.82,938020.0
2015-10-12,GAS,23.82,23.97,23.67,23.92,994980.0
2015-10-13,GAS,23.52,23.62,23.38,23.43,706460.0
2015-10-14,GAS,23.13,23.43,22.98,23.18,629420.0
2015-10-15,GAS,23.03,23.33,23.03,23.33,179650.0
2015-10-16,GAS,23.43,23.62,23.38,23.38,177430.0
2015-10-17,GAS,23.43,23.62,23.38,23.38,177430.0
2015-10-18,GAS,23.43,23.62,23.38,23.38,177430.0
2015-10-19,GAS,23.43,23.43,23.23,23.28,273490.0
2015-10-20,GAS,23.18,23.28,22.98,23.13,516990.0
2015-10-21,GAS,23.18,23.18,22.98,23.03,279680.0
2015-10-22,GAS,23.03,23.13,22.93,23.03,263400.0
2015-10-23,GAS,23.03,23.33,23.03,23.23,333250.0
2015-10-24,GAS,23.03,23.33,23.03,23.23,333250.0
2015-10-25,GAS,23.03,23.33,23.03,23.23,333250.0
2015-10-26,GAS,23.18,23.43,23.08,23.08,363720.0
2015-10-27,GAS,22.84,23.03,22.69,22.78,560610.0
2015-10-28,GAS,22.78,22.93,22.74,22.84,430180.0
2015-10-29,GAS,23.18,23.28,22.93,23.03,460190.0
2015-10-30,GAS,23.08,23.23,22.98,23.08,379850.0
2015-10-31,GAS,23.08,23.23,22.98,23.08,379850.0
2015-11-01,GAS,23.08,23.23,22.98,23.08,379850.0
2015-11-02,GAS,23.08,23.28,23.03,23.03,462000.0
2015-11-03,GAS,23.13,23.13,22.98,23.03,335730.0
2015-11-04,GAS,23.28,23.82,23.18,23.43,1370410.0
2015-11-05,GAS,23.57,23.82,23.28,23.67,1323090.0
2015-11-06,GAS,23.62,23.62,23.38,23.43,410780.0
2015-11-07,GAS,23.62,23.62,23.38,23.43,410780.0
2015-11-08,GAS,23.62,23.62,23.38,23.43,410780.0
2015-11-09,GAS,23.33,23.43,23.13,23.18,425340.0
2015-11-10,GAS,23.08,23.08,22.54,22.69,789700.0
2015-11-11,GAS,22.49,22.64,22.39,22.59,653260.0
2015-11-12,GAS,22.49,22.49,21.9,22.1,1035900.0
2015-11-13,GAS,21.75,21.75,21.21,21.5,1123490.0
2015-11-14,GAS,21.75,21.75,21.21,21.5,1123490.0
2015-11-15,GAS,21.75,21.75,21.21,21.5,1123490.0
2015-11-16,GAS,21.4,21.45,21.16,21.26,518020.0
2015-11-17,GAS,21.5,21.75,21.45,21.45,432350.0
2015-11-18,GAS,21.31,21.45,21.26,21.36,173530.0
2015-11-19,GAS,21.36,21.6,21.26,21.36,397150.0
2015-11-20,GAS,21.36,21.5,21.31,21.4,311440.0
2015-11-21,GAS,21.36,21.5,21.31,21.4,311440.0
2015-11-22,GAS,21.36,21.5,21.31,21.4,311440.0
2015-11-23,GAS,21.4,21.45,21.26,21.31,256650.0
2015-11-24,GAS,21.4,21.55,21.16,21.26,219010.0
2015-11-25,GAS,21.4,21.55,21.31,21.45,159630.0
2015-11-26,GAS,21.55,21.55,21.36,21.45,122820.0
2015-11-27,GAS,21.4,21.4,21.16,21.16,240340.0
2015-11-28,GAS,21.4,21.4,21.16,21.16,240340.0
2015-11-29,GAS,21.4,21.4,21.16,21.16,240340.0
2015-11-30,GAS,20.96,20.96,20.27,20.32,495020.0
2015-12-01,GAS,20.42,20.62,20.22,20.22,283310.0
2015-12-02,GAS,20.22,20.37,20.12,20.22,543410.0
2015-12-03,GAS,20.12,20.12,19.73,19.88,498940.0
2015-12-04,GAS,19.88,20.12,19.83,19.88,508280.0
2015-12-05,GAS,19.88,20.12,19.83,19.88,508280.0
2015-12-06,GAS,19.88,20.12,19.83,19.88,508280.0
2015-12-07,GAS,19.73,19.78,19.43,19.43,698260.0
2015-12-08,GAS,19.18,19.38,18.74,19.38,778870.0
2015-12-09,GAS,19.38,19.38,19.09,19.09,269380.0
2015-12-10,GAS,18.99,19.09,18.79,18.79,393400.0
2015-12-11,GAS,18.79,19.04,18.69,18.94,360100.0
2015-12-12,GAS,18.79,19.04,18.69,18.94,360100.0
2015-12-13,GAS,18.79,19.04,18.69,18.94,360100.0
2015-12-14,GAS,18.74,18.74,18.3,18.44,660590.0
2015-12-15,GAS,18.69,18.99,18.64,18.79,408030.0
2015-12-16,GAS,18.99,19.09,18.89,18.94,260170.0
2015-12-17,GAS,18.74,18.94,18.69,18.69,352990.0
2015-12-18,GAS,18.69,18.74,18.5,18.54,225030.0
2015-12-19,GAS,18.69,18.74,18.5,18.54,225030.0
2015-12-20,GAS,18.69,18.74,18.5,18.54,225030.0
2015-12-21,GAS,18.54,18.59,18.05,18.1,667530.0
2015-12-22,GAS,18.1,18.35,18.1,18.2,364390.0
2015-12-23,GAS,18.2,18.35,18.15,18.25,197930.0
2015-12-24,GAS,18.64,18.89,18.44,18.44,499280.0
2015-12-25,GAS,18.54,18.69,18.44,18.5,263940.0
2015-12-26,GAS,18.54,18.69,18.44,18.5,263940.0
2015-12-27,GAS,18.54,18.69,18.44,18.5,263940.0
2015-12-28,GAS,18.59,18.59,18.15,18.15,238010.0
2015-12-29,GAS,18.05,18.25,17.76,18.0,279070.0
2015-12-30,GAS,18.0,18.25,17.85,18.0,167250.0
2015-12-31,GAS,18.05,18.05,17.85,17.85,162060.0
2016-01-01,GAS,18.05,18.05,17.85,17.85,162060.0
2016-01-02,GAS,18.05,18.05,17.85,17.85,162060.0
2016-01-03,GAS,18.05,18.05,17.85,17.85,162060.0
2016-01-04,GAS,18.0,18.25,17.85,17.85,182580.0
2016-01-05,GAS,17.85,18.0,17.76,17.8,233890.0
2016-01-06,GAS,17.8,17.95,17.8,17.9,105380.0
2016-01-07,GAS,17.76,17.76,17.02,17.02,759190.0
2016-01-08,GAS,17.06,17.31,16.97,17.26,332300.0
2016-01-09,GAS,17.06,17.31,16.97,17.26,332300.0
2016-01-10,GAS,17.06,17.31,16.97,17.26,332300.0
2016-01-11,GAS,17.26,17.41,17.16,17.26,324170.0
2016-01-12,GAS,16.82,17.16,16.82,17.11,337230.0
2016-01-13,GAS,17.11,17.61,17.11,17.26,473070.0
2016-01-14,GAS,17.26,17.26,16.92,16.97,435400.0
2016-01-15,GAS,17.06,17.21,16.92,16.92,214240.0
2016-01-16,GAS,17.06,17.21,16.92,16.92,214240.0
2016-01-17,GAS,17.06,17.21,16.92,16.92,214240.0
2016-01-18,GAS,16.23,16.72,15.73,15.73,1238200.0
2016-01-19,GAS,15.78,16.03,15.68,15.73,514120.0
2016-01-20,GAS,15.73,15.73,15.14,15.14,873730.0
2016-01-21,GAS,14.84,15.14,14.7,14.8,1009530.0
2016-01-22,GAS,14.99,15.83,14.89,15.78,1189260.0
2016-01-23,GAS,14.99,15.83,14.89,15.78,1189260.0
2016-01-24,GAS,14.99,15.83,14.89,15.78,1189260.0
2016-01-25,GAS,16.67,16.87,16.67,16.87,753540.0
2016-01-26,GAS,16.32,18.0,16.27,17.51,1059720.0
2016-01-27,GAS,18.0,18.35,17.85,18.0,967500.0
2016-01-28,GAS,18.25,18.54,17.9,18.1,1009030.0
2016-01-29,GAS,18.5,19.33,18.3,19.33,1288510.0
2016-01-30,GAS,18.5,19.33,18.3,19.33,1288510.0
2016-01-31,GAS,18.5,19.33,18.3,19.33,1288510.0
2016-02-01,GAS,19.43,19.48,18.5,18.5,1125880.0
2016-02-02,GAS,18.0,18.15,17.51,17.76,766710.0
2016-02-03,GAS,17.21,18.84,17.06,18.84,869550.0
2016-02-04,GAS,19.28,19.28,18.59,18.74,357750.0
2016-02-05,GAS,18.74,18.74,18.5,18.74,193980.0
2016-02-06,GAS,18.74,18.74,18.5,18.74,193980.0
2016-02-07,GAS,18.74,18.74,18.5,18.74,193980.0
2016-02-08,GAS,18.74,18.74,18.5,18.74,193980.0
2016-02-09,GAS,18.74,18.74,18.5,18.74,193980.0
2016-02-10,GAS,18.74,18.74,18.5,18.74,193980.0
2016-02-15,GAS,18.54,18.99,18.5,18.84,799110.0
2016-02-16,GAS,19.09,19.73,18.89,19.73,1364980.0
2016-02-17,GAS,19.63,19.68,19.23,19.43,765590.0
2016-02-18,GAS,19.97,20.71,19.92,20.57,1427340.0
2016-02-19,GAS,20.12,21.21,20.12,20.96,1219680.0
2016-02-20,GAS,20.12,21.21,20.12,20.96,1219680.0
2016-02-21,GAS,20.12,21.21,20.12,20.96,1219680.0
2016-02-22,GAS,20.86,21.36,20.86,21.16,691380.0
2016-02-23,GAS,21.31,22.19,21.31,21.36,1480380.0
2016-02-24,GAS,21.26,21.4,20.71,21.11,1509510.0
2016-02-25,GAS,21.6,21.6,20.62,20.62,686070.0
2016-02-26,GAS,20.96,21.16,20.71,20.96,787790.0
2016-02-27,GAS,20.96,21.16,20.71,20.96,787790.0
2016-02-28,GAS,20.96,21.16,20.71,20.96,787790.0
2016-02-29,GAS,21.11,21.36,21.01,21.06,612850.0
2016-03-01,GAS,21.21,21.8,21.06,21.5,909320.0
2016-03-02,GAS,21.7,21.95,21.6,21.75,779100.0
2016-03-03,GAS,22.05,22.39,22.05,22.29,775150.0
2016-03-04,GAS,22.19,22.88,22.1,22.84,1085350.0
2016-03-05,GAS,22.19,22.88,22.1,22.84,1085350.0
2016-03-06,GAS,22.19,22.88,22.1,22.84,1085350.0
2016-03-07,GAS,23.62,24.41,23.52,24.36,1965600.0
2016-03-08,GAS,24.66,25.4,23.67,23.77,1734860.0
2016-03-09,GAS,23.23,23.82,23.23,23.38,978270.0
2016-03-10,GAS,23.97,24.17,23.57,23.82,896680.0
2016-03-11,GAS,23.82,23.87,23.52,23.72,926390.0
2016-03-12,GAS,23.82,23.87,23.52,23.72,926390.0
2016-03-13,GAS,23.82,23.87,23.52,23.72,926390.0
2016-03-14,GAS,23.92,24.02,23.72,23.77,535200.0
2016-03-15,GAS,23.43,23.52,22.84,22.93,1433850.0
2016-03-16,GAS,22.98,23.28,22.88,23.13,609350.0
2016-03-17,GAS,24.52,24.57,24.16,24.16,1231580.0
2016-03-18,GAS,24.52,24.52,23.8,23.8,739470.0
2016-03-19,GAS,24.52,24.52,23.8,23.8,739470.0
2016-03-20,GAS,24.52,24.52,23.8,23.8,739470.0
2016-03-21,GAS,23.7,23.8,23.18,23.18,670640.0
2016-03-22,GAS,23.54,23.95,22.98,23.44,1011840.0
2016-03-23,GAS,23.44,23.95,23.39,23.9,612230.0
2016-03-24,GAS,23.59,23.7,23.23,23.23,855580.0
2016-03-25,GAS,23.13,23.39,23.03,23.28,750070.0
2016-03-26,GAS,23.13,23.39,23.03,23.28,750070.0
2016-03-27,GAS,23.13,23.39,23.03,23.28,750070.0
2016-03-28,GAS,23.34,23.44,23.18,23.28,273940.0
2016-03-29,GAS,23.13,23.13,22.41,22.41,824770.0
2016-03-30,GAS,22.3,22.56,22.05,22.15,607540.0
2016-03-31,GAS,22.05,22.05,21.12,21.12,814690.0
2016-04-01,GAS,21.12,21.48,21.07,21.38,470820.0
