ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),Budget sources and other funds,MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
GAS,2025,2,64857286428940,10377145910363,30730802707604,19777698700821,3225558512687,746080597465,23776852681762,17089849325838,29692350309,374941837090,0,3422188765331,88634139110702,19860792028126,14439813602726,5420978425400,68773347082576,68773347082576,300272460670,13611780607173,0,1350749571217,88634139110702,205787039963,3357742646765,0,30083372761166,23426729190000,23426729190000,1913640737079,176527470385,1079947845234,0,3386521349063,35000000000,647501219855,705386247544,VCI,quarterly
GAS,2025,1,57719064984752,8166654567957,28836790419970,16942945640980,2961358257452,811316098393,24301714554043,17777687096312,30031398517,399802183373,0,3696352746280,82020779538795,17693590948680,11874835773588,5818755175092,64327188590115,64327188590115,300272460670,12309240466799,0,1323185954289,82020779538795,339648343487,3094392235281,0,26967513791091,23426729190000,23426729190000,2306763503262,215076025603,1053560520455,0,3658839319180,35000000000,577196468970,644527808364,VCI,quarterly
GAS,2024,4,57290495430038,5567983431468,27494031282702,19098417078475,4598950949593,531112687800,24564385978120,18221636601588,30370446725,399715358524,0,3663465910698,81854881408158,20283886142528,14575489059608,5708397082920,61570995265630,61570995265630,300272460670,9553019715422,0,1323213381181,81854881408158,375639323197,4732006717115,0,26967513791091,23426729190000,23426729190000,2290752009267,270548145715,933829846483,0,3630161349445,35000000000,460754042609,531249275544,VCI,quarterly
GAS,2024,3,67283218057472,12082560123616,32721750549454,19498330570365,2382245362928,598331451109,24572377896434,18653945924733,30709494933,387091486462,0,3620252111060,91855595953906,32198740492100,26091963534022,6106776958078,59656855461806,59656855461806,282322856475,7553627365579,0,1408465927199,91855595953906,377498954212,2491980870020,0,26985463395288,23426729190000,23426729190000,2676773518269,180721903169,880714899477,0,3578250577388,35000000000,413098746058,479502828641,VCI,quarterly
GAS,2024,2,70470100956080,7555301267056,36364277497378,23225915400228,2783944648950,540662142468,24696809019593,18797627699138,31048543141,375194423691,0,3553047525818,95166909975673,24245956554701,17644684180307,6601272374394,70920953420972,70920953420972,282322856474,18866449070100,0,1359742181845,95166909975673,353068062538,2893680156042,0,27444794115288,22967398470000,22967398470000,3259053101621,142835648365,1145826745790,0,3517203928435,35000000000,48097309757,110973164939,VCI,quarterly
GAS,2024,1,66458956267202,6074928497007,36537764078954,20907182025286,2539448444443,399633221512,25316981045701,19160343223363,31387591349,400516305773,0,3548375863083,91775937312903,23875666098026,16434181173324,7441484924702,67900271214877,67900271214877,282322856474,19448880504220,0,1282420988510,91775937312903,386651694501,2664778546791,0,23919001668407,22967398470000,22967398470000,4233471022988,136927958863,1497790878710,0,3512518042490,35000000000,274227240466,347556387321,VCI,quarterly
GAS,2023,4,62217752152939,5668895193049,35084645516061,16865314290394,3944544425746,654352727689,25536703177509,19532137951089,31726639557,398010821463,0,3475909955425,87754455330448,22455835056055,14971948871764,7483886184291,65298620274393,65298620274393,282322856474,16879761088028,0,1249889464218,87754455330448,264140292943,4069874528094,0,23919001668407,22967398470000,22967398470000,4270501721940,119146697342,1604782571952,0,3435836263150,35000000000,242611871669,318104299805,VCI,quarterly
GAS,2023,3,59128795405771,10851522950436,28908511156004,16197071467486,2397612205402,774077626443,25509715401551,19554745676519,32065687765,389319518294,0,3584450543586,84638510807322,21967229962854,13584866678486,8382363284368,62671280844468,62671280844468,236959539600,14309167502728,0,1193149587495,84638510807322,365609492276,2472018286115,0,27581824673348,19139500000000,19139500000000,5293932973491,115132352729,897011307486,0,3533987610563,35000000000,90553370170,156742132220,VCI,quarterly
GAS,2023,2,62984581522290,12499180008661,28268090837474,19124804781622,2338732917047,753772977486,25262511201472,15130118508739,32404735973,414941031199,0,3001107311307,88247092723762,20796045269697,12546218422492,8249826847205,67451047454065,67451047454065,191518297085,18883617297033,0,1398460434885,88247092723762,341453441425,2413138997760,0,27627271883765,19139500000000,19139500000000,5177506554059,121606184768,858679168972,0,2956410565017,35000000000,86243214186,149494096197,VCI,quarterly
GAS,2023,1,57952012334363,12714013568114,24165495262737,18097175503262,2127765124993,847562875257,26176371446281,15816238438361,35894967077,400221985887,0,3761679221838,84128383780644,19558855749945,10555594437939,9003261312006,64569528030699,64569528030699,196658562647,22581985091345,0,1371360790042,84128383780644,393030630677,2202171205706,0,21063056727255,19139500000000,19139500000000,6026796732059,161573911097,44996858992,0,3718153738864,35000000000,112723836329,180567328681,VCI,quarterly
