ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Payments for share repurchases,Proceeds from borrowings,Repayment of borrowings,Finance lease principal payments,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,data_source,period_type
GAS,2025,2,5981602520823,696239333549,-1629478535211,-13585871429,-347585362600,57658298922,4744834849807,-2684294930290,-288287933333,3619908521556,251446769577,-106437910626,-664935795811,-149855457,-134720013472,4737363701951,-525855616911,177802670000,-8299184423365,6316851441180,0,-29479305449,208048088518,-2151817146027,-10167798761,0,190515029527,-557250470931,0,0,-376903240165,2208643315759,8166654567957,1848026647,10377145910363,VCI,yearly
GAS,2025,1,3428885485800,732605346412,101492705227,-14201410467,-262154113829,54571826113,4041199839256,2491692706425,1662552003683,-3059344410062,-33043211073,-4796095694,-864411306762,149855457,-85528297888,4148471083342,-494982618712,-177800000000,-10433963434888,9179524992171,0,29479305449,202969089372,-1694772666608,10167798761,0,190256839481,-54514671514,0,0,145909966728,2599608383462,5567998965715,-952781220,8166654567957,VCI,yearly
GAS,2024,4,2558297020087,595304253998,689438656677,-29752749306,-346885827966,57220327241,3523621680731,-469957148515,-2248705197592,1592534884442,-29135789186,-109810675459,-633989018495,0,49764016302,1674322752228,-672026764542,1386025703,-7513263639155,12818276757065,0,3084888,375645822228,5010021286187,0,0,97442499784,-430349061780,0,-12872476202356,-13205382764352,-6521038725937,12082560123616,6462033789,5567983431468,VCI,yearly
GAS,2024,3,3203960587307,821200801165,520787864205,723030500,-314603126496,68611895014,4300681051695,2984236495371,410378636519,-4032691288588,-59844917225,-39303182634,-814710541363,0,-252973136768,2495773117007,-369431329432,0,-17158909136106,20724294570779,0,-3084888,677139515961,3873090536314,0,0,67883127006,-902532054885,0,-1000000000000,-1834648927879,4534214725442,7555301267056,-6955868882,12082560123616,VCI,yearly
GAS,2024,2,4239243258874,608153285247,896881542008,15627519510,-406665646125,84360661851,5437600621365,-3444389095922,-235851105642,2485201576869,21199431699,-164685910723,-846339362972,-64530455195,39896299917,3228101999396,-837763118814,0,-12278647441599,12287255577970,0,0,448714973610,-380440008833,0,0,1672180243950,-3055859158126,0,13137103066,-1370541811110,1477120179453,6074928497007,3252590596,7555301267056,VCI,yearly
GAS,2024,1,3170606630107,703051463625,2334337365,14473141642,-435996602413,108404069269,3562873039595,-3619274928562,1412045477694,885561260236,-112033720268,-20223382419,-337061440973,64530455195,-199403949665,1637012810833,-46235358964,0,-9693674570779,8406404557761,0,0,299143342281,-1034362029701,0,0,25397014510,-214114644176,0,-13137103066,-201854732732,400796048400,5668895214949,5237233658,6074928497007,VCI,yearly
GAS,2023,4,3364820476996,770604410752,75826977659,-44238876985,-467263994838,109925461445,3809674455029,-713245612685,-1598257813590,2458734753560,107823466095,-218886783237,-746818639053,191089383084,-117448178208,3172665030995,-774563131174,595061818,-12849865647018,7057345448326,0,0,438519244335,-6127969023713,0,0,2007584341553,-2335438505852,0,-1903057103066,-2230911267365,-5186215260083,10851522950436,3587502696,5668895193049,VCI,yearly
GAS,2023,3,3009022578452,754583629941,137371875032,98155132122,-800382736161,105613394329,3304363873715,2642850088086,-65400074907,-920561068411,-566062247419,-1364453853,-790410364179,-66531080355,-14831434838,3522053237839,-218205437253,0,-12160573693259,11450848389474,0,0,946125294756,18194553718,0,0,52801541973,-21706541973,0,-5218907626700,-5187812626700,-1647564835143,12499180008661,-92223082,10851522950436,VCI,yearly
GAS,2023,2,3999064389031,734779931580,175581172023,47242679085,-561512401845,62362003722,4456625737015,-1274159641590,-186930074240,1253573729956,753909710529,-209667524409,-836863218124,3741683959,-250033253555,3705638037251,-244831782700,0,-14786718639707,10751323064970,0,0,411160131150,-3869067226287,0,0,0,-56508751000,0,0,-56508751000,-219937940036,12714013568114,5104380583,12499180008661,VCI,yearly
GAS,2023,1,4266634764731,790731950222,-11642390236,-25431555768,-480986565211,62075197062,4601381400800,-1280130516194,1959128426122,-1860148690292,302508654331,-14572416150,-760058908022,-3741683959,-124477510929,2824447867997,-531755860030,0,-10401800000000,9895603527500,0,0,369644793603,-668307538927,0,0,15359724831,-5625000000,0,0,9734724831,2165875053901,10550229675118,-2091160905,12714013568114,VCI,yearly
