rsi,rs,id,price,price_change,price_change_ratio,price_change_ratio_1m,event_name,event_code,notify_date,exer_date,reg_final_date,exer_right_date,event_desc
53.1,43.0,2598805,64008.0,-1224.0,-0.019,0.001,GAS - Change Address,OTHE,2025-08-22,2025-08-12,1753-01-01,1753-01-01,"PetroVietnam Gas Joint Stock Corporation (GAS) changes address from Phuoc Kien Commune, Nha Be District, Ho Chi Minh City, Vietnam to Nha Be Commune, Ho Chi Minh City, Vietnam"
58.3,34.0,2598032,65609.0,0.0,0.0,0.03,GAS - Audited Financial Statement Quarter 2/2025,KQQY,2025-08-15,2025-08-15,1753-01-01,1753-01-01,GAS - Audited Financial Statement Quarter 2/2025
58.3,34.0,2598035,65609.0,0.0,0.0,0.03,GAS - Audited Financial Statement Quarter 2/2025 (holding company),KQQY,2025-08-15,2025-08-15,1753-01-01,1753-01-01,GAS - Audited Financial Statement Quarter 2/2025 (holding company)
52.2,41.0,2597144,63820.0,-188.0,-0.003,0.02,GAS - Pay cash dividend 2024 - Year at VND 2100/share,DIV,2025-08-05,2025-11-25,2025-08-29,2025-08-28,"PetroVietnam Gas Joint Stock Corporation (GAS) pays cash dividend 2024-Year: Ex-date: August 28, 2025 Record date: August 29, 2025 Payment date: November 25, 2025 Payment rate: 21%/parvalue (VND 2100/shares)."
52.2,41.0,2597145,63820.0,-188.0,-0.003,0.02,GAS - Issues bonus shares at 3%,ISS,2025-08-05,2025-08-28,2025-08-29,2025-08-28,"PetroVietnam Gas Joint Stock Corporation (GAS) issues bonus shares: Ex-date: August 28, 2025 Record date: August 29, 2025 Exercise ratio: 3% Estimated number of shares to be issued: 70,280,187"
52.0,40.0,2596330,63914.0,-94.0,-0.001,0.001,GAS - Financial Statement Quarter 2/2025,KQQY,2025-07-30,2025-07-30,1753-01-01,1753-01-01,GAS - Financial Statement Quarter 2/2025
52.0,40.0,2596338,63914.0,-94.0,-0.001,0.001,GAS - Financial Statement Quarter 2/2025 (holding company),KQQY,2025-07-30,2025-07-30,1753-01-01,1753-01-01,GAS - Financial Statement Quarter 2/2025 (holding company)
41.3,37.0,2590687,54878.0,-94.0,-0.002,-0.127,GAS - Financial Statement Quarter 1/2025,KQQY,2025-04-29,2025-04-29,1753-01-01,1753-01-01,GAS - Financial Statement Quarter 1/2025
41.3,37.0,2590718,54878.0,-94.0,-0.002,-0.127,GAS - Financial Statement Quarter 1/2025 (holding company),KQQY,2025-04-29,2025-04-29,1753-01-01,1753-01-01,GAS - Financial Statement Quarter 1/2025 (holding company)
24.8,19.0,2588461,54690.0,3577.0,0.07,-0.138,GAS - Holds 2025 AGM,AGME,2025-04-11,2025-05-30,2025-04-29,2025-04-28,"PetroVietnam Gas Joint Stock Corporation (GAS) holds 2025 AGM Ex-date: April 28, 2025 Record date: April 29, 2025 Meeting time: May 30, 2025 8:00 AM Venue: 2nd floor hall, PV Gas Tower Building, 673 Nguyen Huu Tho Street, Phuoc Kien Commune, Nha Be District, Ho Chi Minh City;. "
51.3,24.0,2583519,64573.0,565.0,0.009,0.022,GAS - Audited Financial Statement FY 2024,KQCT,2025-03-03,2025-03-03,1753-01-01,1753-01-01,GAS - Audited Financial Statement FY 2024
51.3,24.0,2583521,64573.0,565.0,0.009,0.022,GAS - Audited Financial Statement Quarter 4/2024,KQQY,2025-03-03,2025-03-03,1753-01-01,1753-01-01,GAS - Audited Financial Statement Quarter 4/2024
51.3,24.0,2583531,64573.0,565.0,0.009,0.022,GAS - Audited Financial Statement FY 2024 (holding company),KQCT,2025-03-03,2025-03-03,1753-01-01,1753-01-01,GAS - Audited Financial Statement FY 2024 (holding company)
51.3,24.0,2583532,64573.0,565.0,0.009,0.022,GAS - Audited Financial Statement Quarter 4/2024 (holding company),KQQY,2025-03-03,2025-03-03,1753-01-01,1753-01-01,GAS - Audited Financial Statement Quarter 4/2024 (holding company)
53.6,42.0,2580949,,,,,GAS - Financial Statement Quarter 4/2024,KQQY,2025-01-27,2025-01-27,1753-01-01,1753-01-01,GAS - Financial Statement Quarter 4/2024
