rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
34.7,24.0,60300,-300,-0.005,-0.055,11728776,GAS: Thông báo thay đổi mẫu dấu công ty,TCBS,2025-10-02 18:07:11
38.7,27.0,60400,-1100,-0.018,-0.053,11725229,GAS: Quyết định về việc thay đổi đăng ký niêm yết,TCBS,2025-09-30 09:04:00
38.7,18.0,61500,0,0.0,-0.036,11724528,GAS: Nghị quyết HĐQT về việc chấp thuận nội dung chính của hợp đồng mua bán khí năm 2025 giữa PV GAS và PVFCCo,TCBS,2025-09-29 14:38:24
42.9,29.0,61800,-700,-0.011,-0.034,11717670,PV GAS được chấp thuận đầu tư dự án Kho LNG Bắc Trung bộ 26.700 tỷ đồng tại Hà Tĩnh,TCBS,2025-09-22 13:42:00
45.6,31.0,62500,-500,-0.008,-0.05,11716526,GAS: Nghị quyết HĐQT số 81 ngày 18/09/2025,TCBS,2025-09-19 17:11:38
37.7,36.0,62100,-500,-0.008,-0.063,11706340,GAS: Thông báo thay đổi số lượng cổ phiếu có quyền biểu quyết và báo cáo kết quả phát hành cổ phiếu để tăng vốn cổ phần tứ NVCSH,TCBS,2025-09-09 17:32:00
43.9,28.0,63800,0,0.0,-0.003,11700116,GAS: Thông báo giấy xác nhận thay đổi nội dung ĐKDN,TCBS,2025-09-03 15:45:12
53.1,43.0,64008,-1224,-0.019,0.001,11682743,GAS: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 22,TCBS,2025-08-22 17:49:06
60.3,46.0,65797,-94,-0.001,0.036,11676875,Những ‘đại gia’ đem tiền mặt đi trả hết nợ vẫn còn hơn chục nghìn tỷ,TCBS,2025-08-19 07:15:00
52.2,41.0,63820,-188,-0.003,0.02,11662823,GAS: Thông báo ngày ĐKCC chi trả cổ tức năm 2024 bằng tiền và nhận cổ phiếu phát hành do thực hiện tăng VCP từ NVCSH,TCBS,2025-08-05 10:40:07
51.4,39.0,63726,-188,-0.003,-0.001,11657265,"PV GAS (GAS) chia cổ tức 21% bằng tiền và phát hành cổ phiếu thưởng, tỷ lệ 100:3",TCBS,2025-07-31 11:52:00
52.0,40.0,63914,-94,-0.001,0.001,11655453,GAS: Báo cáo tình hình quản trị công ty 06 tháng đầu năm 2025,TCBS,2025-07-30 14:54:19
57.9,32.0,64008,-848,-0.013,0.003,11653975,GAS: Thông báo số 29 và 30 ngày 28/07/2025,TCBS,2025-07-29 17:10:03
59.6,42.0,64667,-377,-0.006,0.018,11649180,PV Gas sắp chi gần 4.920 tỷ đồng trả cổ tức năm 2024,TCBS,2025-07-25 14:54:00
59.6,42.0,64667,-377,-0.006,0.018,11648466,GAS: Nghị quyết HĐQT số 73 ngày 23/07/2025,TCBS,2025-07-25 10:27:56
