officer_name,officer_position,officer_own_percent
Nguyen Thi Lan,Chairman of Management Board,0.0001
Do Khang Ninh,,0.0001
Pham Dinh Dat,Member of Supervisors Board,0.0
Tran Nhat Huy,Member of Management Board,0.0
Hoang Van Quang,Legal Representative,0.0
Tran Nhat Huy,Deputy General Director,0.0
Nguyen Minh Tuan,Deputy General Director,0.0
Pham Hong Linh,Deputy General Director,0.0
Nguyen Cong Luan,Deputy General Director,0.0
Tran Hung Hien,,0.0
Phan Quoc Nghia,,0.0
Le Nhu Linh,,0.0
Bui Ngoc An,,0.0
Nguyen Thi Minh Tam,,0.0
Nguyen Thi Bich Nhai,,0.0
Dinh Ngoc Huy,,0.0
Le Thi Thao,,0.0
Duong Thi Bich Dao,,0.0
Vo Thi Thanh Ngoc,,0.0
Do Tan,,0.0
