time,open,high,low,close,volume,data_source
2015-10-05,22.44,22.64,22.39,22.59,389040,TCBS
2015-10-06,22.88,23.03,22.78,22.84,677180,TCBS
2015-10-07,23.43,23.92,23.38,23.43,1225250,TCBS
2015-10-08,23.43,23.52,23.18,23.48,483920,TCBS
2015-10-09,23.77,24.26,23.67,23.82,938020,TCBS
2015-10-12,23.82,23.97,23.67,23.92,994980,TCBS
2015-10-13,23.52,23.62,23.38,23.43,706460,TCBS
2015-10-14,23.13,23.43,22.98,23.18,629420,TCBS
2015-10-15,23.03,23.33,23.03,23.33,179650,TCBS
2015-10-16,23.43,23.62,23.38,23.38,177430,TCBS
2015-10-19,23.43,23.43,23.23,23.28,273490,TCBS
2015-10-20,23.18,23.28,22.98,23.13,516990,TCBS
2015-10-21,23.18,23.18,22.98,23.03,279680,TCBS
2015-10-22,23.03,23.13,22.93,23.03,263400,TCBS
2015-10-23,23.03,23.33,23.03,23.23,333250,TCBS
2015-10-26,23.18,23.43,23.08,23.08,363720,TCBS
2015-10-27,22.84,23.03,22.69,22.78,560610,TCBS
2015-10-28,22.78,22.93,22.74,22.84,430180,TCBS
2015-10-29,23.18,23.28,22.93,23.03,460190,TCBS
2015-10-30,23.08,23.23,22.98,23.08,379850,TCBS
2015-11-02,23.08,23.28,23.03,23.03,462000,TCBS
2015-11-03,23.13,23.13,22.98,23.03,335730,TCBS
2015-11-04,23.28,23.82,23.18,23.43,1370410,TCBS
2015-11-05,23.57,23.82,23.28,23.67,1323090,TCBS
2015-11-06,23.62,23.62,23.38,23.43,410780,TCBS
2015-11-09,23.33,23.43,23.13,23.18,425340,TCBS
2015-11-10,23.08,23.08,22.54,22.69,789700,TCBS
2015-11-11,22.49,22.64,22.39,22.59,653260,TCBS
2015-11-12,22.49,22.49,21.9,22.1,1035900,TCBS
2015-11-13,21.75,21.75,21.21,21.5,1123490,TCBS
2015-11-16,21.4,21.45,21.16,21.26,518020,TCBS
2015-11-17,21.5,21.75,21.45,21.45,432350,TCBS
2015-11-18,21.31,21.45,21.26,21.36,173530,TCBS
2015-11-19,21.36,21.6,21.26,21.36,397150,TCBS
2015-11-20,21.36,21.5,21.31,21.4,311440,TCBS
2015-11-23,21.4,21.45,21.26,21.31,256650,TCBS
