ticker,yearReport,lengthReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Net income from associated companies,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,data_source,period_type
GAS,2025,2,0.001091334874676007,30103972384355,4747605078583,0.4296498133458604,401552949675,-57658298922,30103972384355,-23551139692,30080421244663,-25126468378917,4953952865746,-100459839323,10402811717,-569501759353,1282797122580,5978744151042,5132664551,0,-2274294770,2858369781,5981602520823,-1171157475488,-1846010832,4808599034503,60993955920,4747605078583,VCI,yearly
GAS,2025,1,0.10124088413213295,25675428574505,2756531237258,0.09749538059301825,357168545828,-54571826113,25675428574505,0,25675428574505,-21585918203089,4089510371416,-117666445383,85974302,-599658773024,-317842385886,3411597287253,24274547094,0,-6986348547,17288198547,3428885485800,-668931502037,2828506709,2762782490472,6251253214,2756531237258,VCI,yearly
GAS,2024,4,0.10428521177121056,24960846410089,2044102438055,-0.24932447104721972,419753041491,-57220327241,24960846410089,-15729073724,24945117336365,-20900958213404,4044159122961,-140949317288,12623872062,-668833753996,-1097693949210,2569059016020,1712505229,0,-12474501162,-10761995933,2558297020087,-498141880056,-7816140590,2052338999441,8236561386,2044102438055,VCI,yearly
GAS,2024,3,0.14007937518504027,25256616229052,2521794493538,0.060839935827567276,409126391431,-68861336867,25256616229052,-4608203581,25252008025471,-21068589647908,4183418377563,-108817637558,11897062771,-616316725264,-700814399681,3178493069262,26484354489,0,-1016836444,25467518045,3203960587307,-627511129497,1659528278,2578108986088,56314492550,2521794493538,VCI,yearly
GAS,2024,2,0.2507421762968104,30071154684526,3320816772236,0.052360072137306396,444796020763,-84360661851,30071154684526,-19151087054,30052003597472,-24316338397828,5735665199644,-229062513900,13506988048,-544935335647,-1180573021628,4239397337280,11689271040,0,-11843349446,-154078406,4239243258874,-815940185954,-7235890242,3416067182678,95250410442,3320816772236,VCI,yearly
GAS,2024,1,0.09901331802156291,23314997603580,2511656345896,-0.2503090701125148,462936897559,-108404069269,23314997603580,0,23314997603580,-19623882865000,3691114738580,-181218276653,-221264531,-585203252226,-217952939421,3169455903308,1720467633,0,-569740834,1150726799,3170606630107,-620219873816,-6781338988,2543605417303,31949071407,2511656345896,VCI,yearly
GAS,2023,4,0.02501657069147443,22603622817744,2723017281390,-0.16215822602733665,544174987204,-109925461445,22603622817744,-33007044207,22570615773537,-18512336516353,4058279257184,-137770087314,8691303169,-699752578635,-405845159047,3367777722561,2875370494,0,-5832616059,-2957245565,3364820476996,-575051993689,-13795687242,2775972796065,52955514675,2723017281390,VCI,yearly
GAS,2023,3,-0.08942817707449324,22153384035171,2377167759593,-0.21525803088557094,594196246031,-105613394329,22153384035171,-27223345010,22126160690161,-18444528562828,3681632127333,-278491969211,8629461831,-661570491796,-336197063220,3008198310968,5457820623,0,-4633553139,824267484,3009022578452,-604215927411,-545893030,2404260758011,27092998418,2377167759593,VCI,yearly
GAS,2023,2,-0.13057029655183294,24042648640474,3155589859554,-0.3796140132875944,598486949160,-62362003722,24042648640474,0,24042648640474,-19699873068605,4342775571869,-95220051108,9977891951,-546445908309,-306082777124,4003491676439,-3033208020,0,-1394079388,-4427287408,3999064389031,-792633120067,-10398464763,3196032804201,40442944647,3155589859554,VCI,yearly
GAS,2023,1,-0.2051269783874111,21214481409153,3350255746422,-0.02287267876396456,536057465928,-62075197062,21214481409153,0,21214481409153,-16372246909841,4842234499312,-75230970256,-570956163,-636102884351,-426731884204,4239655270266,28250273105,0,-1270778640,26979494465,4266634764731,-840698890686,-9106752779,3416829121266,66573374844,3350255746422,VCI,yearly
GAS,2022,4,0.09292121574250868,22051958440531,3250037615669,0.6548915433574782,489577196080,-95892638404,22051958440531,0,22051958440531,-17183140316181,4868818124350,-182916189988,6061502411,-682240838458,-350258369362,4149041425033,26139232520,0,-6140777259,19998455261,4169039880294,-803152514294,-29194713106,3336692652894,86655037225,3250037615669,VCI,yearly
GAS,2022,3,0.3120416517559021,24329090223763,3029234899053,0.2530777928466048,437067541966,-67533785424,24329090223763,0,24329090223763,-19932077727603,4397012496160,-183358646428,11723389889,-615528718089,-198174171545,3848741891953,26543698814,0,-24086327104,2457371710,3851199263663,-769600582536,7421129034,3089019810161,59784911108,3029234899053,VCI,yearly
