time,symbol,open,high,low,close,volume
2018-03-21,GVR,13.14,13.14,8.59,9.55,515800.0
2018-03-22,GVR,9.64,9.9,8.94,9.55,260800.0
2018-03-23,GVR,9.29,9.29,8.76,9.2,111800.0
2018-03-24,GVR,9.29,9.29,8.76,9.2,111800.0
2018-03-25,GVR,9.29,9.29,8.76,9.2,111800.0
2018-03-26,GVR,8.94,9.2,8.94,9.02,267800.0
2018-03-27,GVR,9.46,9.64,9.2,9.55,52200.0
2018-03-28,GVR,9.55,10.34,9.46,10.07,139800.0
2018-03-29,GVR,10.25,10.78,9.99,10.42,587200.0
2018-03-30,GVR,10.86,11.39,9.9,10.78,540800.0
2018-03-31,GVR,10.86,11.39,9.9,10.78,540800.0
2018-04-01,GVR,10.86,11.39,9.9,10.78,540800.0
2018-04-02,GVR,10.95,11.39,10.95,11.3,348000.0
2018-04-03,GVR,11.3,11.39,10.95,11.04,421300.0
2018-04-04,GVR,11.21,11.21,10.51,10.51,216100.0
2018-04-05,GVR,10.69,10.86,9.81,9.9,166200.0
2018-04-06,GVR,10.34,10.34,9.64,9.72,165600.0
2018-04-07,GVR,10.34,10.34,9.64,9.72,165600.0
2018-04-08,GVR,10.34,10.34,9.64,9.72,165600.0
2018-04-09,GVR,9.46,9.46,9.29,9.46,78200.0
2018-04-10,GVR,9.29,9.81,9.2,9.72,102000.0
2018-04-11,GVR,9.46,9.81,9.11,9.29,332300.0
2018-04-12,GVR,9.29,9.55,9.11,9.55,192400.0
2018-04-13,GVR,9.64,9.64,9.29,9.29,81100.0
2018-04-14,GVR,9.64,9.64,9.29,9.29,81100.0
2018-04-15,GVR,9.64,9.64,9.29,9.29,81100.0
2018-04-16,GVR,9.29,9.37,9.2,9.2,102600.0
2018-04-17,GVR,9.11,9.46,9.11,9.46,159800.0
2018-04-18,GVR,9.46,9.55,9.29,9.37,83800.0
2018-04-19,GVR,9.29,9.37,9.11,9.37,165400.0
2018-04-20,GVR,9.29,9.37,9.11,9.29,76100.0
2018-04-21,GVR,9.29,9.37,9.11,9.29,76100.0
2018-04-22,GVR,9.29,9.37,9.11,9.29,76100.0
2018-04-23,GVR,9.29,9.29,8.94,9.29,211500.0
