ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),Budget sources and other funds,MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND),data_source,period_type
GVR,2025,2,29210720402401,5546184333612,13804466874518,3213127985217,5297503898514,1349437310540,54399148223323,770222457317,35762442712817,1223211333997,2124080793477,6730285192409,83609868625724,21425062628470,9054751886669,12370310741801,62184805997254,62106142849026,304346224796,8625386581778,78663148228,5739369255801,83609868625724,725496172771,7748249000,5321239969551,0,6864725833561,40000000000000,40000000000000,2010168289824,579341970905,2718064216615,155068641500,6158693007725,329068105622,135671971099,511220291693,VCI,quarterly
GVR,2025,1,28554103345917,5298973931543,14273203266850,3164076304720,4701331603203,1116518239601,54685700198074,784975910614,35476360174088,1251265993481,2427467261090,6686062580189,83239803543991,23156601748820,10057698229837,13098903518983,60083201795171,60015271786468,305236086924,7420330348248,67930008703,5707338928253,83239803543991,676827100155,8048249000,4721932952355,0,6476263111418,40000000000000,40000000000000,2605099283215,882578578247,4227926096389,161730929550,6032454647207,354526105622,218219539808,601251360721,VCI,quarterly
GVR,2024,4,27670285917606,5778855663194,13952353795617,2539074723889,4351510470326,1048491264580,55713396594398,787511137957,35337155884690,1286697181872,2687592909120,6727043802283,83383682512004,24986520299896,11594062718132,13392457581764,58397162212108,58343704981056,10591031002,6240538555065,53457231052,5415074532442,83383682512004,354480392462,8048249000,4373924132656,0,6577606883132,40000000000000,40000000000000,2963853299554,618985484125,4074933861713,168265084097,6204462521120,358702878861,214871963977,607786542911,VCI,quarterly
GVR,2024,3,25448905246384,5861455764689,13025350128653,2401342222827,3116181266626,1044575863589,52731800384625,788468239876,34413278440175,1261934656925,2664126960020,4039997498760,78180705631009,20767835117782,7954369754813,12813465362969,57412870513227,57356025203944,10591031002,6975903144863,56845309283,5327662731407,78180705631009,480584001294,8048249000,3143420461317,203781556,5645277086332,40000000000000,40000000000000,2973756020455,583949642274,1758973053821,173857470131,3625388400697,360702878861,213770320830,645583730135,VCI,quarterly
GVR,2024,2,23473488226859,4203672262643,12675291563441,2013875917471,3330519579799,1250128903505,53576924039821,790462442623,35232552854736,1288760258691,2862290664111,4087985649114,77050412266680,20328646393869,7484408036558,12844238357311,56721765872811,56663744625409,10591031002,6124575908197,58021247402,5294463325527,77050412266680,344387288736,8048249000,3356409234795,0,5643782194241,40000000000000,40000000000000,3244347853358,591204668655,2018969058184,179449856167,3717612378433,360702878861,173864240509,606073679712,VCI,quarterly
GVR,2024,1,22975130468831,4611568941115,11744350615207,2454746188981,3084556347796,1079908375732,53938010906979,798112022174,34903338236744,1309174252697,2957340451796,3994883009959,76913141375810,20894964292176,7722616816853,13172347475323,56018177083634,55977984306224,10591031002,5896872645138,40192777410,5218299091470,76913141375810,575808308010,8048249000,3109857890052,0,5409348757982,40000000000000,40000000000000,3482095088312,782401117340,2445346526602,185042242203,3607806111230,360702878861,237710570559,671448951487,VCI,quarterly
GVR,2023,4,24185726014345,5677906729771,11227060440101,2866845285207,3377456367626,1036457191640,54199547941965,797194496407,34459023548806,1341008011103,2987697634094,3975532840708,78385273956310,23531697324997,10016576475416,13515120849581,54853576631313,54808664357252,10591031002,5029895583820,44912274061,5148584061396,78385273956310,467989242853,8048249001,3404947290691,0,5404929018666,40000000000000,40000000000000,3734959296104,690442983815,2844186256376,200593675098,3549289448786,360702878861,220987584478,653269031929,VCI,quarterly
GVR,2023,3,23730999678314,5534414228098,10770292321605,2836796871547,3672301677288,917194579776,54065795210252,772842749161,33962554909540,1365753313719,2928608144933,4045555386774,77796794888566,22506774133864,8306811598579,14199962535285,55290020754702,55220662555330,10591031002,6109271911903,69358199372,4844801504600,77796794888566,572362989371,10384605161,3704567042343,0,5293783975398,40000000000000,40000000000000,4319183656589,585690246105,1904993877879,195284539098,3653902761826,393731440114,214823334138,571019056981,VCI,quarterly
GVR,2023,2,22626045992294,4301260517988,10747900270165,2614569106945,3877530690305,1084785406891,54038229045025,810341097810,34182966884302,1398528792969,2929097204978,3923365776070,76664275037319,22489684502495,8284461756962,14205222745533,54174590534824,54112634459305,10591031002,5653558407657,61956075519,4521994898703,76664275037319,451061921699,10537685848,3923953702411,0,5277474729282,40000000000000,40000000000000,4287832466126,545180678712,2419784366540,34530286357,3688959753142,393731440114,239453110317,635323666895,VCI,quarterly
GVR,2023,1,22405646236419,3576550266966,11012622373894,2766076859077,4023529913018,1026866823464,54637413898152,776620229704,34465532226718,1382551370764,2864045176792,4123899294976,77043060134571,22752098029391,8400935606025,14351162423366,54290962105180,54217117956567,10591031002,5645849416240,73844148613,4587719173661,77043060134571,572938037550,10502954779,4110426873594,0,5089827339070,40000000000000,40000000000000,4444022457743,546809333849,2622337650639,35722287988,3851812720286,393731440114,248688759931,607398922226,VCI,quarterly
GVR,2022,4,23314794279463,4164223932575,11317923768584,2942282328412,4003321638204,887042611688,54749194490671,810955860977,33951993981736,1416738057039,2875731622366,3846374486021,78063988770134,24860731509715,10232094054157,14628637455558,53203257260419,53134590282853,10591031002,4783426942044,68666977566,4336454139154,78063988770134,528587126041,10547295649,4083998435318,0,5089722683259,40000000000000,40000000000000,4822312436135,542146113766,2589347002150,36914289619,3525350510981,386554666875,248737053262,512609082150,VCI,quarterly
GVR,2022,3,24433688440694,5139700491513,10426562898343,2628383165640,5447463247923,791578637275,55153412452692,824024195747,33652508089147,1401282892090,3174692920554,3835520750234,79587100893386,24741370772008,9081808482046,15659562289962,54845730121378,54762143116927,10591031002,7103442052161,83587004451,4452305789258,79587100893386,603450610207,10574924689,5484641363041,0,4402037665573,40000000000000,40000000000000,5607412210599,490645406408,2152044452069,39106291250,3522282291327,384554666875,241293423069,511112818204,VCI,quarterly
