ticker,yearReport,lengthReport,Net Profit/Loss before tax,Depreciation and Amortisation,Provision for credit losses,Unrealized foreign exchange gain/loss,Profit/Loss from investing activities,Interest Expense,Operating profit before changes in working capital,Increase/Decrease in receivables,Increase/Decrease in inventories,Increase/Decrease in payables,Increase/Decrease in prepaid expenses,Interest paid,Business Income Tax paid,Other receipts from operating activities,Other payments on operating activities,Net cash inflows/outflows from operating activities,Purchase of fixed assets,Proceeds from disposal of fixed assets,"Loans granted, purchases of debt instruments (Bn. VND)","Collection of loans, proceeds from sales of debts instruments (Bn. VND)",Investment in other entities,Proceeds from divestment in other entities,Gain on Dividend,Net Cash Flows from Investing Activities,Proceeds from borrowings,Repayment of borrowings,Dividends paid,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,data_source,period_type
GVR,2025,2,1952839612873,604768192738,-15249141162,-3089310946,-732098527144,205480824971,2418582685509,162244409425,-611416776532,-129606739649,-341758545541,-68481190748,-97875024750,126481050039,-221810031080,1236359836673,-222390544380,279515153676,-4414525860474,4876722079652,0,0,546032689886,1065353518360,655358477036,-2853062182585,-65459998880,-2263163704429,38549650604,5298973931543,208660751465,5546184333612,VCI,quarterly
GVR,2025,1,1564239447509,648915608703,8680881023,-3602775722,-536750036402,-69400548964,1584049766965,-504926903359,-345921249943,-212401042745,80784987909,-80388356193,-509837285864,28898373964,-595521482458,-555263191724,-185150286941,435279599915,-3120293323295,2907360134897,0,0,214447987054,251644111630,1153893978387,-1359655760050,-519824350,-206281606013,-509900686107,5778855663194,30018954456,5298973931543,VCI,quarterly
GVR,2024,4,2397292637124,806888111774,72079255329,-30819005580,-417296695695,87067268582,2915211571534,-181049642649,-1230503671339,1170600706105,-2539794532681,-100038514273,-343426052428,-1015120270750,-2275955547021,-3600075953502,-154541205196,-38049069218,1882541486680,-538685187257,-2395724298,0,112708265252,1261578565963,3646566669817,-1344217230017,-77271159336,2225078280464,-113419107075,5861455764689,30819005580,5778855663194,VCI,quarterly
GVR,2024,3,1306406770290,710091590295,87492810,181628121143,-379667246346,81287573713,1899834301905,-424350889374,212988773478,931494820344,204700462648,-42467261366,-55880251741,2318645377395,-1024474582119,4020490751170,-189860737886,222642572708,-1728046263663,-29114930392,-1720000000,0,68591038677,-1657508320556,966020341136,-1492899531211,3308382650,-523570807425,1839411623189,4203672262643,-181628121143,5861455764689,VCI,quarterly
GVR,2024,2,1124198925483,584859211765,4907309805,-166422324469,953855927362,90526866806,2591925916752,500808317187,-246551344743,135476222293,-198282544330,-115696432322,225129313553,-708714405447,-1140131974262,1043963068681,-129217467173,67213980531,-1251393193209,392575450987,-3375000000,0,-44744374370,-968940603234,882916587772,-1547041291144,14783234984,-649341468388,-574319002941,4611568941115,166422324469,4203672262643,VCI,quarterly
GVR,2024,1,778493106267,601889514729,-8028161027,-11483011088,-1715813263683,94023493348,-260918321454,88429981288,278279684859,-1022588605245,-41615952388,-84866499246,-621751502843,746101659235,-111456752090,-1030386307884,-122680364250,100530666849,-1063865271389,1614607160704,-3395082000,0,222365098554,747562208468,1082319356392,-1734782415322,-28715922141,-681178981071,-964003080487,5564089010514,11483011088,4611568941115,VCI,quarterly
GVR,2023,4,1671824924423,683467977203,29170250592,-16409245598,-529304168171,114630440966,1953380179415,-126569368418,314264774029,236954201982,45141308076,-97601831027,-204690621063,1091815502102,-4903038120825,-1690343975729,-267151872374,244871197934,1846672782824,-395450013454,-3009652887,3000001000,123144023634,1552076466677,1431160369940,-1076192351928,-89617252885,265350765127,127083256075,5534414228098,16409245598,5677906729771,VCI,quarterly
GVR,2023,3,622186362463,618961558110,-26162130156,5220356537,-385693644838,85426215156,919938717272,-145918443339,219386660068,572779725724,189228650381,-188638878257,-568019244039,2532953158476,-273362106067,3258348240219,5897257670,120513777208,-1512937551524,-1746739556,-133061085356,0,-15923403287,-1537257744845,817057630156,-1300496928354,722869471,-482716428727,1238374066647,4301260517988,-5220356537,5534414228098,VCI,quarterly
GVR,2023,2,881917424904,578798942573,-35053624043,27982542854,412105897251,-248251457417,1617499726122,121988672917,186473171183,36455641291,52897842907,-38854522131,349201491158,-851329509088,626160670607,2100493184966,-339354428341,65460358457,-1467200087986,703206971579,2362265834,0,18805272113,-1016719648344,1126238050659,-1484981326375,27662532970,-331080742746,752692793876,3576550266966,-27982542854,4301260517988,VCI,quarterly
GVR,2023,1,947879551549,561275832426,-12375576579,8511415383,-1254614300775,490848598668,741525520672,41084881790,105742659041,-1197226420176,-187424190313,-216656362298,-376674835535,892218594273,-626160670607,-823570823153,-160012048879,112837847728,-1126629040539,1380997168922,-9276649127,0,226032618567,423949896672,1197387906781,-1543789451299,-39208391174,-385609935692,-785230862173,4370292544522,-8511415383,3576550266966,VCI,quarterly
