rsi,rs,id,price,price_change,price_change_ratio,price_change_ratio_1m,event_name,event_code,notify_date,exer_date,reg_final_date,exer_right_date,event_desc
45.6,27.0,2601008,28500.0,-300.0,-0.01,-0.024,GVR - Holds 2025 extra-ordinary shareholders meeting,EGME,2025-09-26,2025-11-10,2025-10-09,2025-10-08,"Viet Nam Rubber Group - Joint Stock Company (GVR) holds 2025 extra-ordinary shareholders meeting: Ex-date: October 8, 2025 Record date: October 9, 2025 Meeting time: November 10, 2025, tentative Venue: To be advised later;."
41.6,28.0,2599292,29050.0,-150.0,-0.005,-0.015,GVR - Audited Financial Statement Quarter 2/2025,KQQY,2025-08-29,2025-08-29,1753-01-01,1753-01-01,GVR - Audited Financial Statement Quarter 2/2025
41.3,18.0,2599144,29200.0,50.0,0.002,-0.07,GVR - Audited Financial Statement Quarter 2/2025 (holding company),KQQY,2025-08-28,2025-08-28,1753-01-01,1753-01-01,GVR - Audited Financial Statement Quarter 2/2025 (holding company)
45.1,28.0,2596341,29500.0,0.0,0.0,-0.026,GVR - Financial Statement Quarter 2/2025,KQQY,2025-07-30,2025-07-30,1753-01-01,1753-01-01,GVR - Financial Statement Quarter 2/2025
45.1,28.0,2596436,29500.0,0.0,0.0,-0.026,GVR - Financial Statement Quarter 2/2025 (holding company),KQQY,2025-07-30,2025-07-30,1753-01-01,1753-01-01,GVR - Financial Statement Quarter 2/2025 (holding company)
33.5,24.0,2590539,23700.0,200.0,0.009,-0.269,GVR - Financial Statement Quarter 1/2025 (holding company),KQQY,2025-04-29,2025-04-29,1753-01-01,1753-01-01,GVR - Financial Statement Quarter 1/2025 (holding company)
33.5,24.0,2590857,23700.0,200.0,0.009,-0.269,GVR - Financial Statement Quarter 1/2025,KQQY,2025-04-29,2025-04-29,1753-01-01,1753-01-01,GVR - Financial Statement Quarter 1/2025
28.7,26.0,2589175,22300.0,-1400.0,-0.059,-0.347,GVR - Holds 2025 AGM,AGME,2025-04-22,2025-06-17,2025-05-16,2025-05-15,"Viet Nam Rubber Group - Joint Stock Company (GVR) holds 2025 AGM Ex-date: May 15, 2025 Record date: May 16, 2025 Meeting time: June 17, 2025 12:00 AM Venue: Hall C, Headquarters of Vietnam Rubber Industry Group - Joint Stock Company, 236 Nam Ky Khoi Nghia, Vo Thi Sau Ward, District 3, TP. Ho Chi Minh;. "
43.7,43.0,2587436,31850.0,-550.0,-0.017,-0.038,GVR - Audited Financial Statement FY 2024,KQCT,2025-04-01,2025-04-01,1753-01-01,1753-01-01,GVR - Audited Financial Statement FY 2024
43.7,43.0,2587774,31850.0,-550.0,-0.017,-0.038,GVR - Audited Financial Statement Quarter 4/2024,KQQY,2025-04-01,2025-04-01,1753-01-01,1753-01-01,GVR - Audited Financial Statement Quarter 4/2024
44.2,44.0,2580914,,,,,GVR - Financial Statement Quarter 4/2024,KQQY,2025-01-26,2025-01-26,1753-01-01,1753-01-01,GVR - Financial Statement Quarter 4/2024
39.6,32.0,2580686,28800.0,350.0,0.012,-0.062,GVR - Financial Statement Quarter 4/2024 (holding company),KQQY,2025-01-24,2025-01-24,1753-01-01,1753-01-01,GVR - Financial Statement Quarter 4/2024 (holding company)
35.9,52.0,2578690,32399.0,-248.0,-0.008,-0.085,GVR - Financial Statement Quarter 3/2024,KQQY,2024-10-30,2024-10-30,1753-01-01,1753-01-01,GVR - Financial Statement Quarter 3/2024
30.9,40.0,2576738,32647.0,446.0,0.014,-0.078,GVR - Pay cash dividend 2023 - Year at VND 300/share,DIV,2024-10-29,2024-12-12,2024-11-15,2024-11-14,"Viet Nam Rubber Group - Joint Stock Company (GVR) pays cash dividend 2023-Year: Ex-date: November 14, 2024 Record date: November 15, 2024 Payment date: December 12, 2024 Payment rate: 3%/parvalue (VND 300/shares). "
56.2,74.0,2574188,35025.0,50.0,0.001,0.063,GVR - Audited Financial Statement Quarter 2/2024,KQQY,2024-08-30,2024-08-30,1753-01-01,1753-01-01,GVR - Audited Financial Statement Quarter 2/2024
