rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
45.6,27.0,28500,-300,-0.01,-0.024,11723391,GVR: Thông báo về ngày đăng ký cuối cùng tổ chức ĐHĐCĐ bất thường năm 2025,TCBS,2025-09-26 18:03:01
43.2,16.0,28600,-200,-0.007,-0.096,11716622,GVR: Nghị quyết HĐQT về việc tổ chức ĐHĐCĐ bất thường năm 2025,TCBS,2025-09-19 17:49:50
41.7,25.0,29350,600,0.021,-0.096,11709932,GVR: Thông báo thay đổi nhân sự Phó TGĐ,TCBS,2025-09-12 17:35:19
48.9,43.0,30250,300,0.01,0.017,11664955,GVR: Thông báo thay đổi mẫu dấu công ty,TCBS,2025-08-06 18:04:31
49.8,35.0,29700,-400,-0.013,-0.047,11660082,GVR: Thông báo thay đổi tên miền website và địa chỉ email CBTT,TCBS,2025-08-01 19:47:59
45.1,28.0,29500,0,0.0,-0.026,11656048,GVR: Thông báo ký hợp đồng kiểm toán BCTC 2025,TCBS,2025-07-30 18:01:02
60.7,45.0,29500,-1900,-0.061,-0.026,11654019,GVR: Báo cáo tình hình quản trị 6 tháng đầu năm 2025,TCBS,2025-07-29 17:55:14
60.7,45.0,29500,-1900,-0.061,-0.026,11653732,GVR: CBTT lựa chọn đơn vị kiểm toán BCTC 2025,TCBS,2025-07-29 16:13:50
52.9,49.0,30100,250,0.008,0.069,11629033,GVR: Thông báo thay đổi địa chỉ theo tên gọi của đơn vị hành chính mới,TCBS,2025-07-10 17:35:38
59.0,31.0,31150,850,0.028,0.063,11616882,GVR: CBTT chủ trương đầu tư KCN Nma Đồng Phú giai đoạn 2,TCBS,2025-07-01 16:34:32
59.0,31.0,31150,850,0.028,0.063,11616856,GVR: CBTT chủ trương đầu tư KCN Nam Đồng Phú giai đoạn 2,TCBS,2025-07-01 16:34:00
55.4,54.0,29900,900,0.031,0.099,11603911,VRG miễn nhiệm một nhân sự cấp cao,TCBS,2025-06-19 15:33:00
54.9,48.0,29000,100,0.003,0.066,11602754,GVR: Nghị quyết và Biên bản họp ĐHĐCĐ thường niên năm 2025,TCBS,2025-06-18 16:48:41
54.9,48.0,29000,100,0.003,0.066,11602756,GVR: Thông báo thay đổi nhân sự công ty,TCBS,2025-06-18 16:47:43
49.9,33.0,28900,900,0.032,0.063,11601368,"VRG sẽ đầu tư thêm 70.000 ha cao su tại Lào, Campuchia",TCBS,2025-06-17 17:38:00
