officer_name,officer_position,officer_own_percent
Nguyen Cuu Tue,Person in charge of Corporate governace,0.0001
Pham Van Thanh,,0.0001
Tran Ngoc Thuan,,0.0001
Do Huu Phuoc,Member of Management Board,0.0
Ha Van Khuong,Member of Management Board,0.0
Le Thanh Hung,Member of Management Board,0.0
Le Thanh Hung,General Director,0.0
Do Huu Phuoc,Deputy General Director,0.0
Pham Hai Duong,Deputy General Director,0.0
Nguyen Tien Duc,Deputy General Director,0.0
Le Thanh Tu,Deputy General Director,0.0
Le Thanh Hung,Deputy General Director,0.0
NGUYEN THAI BINH,,0.0
Huynh Kim Nhut,,0.0
Hoang Dinh Tri,,0.0
Tran Duc Thuan,,0.0
Tran Thanh Phung,,0.0
Truong Minh Trung,,0.0
Giang Hoa Vu,,0.0
Huynh Van Bao,,0.0
