time,open,high,low,close,volume,data_source
2018-03-21,13.14,13.14,8.59,9.55,515800,TCBS
2018-03-22,9.64,9.9,8.94,9.55,260800,TCBS
2018-03-23,9.29,9.29,8.76,9.2,111800,TCBS
2018-03-26,8.94,9.2,8.94,9.02,267800,TCBS
2018-03-27,9.46,9.64,9.2,9.55,52200,TCBS
2018-03-28,9.55,10.34,9.46,10.07,139800,TCBS
2018-03-29,10.25,10.78,9.99,10.42,587200,TCBS
2018-03-30,10.86,11.39,9.9,10.78,540800,TCBS
2018-04-02,10.95,11.39,10.95,11.3,348000,TCBS
2018-04-03,11.3,11.39,10.95,11.04,421300,TCBS
2018-04-04,11.21,11.21,10.51,10.51,216100,TCBS
2018-04-05,10.69,10.86,9.81,9.9,166200,TCBS
2018-04-06,10.34,10.34,9.64,9.72,165600,TCBS
2018-04-09,9.46,9.46,9.29,9.46,78200,TCBS
2018-04-10,9.29,9.81,9.2,9.72,102000,TCBS
2018-04-11,9.46,9.81,9.11,9.29,332300,TCBS
2018-04-12,9.29,9.55,9.11,9.55,192400,TCBS
2018-04-13,9.64,9.64,9.29,9.29,81100,TCBS
2018-04-16,9.29,9.37,9.2,9.2,102600,TCBS
2018-04-17,9.11,9.46,9.11,9.46,159800,TCBS
2018-04-18,9.46,9.55,9.29,9.37,83800,TCBS
2018-04-19,9.29,9.37,9.11,9.37,165400,TCBS
2018-04-20,9.29,9.37,9.11,9.29,76100,TCBS
2018-04-23,9.29,9.29,8.94,9.29,211500,TCBS
2018-04-24,8.76,9.11,8.76,9.02,21100,TCBS
2018-04-26,8.94,9.02,8.76,8.76,102600,TCBS
2018-04-27,8.94,9.02,8.76,8.85,82200,TCBS
2018-05-02,8.76,8.76,8.76,8.76,59200,TCBS
2018-05-03,9.37,9.37,8.76,9.2,56200,TCBS
2018-05-04,8.76,9.11,8.76,9.02,5500,TCBS
2018-05-07,9.02,9.11,8.76,8.85,130900,TCBS
2018-05-08,8.76,9.02,8.67,8.76,98300,TCBS
2018-05-09,8.76,8.85,8.67,8.85,166300,TCBS
2018-05-10,8.67,8.94,8.59,8.76,122500,TCBS
2018-05-11,8.76,8.76,8.59,8.67,155800,TCBS
2018-05-14,8.67,8.67,8.41,8.67,122000,TCBS
2018-05-15,8.67,8.76,8.5,8.76,111100,TCBS
2018-05-16,8.59,8.59,8.59,8.59,39000,TCBS
2018-05-17,8.67,8.76,8.59,8.59,73100,TCBS
2018-05-18,8.76,8.76,8.67,8.76,67100,TCBS
2018-05-21,8.67,8.76,8.67,8.67,144400,TCBS
2018-05-22,8.76,8.76,8.59,8.59,212200,TCBS
2018-05-23,8.59,8.59,8.32,8.32,87700,TCBS
2018-05-24,8.41,8.5,8.32,8.41,42700,TCBS
2018-05-25,8.41,8.5,8.24,8.24,33000,TCBS
2018-05-28,8.24,8.32,7.71,7.8,194500,TCBS
2018-05-29,7.71,7.97,7.71,7.8,48100,TCBS
2018-05-30,7.71,7.71,7.45,7.45,204200,TCBS
2018-05-31,7.62,7.8,7.62,7.8,70800,TCBS
2018-06-01,7.71,7.8,7.62,7.71,48200,TCBS
2018-06-04,7.71,7.88,7.62,7.71,52900,TCBS
2018-06-05,7.71,7.71,7.36,7.36,201900,TCBS
2018-06-06,7.45,7.45,7.36,7.36,187800,TCBS
2018-06-07,7.36,7.71,7.36,7.71,144800,TCBS
2018-06-08,7.45,7.45,7.27,7.36,136900,TCBS
2018-06-11,7.36,7.45,7.36,7.36,60400,TCBS
2018-06-12,7.36,7.36,7.18,7.27,112600,TCBS
2018-06-13,7.27,7.36,7.27,7.36,33700,TCBS
2018-06-14,7.27,7.27,6.66,7.01,182100,TCBS
2018-06-15,7.1,7.1,7.01,7.01,95300,TCBS
2018-06-18,7.01,7.01,6.31,7.01,106100,TCBS
2018-06-19,6.83,6.83,5.87,6.04,166500,TCBS
2018-06-20,6.4,7.1,6.4,7.01,161400,TCBS
2018-06-21,7.01,7.01,6.66,7.01,141300,TCBS
2018-06-22,6.75,7.1,6.66,6.83,247200,TCBS
2018-06-25,7.01,7.1,6.83,7.1,231700,TCBS
2018-06-26,6.92,7.27,6.83,7.27,47800,TCBS
2018-06-27,7.27,8.06,7.27,7.97,295200,TCBS
2018-06-28,7.97,8.06,7.62,7.88,59600,TCBS
2018-06-29,7.97,7.97,7.71,7.8,64400,TCBS
2018-07-02,7.8,7.8,7.71,7.71,30200,TCBS
2018-07-03,6.92,7.62,6.92,7.62,32300,TCBS
2018-07-04,7.36,8.32,7.36,7.97,139400,TCBS
2018-07-05,7.8,7.97,6.92,7.45,200300,TCBS
2018-07-06,7.27,7.45,7.27,7.45,90000,TCBS
2018-07-09,7.45,7.53,7.45,7.53,20500,TCBS
2018-07-10,7.18,7.45,7.1,7.45,69100,TCBS
2018-07-11,7.27,7.27,7.1,7.27,472100,TCBS
2018-07-12,7.27,7.27,7.01,7.01,64000,TCBS
2018-07-13,7.27,7.27,7.18,7.18,372000,TCBS
2018-07-16,7.18,7.18,7.01,7.18,187000,TCBS
2018-07-17,7.01,7.01,6.83,6.92,33900,TCBS
2018-07-18,7.18,7.18,6.92,6.92,27200,TCBS
2018-07-19,6.83,6.92,6.57,6.92,101800,TCBS
2018-07-20,6.92,7.62,6.92,7.62,114400,TCBS
2018-07-23,7.62,7.8,7.45,7.62,500,TCBS
2018-07-24,7.18,7.18,7.1,7.1,43000,TCBS
2018-07-25,7.53,7.53,7.1,7.18,60200,TCBS
2018-07-26,7.18,7.45,7.18,7.45,882600,TCBS
2018-07-27,7.18,7.45,7.18,7.18,246900,TCBS
2018-07-30,7.18,7.18,7.1,7.18,5400,TCBS
2018-07-31,7.1,7.18,7.01,7.01,74900,TCBS
2018-08-01,7.01,7.18,7.01,7.18,81600,TCBS
2018-08-02,7.1,7.1,7.1,7.1,4400,TCBS
2018-08-03,7.1,7.18,7.1,7.18,10800,TCBS
2018-08-06,7.18,7.18,7.18,7.18,2800,TCBS
2018-08-07,7.18,7.27,7.18,7.18,68600,TCBS
2018-08-08,7.1,7.18,7.01,7.18,52000,TCBS
2018-08-09,7.18,7.18,7.1,7.1,16800,TCBS
2018-08-10,7.01,7.1,7.01,7.01,41900,TCBS
2018-08-13,7.01,7.1,7.01,7.01,900,TCBS
2018-08-14,7.1,7.1,7.01,7.01,25800,TCBS
2018-08-15,7.1,7.1,7.01,7.1,235000,TCBS
2018-08-16,6.92,6.92,6.92,6.92,105700,TCBS
2018-08-17,6.92,7.18,6.92,6.92,60600,TCBS
2018-08-20,6.92,7.01,6.83,6.92,72300,TCBS
2018-08-21,6.92,7.01,6.83,7.01,37800,TCBS
2018-08-22,6.92,7.01,6.92,7.01,11200,TCBS
2018-08-23,7.01,7.01,7.01,7.01,8800,TCBS
2018-08-24,7.01,7.01,7.01,7.01,16500,TCBS
2018-08-27,7.01,7.01,7.01,7.01,16300,TCBS
2018-08-28,6.92,7.1,6.83,7.01,42100,TCBS
2018-08-29,7.01,7.01,7.01,7.01,7600,TCBS
2018-08-30,7.18,7.88,7.01,7.27,1460300,TCBS
2018-08-31,7.27,7.27,7.01,7.01,225500,TCBS
2018-09-04,7.1,7.18,7.1,7.1,19000,TCBS
2018-09-05,7.01,7.01,6.83,7.01,29500,TCBS
2018-09-06,6.92,7.01,6.83,6.92,19000,TCBS
2018-09-07,7.01,7.01,6.92,6.92,11600,TCBS
2018-09-10,6.92,6.92,6.92,6.92,15000,TCBS
2018-09-11,6.92,7.1,6.92,6.92,241360,TCBS
2018-09-12,7.01,7.01,6.92,6.92,163700,TCBS
2018-09-13,7.01,7.1,6.92,7.01,12000,TCBS
2018-09-14,6.92,7.01,6.92,7.01,158000,TCBS
2018-09-17,6.92,6.92,6.83,6.92,346950,TCBS
2018-09-18,6.92,6.92,6.83,6.92,86300,TCBS
2018-09-19,6.92,6.92,6.83,6.92,19300,TCBS
2018-09-20,7.01,7.01,6.92,6.92,45200,TCBS
2018-09-21,7.01,7.36,7.01,7.01,68300,TCBS
2018-09-24,7.18,7.27,7.1,7.18,53200,TCBS
2018-09-25,7.1,7.27,7.1,7.18,47900,TCBS
2018-09-26,7.36,7.45,7.27,7.27,92800,TCBS
2018-09-27,7.36,7.36,7.18,7.18,16100,TCBS
2018-09-28,7.27,7.36,7.27,7.27,31400,TCBS
2018-09-28,7.27,7.36,7.27,7.27,31400,TCBS
2018-10-01,7.45,7.71,7.36,7.71,87900,TCBS
2018-10-02,7.8,8.15,7.8,7.8,111100,TCBS
2018-10-03,7.97,9.11,7.97,9.11,275790,TCBS
2018-10-04,10.07,10.07,8.94,9.29,225950,TCBS
2018-10-05,9.2,9.64,8.59,8.59,270250,TCBS
2018-10-08,8.06,8.76,8.06,8.76,106200,TCBS
2018-10-09,8.76,8.94,8.41,8.94,67680,TCBS
2018-10-10,8.85,8.94,8.67,8.67,1500,TCBS
2018-10-11,8.59,8.59,7.53,7.71,220500,TCBS
2018-10-12,7.71,8.32,7.71,8.32,50630,TCBS
2018-10-15,8.94,9.02,8.06,8.24,70100,TCBS
2018-10-16,8.76,9.37,8.15,8.15,294800,TCBS
2018-10-17,8.32,8.32,8.06,8.06,26240,TCBS
2018-10-18,8.15,8.15,8.06,8.15,5400,TCBS
2018-10-19,7.97,8.06,7.88,7.88,8400,TCBS
2018-10-22,7.88,8.15,7.88,8.15,2510,TCBS
2018-10-23,7.88,8.24,7.88,7.88,3800,TCBS
2018-10-24,7.88,7.97,7.53,7.97,19000,TCBS
2018-10-25,7.8,7.8,7.62,7.71,23000,TCBS
2018-10-26,7.45,8.32,7.45,8.24,295580,TCBS
2018-10-29,7.88,8.67,7.88,8.32,58000,TCBS
2018-10-30,8.06,8.32,8.06,8.24,12100,TCBS
2018-10-31,8.32,9.2,8.06,8.32,123400,TCBS
2018-11-01,8.15,8.15,7.88,8.15,64700,TCBS
2018-11-02,8.15,8.15,7.53,7.88,171100,TCBS
2018-11-05,8.76,8.76,7.8,8.24,52000,TCBS
2018-11-06,8.24,8.32,8.24,8.24,80000,TCBS
2018-11-07,8.24,8.24,7.88,7.97,546800,TCBS
2018-11-08,9.02,9.02,8.15,8.41,40300,TCBS
2018-11-09,8.59,8.67,7.97,8.15,132870,TCBS
2018-11-12,7.88,8.24,7.88,7.97,160310,TCBS
2018-11-13,8.15,8.24,7.97,8.24,7100,TCBS
2018-11-14,8.32,9.02,7.97,8.06,72700,TCBS
2018-11-15,8.67,8.76,8.32,8.41,24500,TCBS
2018-11-16,8.15,8.32,7.97,8.06,55500,TCBS
2018-11-19,8.15,8.41,7.97,8.41,58770,TCBS
2018-11-20,8.15,8.5,8.06,8.32,49600,TCBS
2018-11-21,8.15,8.5,8.06,8.24,38900,TCBS
2018-11-22,8.32,8.32,8.06,8.32,62140,TCBS
2018-11-23,8.32,9.2,8.24,8.41,142630,TCBS
2018-11-26,8.32,8.5,8.32,8.41,32900,TCBS
2018-11-27,8.5,8.5,8.24,8.24,8200,TCBS
2018-11-28,8.15,8.15,8.15,8.15,9200,TCBS
2018-11-29,8.15,8.15,8.15,8.15,9300,TCBS
2018-11-30,8.24,8.24,8.15,8.15,48730,TCBS
2018-12-03,8.24,8.32,8.15,8.32,15300,TCBS
2018-12-04,8.15,8.32,8.15,8.15,11600,TCBS
2018-12-05,8.32,8.32,8.15,8.15,26400,TCBS
2018-12-06,8.15,8.32,8.15,8.32,13000,TCBS
2018-12-07,8.15,8.32,8.06,8.15,28020,TCBS
2018-12-10,8.06,8.24,8.06,8.24,24100,TCBS
2018-12-11,8.06,8.15,7.88,8.06,276000,TCBS
2018-12-12,7.97,7.97,7.97,7.97,300,TCBS
2018-12-13,8.06,8.06,8.06,8.06,3200,TCBS
2018-12-14,7.97,8.06,7.88,8.06,40000,TCBS
2018-12-17,7.97,8.06,7.88,7.97,34000,TCBS
2018-12-18,7.88,8.06,7.88,7.97,83000,TCBS
2018-12-19,7.97,8.15,7.97,8.06,170300,TCBS
2018-12-20,8.06,8.15,8.06,8.06,13600,TCBS
2018-12-21,7.97,8.32,7.97,8.15,20200,TCBS
2018-12-24,8.15,8.24,8.06,8.24,90030,TCBS
2018-12-25,8.06,8.15,7.88,8.15,91800,TCBS
2018-12-26,8.06,8.32,7.97,8.32,42900,TCBS
2018-12-27,8.32,9.46,8.32,8.67,220920,TCBS
2018-12-28,8.94,9.11,8.41,9.02,69500,TCBS
2019-01-02,8.24,8.32,8.24,8.32,7900,TCBS
2019-01-03,8.24,8.32,8.15,8.24,17600,TCBS
2019-01-04,8.06,8.32,8.06,8.24,20830,TCBS
2019-01-07,8.15,8.15,7.88,7.88,59700,TCBS
2019-01-08,7.97,8.06,7.97,8.06,6300,TCBS
2019-01-09,8.24,8.32,8.06,8.24,32100,TCBS
2019-01-10,8.15,8.15,8.15,8.15,9870,TCBS
2019-01-11,8.24,8.76,8.24,8.24,116200,TCBS
2019-01-14,8.24,8.5,8.24,8.24,48800,TCBS
2019-01-15,8.59,8.59,8.24,8.24,23900,TCBS
2019-01-16,8.59,9.2,8.41,8.41,48700,TCBS
2019-01-17,8.67,8.67,8.32,8.32,16000,TCBS
2019-01-18,8.59,8.59,8.32,8.5,22100,TCBS
2019-01-21,8.32,8.59,8.24,8.59,9200,TCBS
2019-01-22,8.41,8.41,8.24,8.24,38400,TCBS
2019-01-23,8.24,8.32,8.24,8.24,5200,TCBS
2019-01-24,8.24,8.32,8.06,8.32,23010,TCBS
2019-01-25,8.15,8.15,8.06,8.06,3500,TCBS
2019-01-28,8.15,8.41,8.15,8.32,56000,TCBS
2019-01-29,8.15,8.5,8.15,8.5,82500,TCBS
2019-01-30,8.59,9.11,8.5,8.67,161000,TCBS
2019-01-31,9.02,9.2,8.67,8.76,34700,TCBS
2019-02-01,8.76,8.94,8.76,8.85,31700,TCBS
2019-02-11,8.76,8.76,8.32,8.32,8700,TCBS
2019-02-12,8.41,8.76,8.32,8.76,21300,TCBS
2019-02-13,8.41,8.67,8.41,8.67,21200,TCBS
2019-02-14,8.5,8.59,8.5,8.5,2900,TCBS
2019-02-15,8.67,8.76,8.59,8.59,32950,TCBS
2019-02-18,8.59,8.67,8.5,8.5,24000,TCBS
2019-02-19,8.59,8.67,8.59,8.59,37500,TCBS
2019-02-20,8.59,8.67,8.41,8.67,107900,TCBS
2019-02-21,8.5,8.59,8.41,8.41,73500,TCBS
2019-02-22,8.59,8.76,8.5,8.5,131000,TCBS
2019-02-25,8.67,9.2,8.67,8.76,73900,TCBS
2019-02-26,8.94,8.94,8.5,8.67,46300,TCBS
2019-02-27,8.67,9.2,8.59,8.59,274100,TCBS
2019-02-28,8.67,8.67,8.59,8.59,58300,TCBS
2019-03-01,8.59,8.59,8.59,8.59,14100,TCBS
2019-03-04,8.59,8.85,8.59,8.85,65500,TCBS
2019-03-05,8.85,9.11,8.76,9.11,116140,TCBS
2019-03-06,9.02,9.37,8.94,9.02,333400,TCBS
2019-03-07,9.11,9.29,8.76,8.76,91001,TCBS
2019-03-08,8.85,8.94,8.76,8.94,83409,TCBS
2019-03-11,8.76,8.76,8.59,8.67,93300,TCBS
2019-03-12,8.67,8.94,8.67,8.76,206700,TCBS
