ticker,yearReport,lengthReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company,data_source,period_type
GVR,2025,2,0.26592517920425246,5891195424631,1446811095857,0.7625974889282686,235607202052,-66679727043,5891195424631,-1187814894,5890007609737,-4081936434211,1808071175526,-79644829333,93669667652,-103810893590,-530980716891,1422911605416,591116987699,-61188980242,529928007457,1952839612873,-302772293904,-71240501134,1578826817835,132015721978,1446811095857,VCI,quarterly
GVR,2025,1,0.237817058938261,5681992269243,1184647986486,1.4910438592190949,236898888858,-69400548964,5681992269243,-5030532730,5676961736513,-4039982227934,1636979508579,-84194141544,10698257498,-93937970474,-420642417847,1285802125070,363061987228,-84624664789,278437322439,1564239447509,-235276891787,26816755324,1355779311046,171131324560,1184647986486,VCI,quarterly
GVR,2024,4,0.22337321853086806,9305951454547,1748529121666,0.5016613411105904,269448617904,-87067268582,9305951454547,-17751012015,9288200442532,-6155538225416,3132662217116,-128176245825,104255138843,-189539361387,-1018582774495,2170067592156,515374385110,-288149340142,227225044968,2397292637124,-386958194150,110930842596,2121265285570,372736163904,1748529121666,VCI,quarterly
GVR,2024,3,0.244789325794085,7717064516661,943784293874,2.0168761103975115,226341384691,-81287573713,7717064516661,-1290963428,7715773553233,-6120216246593,1595557306640,-90611538741,4625687111,-149742398163,-511327965650,1074842475888,323619551153,-92055256751,231564294402,1306406770290,-240800187573,55113764819,1120720347536,176936053662,943784293874,VCI,quarterly
GVR,2024,2,0.11834727975269299,4653667942946,820840325114,0.47055611416051574,234405066325,-90526866806,4653667942946,-1063029505,4652604913441,-3491737411504,1160867501937,-134915657596,59414053400,-101739540249,-431769766424,786261657393,416544681170,-78607413080,337937268090,1124198925483,-181480600404,-8069543277,934648781802,113808456688,820840325114,VCI,quarterly
GVR,2024,1,0.10823430707373324,4590332818742,475562877828,-0.13504816472578612,227012695063,-94023493348,4590332818742,-4967613103,4585365205639,-3509404184202,1075961021437,-111295000759,-6409732518,-113258877553,-363421903579,708588202091,122678725833,-52773821657,69904904176,778493106267,-133961665064,5500170840,650031612043,174468734215,475562877828,VCI,quarterly
GVR,2023,4,-0.1582498888869221,7606796775985,1164396441326,0.277272557627185,351474636629,-114630440966,7606796775985,-15619726151,7591177049834,-5988029282265,1603147767569,-131307660080,85074962616,-217989967254,-667488455333,1022911284147,753365609689,-104451969413,648913640276,1671824924423,-285778100229,30139670720,1416186494914,251790053588,1164396441326,VCI,quarterly
GVR,2023,3,0.05908312247488826,6199494449985,312834952228,-0.6253899907393013,284534445967,-93463305967,6199494449985,-4170346730,6195324103255,-4960823962572,1234500140683,-117057555695,-268869885910,-158520644698,-452076047623,522510452724,184328233063,-84652323324,99675909739,622186362463,-129484297157,907463482,493609528788,180774576560,312834952228,VCI,quarterly
GVR,2023,2,-0.25387704828639757,4161201110960,558183613131,-0.45121069928846574,319053663908,-113444877018,4161201110960,-2981908324,4158219202636,-3252382538692,905836663944,-139233847550,-6521379034,-104714440628,-387665267276,586755393364,345538833117,-50376801577,295162031540,881917424904,-139646722768,-37801592813,704469109323,146285496192,558183613131,VCI,quarterly
GVR,2023,1,-0.1555321711087074,4142023748446,549814288419,-0.4788955955036081,231072827584,-121115173422,4142023748446,-6854580947,4135169167499,-3129291450388,1005877717111,-142846700070,-11140062495,-109152371012,-362073524376,611737886742,378139278109,-41997613302,336141664807,947879551549,-145629176857,-46567135545,755683239147,205868950728,549814288419,VCI,quarterly
GVR,2022,4,-0.06625095120079529,9036882413863,911627228169,-0.36583184929541107,267533421785,-135190692016,9036882413863,-24102713725,9012779700138,-7324787264121,1687992436017,-230959874440,128604218270,-219507914427,-555652948896,1078009338309,833842761419,-252373844986,581468916433,1659478254742,-370688742166,22094675906,1310884188482,399256960313,911627228169,VCI,quarterly
GVR,2022,3,-0.049862471954089924,5853642946833,835095017470,-0.32682796550589754,231814732990,-125792619081,5853642946833,-6465603794,5847177343039,-4266681857870,1580495485169,-153519352788,47458614237,-131585763036,-445507383006,1129156333566,123080055083,-71585147054,51494908029,1180651241595,-159557439210,-27237607207,993856195178,158761177708,835095017470,VCI,quarterly
GVR,2022,2,-0.020914073630797843,5577098387609,1017118249950,0.33855178905445227,238723156130,-114189185275,5577098387609,-15352689966,5561745697643,-4090895607642,1470850090001,-169129656932,69804078439,-128243760539,-400251485039,1081752422060,371360995101,-55314825690,316046169411,1397798591471,-229888750576,9642040593,1177551881488,160433631538,1017118249950,VCI,quarterly
GVR,2022,1,0.010343911055353623,4904892296352,1055094302936,0.2899547441739403,178205420457,-126126544553,4904892296352,-11396181001,4893496115351,-3423294894497,1470201220854,-145263525945,52812359809,-113335568582,-345319078963,1097300827630,450733668271,-48759314329,401974353942,1499275181572,-194988025568,11309783383,1315596939387,260502636451,1055094302936,VCI,quarterly
GVR,2021,4,0.0678307140039104,9678063314211,1437516575306,-0.46113445800686514,264161298537,-149982084060,9678063314211,-22203725728,9655859588483,-7091410915286,2564448673197,-225410616240,51309348929,-192881557496,-462476619558,1999150527369,590452602219,-491497271396,98955330823,2098105858192,-368409127784,56952330419,1786649060827,349132485521,1437516575306,VCI,quarterly
GVR,2021,3,-0.0011641855472899864,6160837535669,1240537299054,0.2624838012120186,175462631625,-147071860353,6160837535669,-9793316372,6151044219297,-4061708499728,2089335719569,-176023070976,30166426046,-116240605132,-421390700946,1581310400186,130995783566,-42343368457,88652415109,1669962815295,-175465028038,38985586667,1533483373924,292946074870,1240537299054,VCI,quarterly
GVR,2021,2,0.7733041698072447,5696229756147,759864697255,0.8885647411274399,186296914396,-137984451533,5696229756147,-2373108647,5693856647500,-4046675631316,1647181016184,-251534117243,85581012187,-106698177164,-572688169111,988138479249,314620177715,-38287471832,276332705883,1264471185132,-186537345864,-11941462469,1065992376799,306127679544,759864697255,VCI,quarterly
