time,symbol,open,high,low,close,volume
2018-01-05,HDB,9.64,9.78,9.02,9.78,32205910.0
2018-01-06,HDB,9.64,9.78,9.02,9.78,32205910.0
2018-01-07,HDB,9.64,9.78,9.02,9.78,32205910.0
2018-01-08,HDB,9.88,9.88,9.78,9.81,3321420.0
2018-01-09,HDB,9.81,9.83,9.61,9.82,4537340.0
2018-01-10,HDB,9.68,9.96,9.66,9.96,8726070.0
2018-01-11,HDB,9.98,10.5,9.96,10.5,9874500.0
2018-01-12,HDB,10.52,11.23,10.52,11.23,18714750.0
2018-01-13,HDB,10.52,11.23,10.52,11.23,18714750.0
2018-01-14,HDB,10.52,11.23,10.52,11.23,18714750.0
2018-01-15,HDB,11.24,11.29,10.87,11.24,6559820.0
2018-01-16,HDB,11.02,11.17,10.98,11.11,6271100.0
2018-01-17,HDB,11.09,11.11,10.55,10.55,5794700.0
2018-01-18,HDB,10.52,10.87,10.3,10.87,5371340.0
2018-01-19,HDB,11.0,11.39,11.0,11.17,6728810.0
2018-01-20,HDB,11.0,11.39,11.0,11.17,6728810.0
2018-01-21,HDB,11.0,11.39,11.0,11.17,6728810.0
2018-01-22,HDB,11.07,11.22,10.94,11.19,4402360.0
2018-01-23,HDB,11.19,11.19,11.19,11.19,0.0
2018-01-24,HDB,11.19,11.19,11.19,11.19,0.0
2018-01-25,HDB,11.24,11.93,11.12,11.81,10284390.0
2018-01-26,HDB,11.81,11.88,11.44,11.61,5637470.0
2018-01-27,HDB,11.81,11.88,11.44,11.61,5637470.0
2018-01-28,HDB,11.81,11.88,11.44,11.61,5637470.0
2018-01-29,HDB,11.64,11.74,11.44,11.62,6592140.0
2018-01-30,HDB,11.62,11.62,11.29,11.61,6121930.0
2018-01-31,HDB,11.59,11.59,11.36,11.51,5581950.0
2018-02-01,HDB,11.51,11.54,11.32,11.36,3428660.0
2018-02-02,HDB,11.36,11.36,11.19,11.36,4567580.0
2018-02-03,HDB,11.36,11.36,11.19,11.36,4567580.0
2018-02-04,HDB,11.36,11.36,11.19,11.36,4567580.0
2018-02-05,HDB,11.17,11.27,10.58,10.62,3353170.0
2018-02-06,HDB,9.88,10.2,9.88,10.13,3906020.0
2018-02-07,HDB,10.48,10.83,10.45,10.83,4238270.0
2018-02-08,HDB,10.83,11.33,10.75,11.09,4667920.0
2018-02-09,HDB,10.82,11.04,10.4,11.02,3454800.0
2018-02-10,HDB,10.82,11.04,10.4,11.02,3454800.0
2018-02-11,HDB,10.82,11.04,10.4,11.02,3454800.0
2018-02-12,HDB,11.04,11.61,11.03,11.49,3436010.0
2018-02-13,HDB,11.6,11.6,11.24,11.51,5066980.0
2018-02-14,HDB,11.6,11.6,11.24,11.51,5066980.0
2018-02-15,HDB,11.6,11.6,11.24,11.51,5066980.0
2018-02-16,HDB,11.6,11.6,11.24,11.51,5066980.0
2018-02-17,HDB,11.6,11.6,11.24,11.51,5066980.0
2018-02-18,HDB,11.6,11.6,11.24,11.51,5066980.0
2018-02-21,HDB,11.59,11.64,11.24,11.54,3263200.0
2018-02-22,HDB,11.42,11.42,11.12,11.12,2243860.0
2018-02-23,HDB,11.12,11.49,10.96,11.01,2175420.0
2018-02-24,HDB,11.12,11.49,10.96,11.01,2175420.0
2018-02-25,HDB,11.12,11.49,10.96,11.01,2175420.0
2018-02-26,HDB,11.01,11.36,10.78,10.87,2378080.0
2018-02-27,HDB,11.0,11.02,10.58,11.0,1579540.0
2018-02-28,HDB,10.87,11.0,10.62,10.97,2241390.0
2018-03-01,HDB,10.7,10.87,10.67,10.86,2739770.0
2018-03-02,HDB,10.75,10.76,10.67,10.76,1808640.0
2018-03-03,HDB,10.75,10.76,10.67,10.76,1808640.0
2018-03-04,HDB,10.75,10.76,10.67,10.76,1808640.0
2018-03-05,HDB,10.77,10.8,10.6,10.62,2578830.0
2018-03-06,HDB,10.62,10.76,10.58,10.67,2479350.0
2018-03-07,HDB,10.67,10.85,10.43,10.5,1357460.0
2018-03-08,HDB,10.62,10.75,10.33,10.5,2182740.0
2018-03-09,HDB,10.4,10.72,10.35,10.5,1018640.0
2018-03-10,HDB,10.4,10.72,10.35,10.5,1018640.0
2018-03-11,HDB,10.4,10.72,10.35,10.5,1018640.0
2018-03-12,HDB,10.5,10.6,10.43,10.5,1427550.0
2018-03-13,HDB,10.5,10.5,10.39,10.45,1687940.0
2018-03-14,HDB,10.5,10.93,10.48,10.87,5974370.0
2018-03-15,HDB,10.87,11.02,10.87,11.0,4347760.0
2018-03-16,HDB,11.04,11.07,11.0,11.07,2863300.0
2018-03-17,HDB,11.04,11.07,11.0,11.07,2863300.0
2018-03-18,HDB,11.04,11.07,11.0,11.07,2863300.0
2018-03-19,HDB,11.07,11.2,10.94,11.17,4333110.0
2018-03-20,HDB,11.08,11.09,10.87,10.87,2666350.0
2018-03-21,HDB,10.87,10.92,10.66,10.75,2119630.0
2018-03-22,HDB,10.75,10.87,10.5,10.5,2881270.0
2018-03-23,HDB,10.38,10.43,10.1,10.38,2122680.0
2018-03-24,HDB,10.38,10.43,10.1,10.38,2122680.0
2018-03-25,HDB,10.38,10.43,10.1,10.38,2122680.0
2018-03-26,HDB,10.15,10.8,10.15,10.8,3490240.0
2018-03-27,HDB,10.8,11.11,10.8,11.07,4513810.0
2018-03-28,HDB,11.02,11.23,10.98,11.23,3904720.0
2018-03-29,HDB,11.24,11.44,11.23,11.36,3603320.0
2018-03-30,HDB,11.36,11.36,11.12,11.34,2358520.0
2018-03-31,HDB,11.36,11.36,11.12,11.34,2358520.0
2018-04-01,HDB,11.36,11.36,11.12,11.34,2358520.0
2018-04-02,HDB,11.36,11.39,11.24,11.27,2317540.0
2018-04-03,HDB,11.22,11.32,11.16,11.27,2115830.0
2018-04-04,HDB,11.34,11.51,11.27,11.49,5350390.0
2018-04-05,HDB,11.49,11.56,11.42,11.48,2804190.0
2018-04-06,HDB,11.48,11.49,11.39,11.48,2975100.0
2018-04-07,HDB,11.48,11.49,11.39,11.48,2975100.0
2018-04-08,HDB,11.48,11.49,11.39,11.48,2975100.0
2018-04-09,HDB,11.49,12.03,11.44,12.03,7770500.0
2018-04-10,HDB,12.11,12.5,12.11,12.5,9215650.0
2018-04-11,HDB,12.5,12.55,12.16,12.38,5630290.0
2018-04-12,HDB,12.23,12.33,12.11,12.13,2705590.0
2018-04-13,HDB,12.24,12.38,12.13,12.35,3033930.0
2018-04-14,HDB,12.24,12.38,12.13,12.35,3033930.0
2018-04-15,HDB,12.24,12.38,12.13,12.35,3033930.0
2018-04-16,HDB,12.35,12.68,12.16,12.6,2836140.0
2018-04-17,HDB,12.72,12.77,12.5,12.55,1678660.0
2018-04-18,HDB,12.58,12.95,12.5,12.8,4624790.0
2018-04-19,HDB,12.82,12.82,12.11,12.16,3452260.0
2018-04-20,HDB,12.11,12.38,12.03,12.38,1802740.0
2018-04-21,HDB,12.11,12.38,12.03,12.38,1802740.0
2018-04-22,HDB,12.11,12.38,12.03,12.38,1802740.0
2018-04-23,HDB,12.23,12.28,11.51,11.51,3902200.0
2018-04-24,HDB,11.36,11.46,10.71,11.12,3013200.0
2018-04-25,HDB,11.36,11.46,10.71,11.12,3013200.0
2018-04-26,HDB,11.12,11.24,10.35,10.43,3073110.0
2018-04-27,HDB,10.38,10.64,10.33,10.58,1706640.0
2018-04-28,HDB,10.38,10.64,10.33,10.58,1706640.0
2018-04-29,HDB,10.38,10.64,10.33,10.58,1706640.0
2018-04-30,HDB,10.38,10.64,10.33,10.58,1706640.0
2018-05-01,HDB,10.38,10.64,10.33,10.58,1706640.0
2018-05-02,HDB,10.6,10.6,10.13,10.38,1017430.0
2018-05-03,HDB,10.25,10.75,10.14,10.75,2085150.0
2018-05-04,HDB,10.87,10.87,10.58,10.62,646170.0
2018-05-05,HDB,10.87,10.87,10.58,10.62,646170.0
2018-05-06,HDB,10.87,10.87,10.58,10.62,646170.0
2018-05-07,HDB,10.75,10.87,10.5,10.75,1601930.0
2018-05-08,HDB,10.75,10.75,10.6,10.67,1157790.0
2018-05-09,HDB,10.62,10.65,10.38,10.6,525060.0
2018-05-10,HDB,10.6,10.6,9.88,9.88,961790.0
2018-05-11,HDB,9.88,10.23,9.66,10.23,819170.0
2018-05-12,HDB,9.88,10.23,9.66,10.23,819170.0
2018-05-13,HDB,9.88,10.23,9.66,10.23,819170.0
2018-05-14,HDB,10.25,10.38,9.96,10.01,550760.0
2018-05-15,HDB,10.1,10.2,9.97,10.1,1347990.0
2018-05-16,HDB,10.1,10.1,9.83,9.92,999600.0
2018-05-17,HDB,10.01,10.08,9.93,10.01,701400.0
2018-05-18,HDB,10.1,10.24,9.93,10.02,1552940.0
2018-05-19,HDB,10.1,10.24,9.93,10.02,1552940.0
2018-05-20,HDB,10.1,10.24,9.93,10.02,1552940.0
2018-05-21,HDB,10.13,10.2,10.01,10.15,1746750.0
2018-05-22,HDB,9.93,10.03,9.45,9.64,1406120.0
2018-05-23,HDB,9.64,9.71,9.09,9.32,959240.0
2018-05-24,HDB,9.39,9.46,8.67,8.77,2368050.0
2018-05-25,HDB,8.77,8.82,8.48,8.71,2692400.0
2018-05-26,HDB,8.77,8.82,8.48,8.71,2692400.0
2018-05-27,HDB,8.77,8.82,8.48,8.71,2692400.0
2018-05-28,HDB,8.65,8.65,8.1,8.1,2696050.0
2018-05-29,HDB,8.4,8.66,8.26,8.66,3943980.0
2018-05-30,HDB,8.9,9.24,8.62,9.07,4462960.0
2018-05-31,HDB,8.94,9.66,8.94,9.64,1875240.0
