ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Investments in associate companies,Other long-term assets (Bn. VND),Less: Provision for diminuation in value of long term investments,Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Investment in properties,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Minority Interest,Paid-in capital (Bn. VND),MINORITY INTERESTS,data_source,period_type
HDB,2025,2,784096287000000,3944656000000,9728909000000,132104675000000,2411264000000,2411264000000,0,40229000000,502451955000000,508548842000000,-6096887000000,71362330000000,67243887000000,4231266000000,-112823000000,939185000000,821061000000,125666000000,-7542000000,1756858000000,889163000000,867695000000,0,59356226000000,784096287000000,719469924000000,9952000000,99269338000000,478700229000000,0,2787202000000,83686176000000,55017027000000,64626363000000,35224020000000,8833680000000,-26977000000,18145365000000,0,35101423000000,2450275000000,VCI,quarterly
HDB,2025,1,711310758000000,3597997000000,18197837000000,126666260000000,14526258000000,14526258000000,0,0,440468264000000,446106052000000,-5637788000000,49726466000000,45597975000000,4233951000000,-105460000000,869471000000,753307000000,134666000000,-18502000000,1748509000000,865919000000,882590000000,0,55509696000000,711310758000000,650278221000000,27856000000,73678438000000,465321208000000,279539000000,2729948000000,88350608000000,19890624000000,61032537000000,35224020000000,6321741000000,30876000000,17166824000000,0,35101423000000,2289076000000,VCI,quarterly
HDB,2024,4,697366458000000,3105355000000,26680270000000,101600254000000,21955775000000,21955775000000,0,0,436606237000000,442484841000000,-5878604000000,48751284000000,31407524000000,17436610000000,-92850000000,857783000000,729739000000,146546000000,-18502000000,1765927000000,887455000000,878472000000,0,56043573000000,697366458000000,640709197000000,15434000000,99460579000000,437505165000000,18449000000,2788443000000,81349744000000,19571383000000,56657261000000,35224020000000,6313202000000,0,12953881000000,0,35101423000000,2166158000000,VCI,quarterly
HDB,2024,3,629569112000000,3127639000000,29410506000000,98656083000000,15274541000000,15274541000000,0,0,393739706000000,398724457000000,-4984751000000,34611149000000,28086753000000,6668285000000,-143889000000,811249000000,679662000000,149546000000,-17959000000,1669306000000,811751000000,857555000000,0,52268933000000,629569112000000,575985137000000,17920000000,92302927000000,397018666000000,113837000000,2698648000000,67367167000000,16465972000000,53583975000000,29198918000000,6257868000000,98756000000,15734849000000,0,29076321000000,2293584000000,VCI,quarterly
HDB,2024,2,624443499000000,3102598000000,22236514000000,83923363000000,8606526000000,8606526000000,0,381092000000,381419719000000,386186737000000,-4767018000000,60762059000000,38311638000000,22570977000000,-120556000000,789226000000,657639000000,149546000000,-17959000000,1542886000000,785388000000,757498000000,0,61679516000000,624443499000000,571617789000000,20978000000,118687414000000,386573343000000,0,2856478000000,44592656000000,18886920000000,52825710000000,29198918000000,6259588000000,-28143000000,15223523000000,0,29076321000000,2171824000000,VCI,quarterly
HDB,2024,1,602551570000000,2891213000000,22525499000000,87659830000000,12929307000000,12929307000000,0,124577000000,358835149000000,363449382000000,-4614233000000,55248147000000,33368663000000,21991503000000,-112019000000,143781000000,0,163921000000,-20140000000,1493213000000,729332000000,763881000000,0,60700854000000,602551570000000,552851320000000,20159000000,107009010000000,378789084000000,0,2796221000000,46301878000000,17934968000000,49700250000000,29198918000000,4707618000000,87381000000,13671470000000,0,29076321000000,2034863000000,VCI,quarterly
HDB,2023,4,602314859000000,2810044000000,41481638000000,96514863000000,18580932000000,18580932000000,0,110079000000,339349838000000,343404295000000,-4054457000000,44092289000000,31871688000000,12304873000000,-84272000000,143781000000,0,163921000000,-20140000000,1422759000000,713141000000,709618000000,0,57808636000000,602314859000000,555914537000000,26590000000,112086978000000,370777888000000,0,2811129000000,50938148000000,19273804000000,46400322000000,29198918000000,4708243000000,0,10561698000000,0,29076321000000,1931463000000,VCI,quarterly
HDB,2023,3,508263253000000,2765559000000,31970237000000,55427300000000,21599611000000,21599611000000,0,0,288136806000000,291716649000000,-3579843000000,51041447000000,26700855000000,24395825000000,-55233000000,143858000000,0,163921000000,-20063000000,1326266000000,652896000000,673370000000,0,55852169000000,508263253000000,465237672000000,29829000000,51537699000000,341712982000000,272222000000,2811290000000,52132702000000,16740948000000,43025581000000,29198918000000,4685355000000,57320000000,7256245000000,0,29076321000000,1827743000000,VCI,quarterly
HDB,2023,2,483935823000000,2902517000000,14769196000000,87190858000000,7305631000000,7305631000000,0,205729000000,283565064000000,287355418000000,-3790354000000,44652422000000,37610068000000,7085653000000,-43299000000,143858000000,0,163921000000,-20063000000,1307970000000,637441000000,670529000000,0,41892578000000,483935823000000,443459075000000,30124000000,62766342000000,309645137000000,0,2800933000000,54880424000000,13336115000000,40476748000000,25426026000000,4692965000000,16034000000,8548698000000,0,25303429000000,1793025000000,VCI,quarterly
HDB,2023,1,458802678000000,2691430000000,12162272000000,56768627000000,3867579000000,3867579000000,0,0,285239105000000,288528712000000,-3289607000000,55793600000000,42515463000000,13306242000000,-28105000000,144023000000,0,163921000000,-19898000000,1292178000000,617503000000,674675000000,0,40843864000000,458802678000000,417974887000000,36079000000,97327589000000,249802943000000,76916000000,2791568000000,56238326000000,11701466000000,40827791000000,25426026000000,3522956000000,18963000000,10087795000000,0,25303429000000,1772051000000,VCI,quarterly
