ticker,yearReport,lengthReport,Profits from other activities,Operating profit before changes in working capital,Net Cash Flows from Operating Activities before BIT,Payment from reserves,Purchase of fixed assets,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Net cash inflows/outflows from operating activities,Proceeds from disposal of fixed assets,Investment in other entities,Proceeds from divestment in other entities,Dividends paid,data_source,period_type
HDB,2025,2,-370683000000,8626498000000,-1674145000000,-4380000000,-70019000000,4896000000,139892000000,0,0,-1538633000000,139628360000000,-57853000000,138031874000000,-1678525000000,205015000000,0,0,0,VCI,quarterly
HDB,2025,1,419650000000,6213930000000,2378043000000,-13272000000,-41402000000,0,-28813000000,0,0,2335958000000,137261526000000,30876000000,139628360000000,2364771000000,709000000,0,11880000000,0,VCI,quarterly
HDB,2024,4,164152000000,6741136000000,11409934000000,-14946000000,-154995000000,0,-151722000000,200000000000,200001000000,11443267000000,125917015000000,-98756000000,137261526000000,11394988000000,709000000,-436000000,3000000000,1000000,VCI,quarterly
HDB,2024,3,84293000000,5404980000000,10586662000000,-1720000000,-178629000000,0,-178593000000,0,-2912551000000,7493798000000,118296318000000,126899000000,125917015000000,10584942000000,36000000,0,0,-2912551000000,VCI,quarterly
HDB,2024,2,29461000000,2626106000000,14403968000000,-868000000,-95318000000,0,-737702000000,0,0,13665398000000,104746444000000,-115524000000,118296318000000,14403100000000,880000000,-657639000000,14375000000,0,VCI,quarterly
HDB,2024,1,7853000000,2809673000000,-27640012000000,-625000000,-112206000000,0,-112067000000,0,0,-27752704000000,132411767000000,87381000000,104746444000000,-27640637000000,139000000,0,0,0,VCI,quarterly
HDB,2023,4,-70569000000,5233124000000,52517140000000,-15554000000,-137990000000,0,-137925000000,0,0,52363661000000,80105426000000,-57320000000,132411767000000,52501586000000,65000000,0,0,0,VCI,quarterly
HDB,2023,3,49432000000,5623204000000,-17834630000000,-7610000000,-56655000000,4101000000,-52426000000,0,0,-17894666000000,97958806000000,41286000000,80105426000000,-17842240000000,128000000,0,0,0,VCI,quarterly
HDB,2023,2,45528000000,4501946000000,37441019000000,-2381000000,-54250000000,0,-53971000000,0,-2515261000000,34869406000000,63092329000000,-2929000000,97958806000000,37438638000000,279000000,0,0,-2515261000000,VCI,quarterly
HDB,2023,1,64485000000,3398915000000,8563833000000,-4770000000,-25028000000,5224000000,-19523000000,0,0,8539540000000,54533826000000,18963000000,63092329000000,8559063000000,281000000,0,0,0,VCI,quarterly
HDB,2022,4,36818000000,3218522000000,-5692842000000,-4549000000,-54995000000,0,-52268000000,0,0,-5749659000000,60246167000000,37318000000,54533826000000,-5697391000000,2727000000,0,0,0,VCI,quarterly
HDB,2022,3,21819000000,3299906000000,6466728000000,-290000000,-52764000000,0,-52716000000,0,0,6413722000000,53855970000000,-23525000000,60246167000000,6466438000000,48000000,0,0,0,VCI,quarterly
HDB,2022,2,21386000000,2691571000000,-7818921000000,-2000000000,-8048000000,4534000000,-3476000000,200000000000,200000000000,-7624397000000,61507953000000,-27586000000,53855970000000,-7820921000000,38000000,0,0,0,VCI,quarterly
HDB,2022,1,31186000000,2792129000000,-8663782000000,-3422000000,-6194000000,17535000000,30475000000,0,0,-8636729000000,70130889000000,13793000000,61507953000000,-8667204000000,18634000000,0,500000000,0,VCI,quarterly
HDB,2021,4,-1563000000,2009986000000,7217121000000,-4300000000,-121213000000,0,-79379000000,0,0,7133442000000,63062033000000,-64586000000,70130889000000,7212821000000,131000000,0,17677000000,0,VCI,quarterly
