rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
52.7,64.0,30900,-100,-0.003,-0.066,11727534,HDB: Phó Tổng giám đốc đăng ký bán 100.000 cổ phiếu,TCBS,2025-10-01 17:48:00
45.3,58.0,29000,-1200,-0.04,-0.104,11717910,HDB: Thông báo công văn của UBCKNN về tài liệu báo cáo giao dịch bán cổ phiếu quỹ của HDB,TCBS,2025-09-22 16:44:27
45.3,58.0,29000,-1200,-0.04,-0.104,11717913,HDB: Đăng ký bán trên 15 triệu cổ phiếu quỹ từ ngày 2/10,TCBS,2025-09-22 16:43:00
55.9,74.0,31500,-100,-0.003,0.129,11708503,HDB: Báo cáo kết quả giao dịch cổ phiếu của người nội bộ Phạm Văn Đẩu,TCBS,2025-09-11 16:57:07
55.9,74.0,31500,-100,-0.003,0.129,11708529,"HDB: Phó TGĐ đăng ký bán trên 1,12 triệu cổ phiếu",TCBS,2025-09-11 16:55:00
55.6,71.0,31600,50,0.002,0.133,11707587,"HDB: Nghị quyết HĐQT về việc sửa đổi, bổ sung phương án phát hành, phương án sử dụng vốn từ phát hành trái phiếu quốc tế năm 2025",TCBS,2025-09-10 17:00:00
67.9,82.0,33150,50,0.002,0.184,11701802,HDB: Nghị quyết HĐQT về tăng vốn điều lệ từ việc phát hành cổ phiếu để chuyển đổi trái phiếu chuyển đổi,TCBS,2025-09-04 17:38:24
67.4,81.0,33450,950,0.029,0.262,11698519,HDB: Thông báo công văn của UBCKNN về tài liệu báo cáo kết quả chào bán trái phiếu ra công chúng đợt 2 của HDB,TCBS,2025-08-29 17:50:56
67.4,81.0,33450,950,0.029,0.262,11698579,HDB: CBTT định kỳ các báo cáo liên quan đến trái phiếu riêng lẻ tại ngày 30/06/2025,TCBS,2025-08-29 17:49:08
67.2,74.0,32500,50,0.002,0.142,11687931,"HDB: Giám đốc tài chính đăng ký bán 1,3 triệu cổ phiếu",TCBS,2025-08-28 17:52:00
63.1,78.0,32300,1000,0.032,0.135,11685608,HDB: Nghị quyết và Biên bản kiểm phiếu bằng hình thức lấy ý kiến cổ đông bằng văn bản,TCBS,2025-08-26 17:41:21
63.1,78.0,32300,1000,0.032,0.135,11685633,HDB: Thông báo đường dẫn đăng tải Điều lệ sửa đổi,TCBS,2025-08-26 17:33:12
77.8,89.0,32350,-900,-0.027,0.271,11682819,HDB: Báo cáo kết quả giao dịch cổ phiếu của Người nội bộ Hồ Đặng Hoàng Quyên,TCBS,2025-08-22 17:42:44
71.6,71.0,28950,50,0.002,0.186,11671890,HDB: Tài liệu lấy ý kiến cổ đông bằng văn bản,TCBS,2025-08-13 15:58:20
66.3,56.0,28900,1000,0.036,0.184,11670432,HDB: Nghị quyết HĐQT về việc cấp tăng hạn mức cho vay đặc biệt cho đối tượng trong thẩm quyền của HĐQT,TCBS,2025-08-12 14:25:51
