officer_name,officer_position,officer_own_percent
Pham Van Dau,Spokesman,0.0428
Pham Van Dau,Person in charge of Corporate governace,0.0428
Pham Van Dau,Deputy General Director,0.0428
Pham Van Dau,Chief Financial Officer,0.0428
Nguyen Thi Phuong Thao,Vice Chairman of Management Board,0.0373
Luu van Son,,0.0301
Dao Duy Tuong,Head of Supervisors Board,0.0273
Pham Khac Dung,,0.012
Nguyen Huu Thanh,,0.0116
Luu Thi Viet Hong,,0.0034
Luu Duc Khanh,Vice Chairman of Management Board,0.0029
Pham Quoc Thanh,Vice Chairman of Management Board,0.0023
Doan Thi Thu Huong,,0.0015
Tran Hoai Nam,Deputy General Director,0.001
Le Thanh Tung,Person in charge of Corporate governace,0.0004
Le Thanh Tung,Deputy General Director,0.0004
Nguyen Van Hao,Deputy General Director,0.0003
Nguyen Minh Duc,,0.0003
Nguyen Canh Son,,0.0003
Tran Thai Hoa,,0.0002
