Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,data_source,period_type
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Net Profit Margin (%),ROE (%),ROA (%),Dividend yield (%),Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),,
HDB,2025,2,11.1327620897,0.02718485024447376,1.8411323052891861,0.35795940955426114,0.2422703817,0.0202497088,0.0,12.132762089675385,107822623582200.0,3495060732.0,7.5358709278,1.7341493659,2.7769623121,4.7503293177,1005.6649281709821,17789.7017441584,VCI,yearly
HDB,2025,1,10.6546156028,0.028648800884682215,1.7387482496029918,0.5716383418150403,0.2478887468,0.0208630158,0.0,11.654615602821819,85279481860800.0,3495060732.0,6.1230727704,1.451727229,2.4032765996,2.1946235513,1211.6396036347903,16807.5651625043,VCI,yearly
HDB,2024,4,11.3085099013,0.031168591083144664,1.61410156341772,0.3796490310179812,0.2476858593,0.0196401269,0.0729927007,12.308509901316974,71823498042600.0,3495060732.0,5.6034359017,1.3180775225,2.11045809,8.1804134236,891.0900950833607,15590.8887365222,VCI,yearly
HDB,2024,3,10.7492050935,0.0311530826147183,1.5265471061447187,0.4404579951360047,0.2566276729,0.0211355399,0.0709219858,11.749205093500436,73920534481800.0,3495060732.0,5.6734083702,1.4412160454,2.2510866312,1.4786935969,979.6327625015931,14675.1072250037,VCI,yearly
HDB,2024,2,10.8208254844,0.02920710388937508,1.504944990186714,0.4034896665465439,0.2510837418,0.0206179607,0.0555555556,11.820825484409012,78638866470000.0,2912550610.0,6.4929769161,1.5524745025,2.5878290536,3.65206626,1069.4718880781954,17391.5899782425,VCI,yearly
HDB,2024,1,11.1237130598,0.030044376034325783,1.4159041544075268,0.4343044683569937,0.2470485708,0.0201954106,0.0621118012,12.123713059793461,70338097231500.0,2912550610.0,6.3097531791,1.4694981414,2.4672811475,1.5743617517,1067.7143220525875,16434.1820655951,VCI,yearly
HDB,2023,4,11.9808336028,0.030662696694216906,1.3218929217790043,0.4474932964228987,0.2358656472,0.0197742349,0.0,12.980833602835773,70774979823000.0,2912550610.0,6.9824984116,1.5844367062,2.6794814818,0.8718398906,1148.0985046299334,15336.6807933339,VCI,yearly
HDB,2023,3,10.8130479865,0.030825057307186626,1.225750351028366,0.5045494968825186,0.2072747391,0.0181297088,0.0,11.813047986499008,60454307749000.0,2892550610.0,7.1431238089,1.4674145704,2.5163217414,2.6918745409,857.5269146284704,14242.7371391784,VCI,yearly
HDB,2023,2,10.9558968275,0.032314107842853386,1.1531369691320779,0.4356739257021121,0.2031938481,0.0181981466,0.0,11.955896827482286,50619635675000.0,2892550610.0,6.3283783107,1.3085512911,2.1693588785,1.0823851797,746.2455427875815,13373.5682502025,VCI,yearly
HDB,2023,1,10.237509225,0.03164947131232253,1.1631377888880283,0.43133501679884845,0.2079234586,0.0191002226,0.0,11.23750922502763,46658098970000.0,2515261400.0,5.8447689373,1.1946540757,2.0735019724,30.7108784571,830.136382643967,15527.5073994297,VCI,yearly
HDB,2022,4,9.6750670588,0.03372383240202318,1.1109203894959865,0.35203732607314286,0.2221048681,0.0195977872,0.0,10.6750670587933,49047597300000.0,2515261400.0,6.3288903526,1.3272774396,2.2327748482,-3.1202591196,690.2996245241151,14691.7286608859,VCI,yearly
