ticker,yearReport,lengthReport,Revenue (Bn. VND),Revenue YoY (%),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Interest and Similar Income,Interest and Similar Expenses,Net Interest Income,Fees and Comission Income,Fees and Comission Expenses,Net Fee and Commission Income,Net gain (loss) from foreign currency and gold dealings,Net gain (loss) from trading of trading securities,Net gain (loss) from disposal of investment securities,Net Other income/(expenses),Other expenses,Net Other income/expenses,Dividends received,Total operating revenue,General & Admin Expenses,Operating Profit before Provision,Provision for credit losses,Profit before tax,Tax For the Year,Business income tax - current,Business income tax - deferred,Minority Interest,Net Profit For the Year,Attributable to parent company,EPS_basis,data_source,period_type
HDB,2025,2,17989705000000,0.26286392611106996,3514860000000,0.12840545624228905,17989705000000,-8170547000000,9819158000000,1874020000000,-542460000000,1331560000000,423977000000,241355000000,19526000000,-211628000000,-60710000000,-272338000000,72649000000,11635887000000,-2782029000000,8853858000000,-4141072000000,4712786000000,-1036727000000,-1015345000000,-21382000000,-161199000000,3676059000000,3514860000000,1005,VCI,yearly
HDB,2025,1,14991720000000,0.042617290898369416,4234754000000,0.36175706772072036,14991720000000,-7583620000000,7408100000000,1177239000000,-443949000000,733290000000,188241000000,389280000000,-16744000000,560161000000,-81344000000,478817000000,23569000000,9204553000000,-2524523000000,6680030000000,-1324795000000,5355235000000,-997563000000,-946338000000,-51225000000,-122918000000,4357672000000,4234754000000,1212,VCI,yearly
HDB,2024,4,15149456000000,-0.02635072337669324,3114414000000,-0.06862685580737433,15149456000000,-6946053000000,8203403000000,960726000000,-537589000000,423137000000,234621000000,6162000000,141619000000,458422000000,-64873000000,393549000000,49640000000,9452131000000,-3545259000000,5906872000000,-1831864000000,4075008000000,-838020000000,-916084000000,78064000000,-122574000000,3236988000000,3114414000000,0,VCI,yearly
HDB,2024,3,14221978000000,0.06206384520578471,3423876000000,0.3803502604376643,14221978000000,-6448533000000,7773445000000,946414000000,-534304000000,412110000000,123899000000,141710000000,-88800000000,163363000000,-12779000000,150584000000,22024000000,8534972000000,-2951077000000,5583895000000,-1093488000000,4490407000000,-944771000000,-957868000000,13097000000,-121760000000,3545636000000,3423876000000,0,VCI,yearly
HDB,2024,2,14245165000000,0.12420218674324884,3114891000000,0.4430458737867451,14245165000000,-6525287000000,7719878000000,876036000000,-651467000000,224569000000,310407000000,-279000000,-49917000000,140389000000,-52031000000,88358000000,0,8293016000000,-3029780000000,5263236000000,-1126231000000,4137005000000,-885153000000,-879466000000,-5687000000,-136961000000,3251852000000,3114891000000,1077,VCI,yearly
HDB,2024,1,14378929000000,0.30493621172760377,3109772000000,0.48934727324102856,14378929000000,-7218579000000,7160350000000,512447000000,-155685000000,356762000000,174886000000,-78664000000,65351000000,107688000000,-34308000000,73380000000,0,7752065000000,-2454639000000,5297426000000,-1269851000000,4027575000000,-814403000000,-808137000000,-6266000000,-103400000000,3213172000000,3109772000000,1075,VCI,yearly
HDB,2023,4,15559459000000,0.5916709545754458,3343895000000,0.9258917319977608,15559459000000,-8086956000000,7472503000000,825654000000,-233870000000,591784000000,283333000000,-92086000000,111106000000,149716000000,-258697000000,-108981000000,0,8257659000000,-2630124000000,5627535000000,-1242405000000,4385130000000,-937515000000,-981425000000,43910000000,-103720000000,3447615000000,3343895000000,0,VCI,yearly
HDB,2023,3,13390888000000,0.615856790764042,2480440000000,0.23038613878575487,13390888000000,-8474740000000,4916148000000,444169000000,-126210000000,317959000000,185863000000,29936000000,516324000000,118848000000,-3951000000,114897000000,4101000000,6085228000000,-2301873000000,3783355000000,-636089000000,3147266000000,-632108000000,-632108000000,0,-34718000000,2515158000000,2480440000000,0,VCI,yearly
HDB,2023,2,12671355000000,0.5683305613032856,2158553000000,0.03820161057982509,12671355000000,-7716840000000,4954515000000,790742000000,-189878000000,600864000000,145057000000,75910000000,515414000000,129369000000,-7738000000,121631000000,0,6413391000000,-2238587000000,4174804000000,-1433167000000,2741637000000,-562109000000,-562109000000,0,-20975000000,2179528000000,2158553000000,638,VCI,yearly
HDB,2023,1,11018875000000,0.5344141427827618,2088010000000,0.08841278586988421,11018875000000,-6178067000000,4840808000000,769603000000,-92408000000,677195000000,-49550000000,27963000000,24161000000,143711000000,-12105000000,131606000000,5224000000,5657407000000,-1958618000000,3698789000000,-956090000000,2742699000000,-548987000000,-548987000000,0,-105702000000,2193712000000,2088010000000,830,VCI,yearly
