time,symbol,open,high,low,close,volume
2015-10-05,HPG,3.08,3.13,3.07,3.13,1300420.0
2015-10-06,HPG,3.16,3.2,3.14,3.19,3208050.0
2015-10-07,HPG,3.2,3.2,3.13,3.14,1510940.0
2015-10-08,HPG,3.15,3.22,3.13,3.21,1920520.0
2015-10-09,HPG,3.23,3.27,3.2,3.23,1589230.0
2015-10-10,HPG,3.23,3.27,3.2,3.23,1589230.0
2015-10-11,HPG,3.23,3.27,3.2,3.23,1589230.0
2015-10-12,HPG,3.24,3.29,3.23,3.27,2015180.0
2015-10-13,HPG,3.25,3.26,3.23,3.23,903340.0
2015-10-14,HPG,3.23,3.25,3.22,3.22,1203260.0
2015-10-15,HPG,3.23,3.32,3.22,3.22,2543820.0
2015-10-16,HPG,3.24,3.27,3.18,3.19,2343410.0
2015-10-17,HPG,3.24,3.27,3.18,3.19,2343410.0
2015-10-18,HPG,3.24,3.27,3.18,3.19,2343410.0
2015-10-19,HPG,3.21,3.21,3.17,3.19,1717090.0
2015-10-20,HPG,3.19,3.19,3.12,3.13,1727880.0
2015-10-21,HPG,3.13,3.17,3.1,3.11,1133870.0
2015-10-22,HPG,3.1,3.14,3.1,3.13,881840.0
2015-10-23,HPG,3.19,3.19,3.15,3.17,1050300.0
2015-10-24,HPG,3.19,3.19,3.15,3.17,1050300.0
2015-10-25,HPG,3.19,3.19,3.15,3.17,1050300.0
2015-10-26,HPG,3.18,3.23,3.18,3.18,1371800.0
2015-10-27,HPG,3.18,3.19,3.15,3.16,837210.0
2015-10-28,HPG,3.16,3.17,3.13,3.13,986700.0
2015-10-29,HPG,3.14,3.17,3.13,3.14,1479150.0
2015-10-30,HPG,3.14,3.16,3.13,3.14,1046520.0
2015-10-31,HPG,3.14,3.16,3.13,3.14,1046520.0
2015-11-01,HPG,3.14,3.16,3.13,3.14,1046520.0
2015-11-02,HPG,3.14,3.14,3.09,3.11,1201140.0
2015-11-03,HPG,3.11,3.14,3.08,3.14,934900.0
2015-11-04,HPG,3.15,3.15,3.08,3.1,1137210.0
2015-11-05,HPG,3.1,3.12,3.09,3.09,651500.0
2015-11-06,HPG,3.09,3.12,3.07,3.09,925860.0
2015-11-07,HPG,3.09,3.12,3.07,3.09,925860.0
2015-11-08,HPG,3.09,3.12,3.07,3.09,925860.0
2015-11-09,HPG,3.07,3.1,3.06,3.06,555820.0
2015-11-10,HPG,3.06,3.07,3.03,3.04,674010.0
2015-11-11,HPG,3.04,3.05,3.02,3.02,730200.0
2015-11-12,HPG,3.02,3.03,2.97,3.0,1406120.0
2015-11-13,HPG,3.0,3.01,2.98,3.0,1306930.0
2015-11-14,HPG,3.0,3.01,2.98,3.0,1306930.0
2015-11-15,HPG,3.0,3.01,2.98,3.0,1306930.0
2015-11-16,HPG,3.01,3.01,2.95,2.95,1217400.0
2015-11-17,HPG,2.95,3.04,2.95,3.01,2014180.0
2015-11-18,HPG,3.02,3.03,2.99,3.0,596730.0
2015-11-19,HPG,3.0,3.0,2.97,2.97,436500.0
2015-11-20,HPG,2.96,3.0,2.95,2.98,812890.0
2015-11-21,HPG,2.96,3.0,2.95,2.98,812890.0
2015-11-22,HPG,2.96,3.0,2.95,2.98,812890.0
2015-11-23,HPG,2.99,3.02,2.99,3.01,966110.0
2015-11-24,HPG,3.01,3.03,3.0,3.0,1097160.0
2015-11-25,HPG,3.0,3.1,2.98,3.1,2194230.0
2015-11-26,HPG,3.13,3.19,3.11,3.16,2819750.0
2015-11-27,HPG,3.17,3.2,3.12,3.12,3387410.0
2015-11-28,HPG,3.17,3.2,3.12,3.12,3387410.0
2015-11-29,HPG,3.17,3.2,3.12,3.12,3387410.0
2015-11-30,HPG,3.09,3.09,3.03,3.04,1147460.0
2015-12-01,HPG,3.05,3.06,3.02,3.02,1041490.0
2015-12-02,HPG,3.02,3.06,3.02,3.05,1342220.0
2015-12-03,HPG,3.05,3.08,3.04,3.05,658700.0
2015-12-04,HPG,3.05,3.05,3.0,3.02,817290.0
2015-12-05,HPG,3.05,3.05,3.0,3.02,817290.0
2015-12-06,HPG,3.05,3.05,3.0,3.02,817290.0
2015-12-07,HPG,3.0,3.02,2.97,2.98,691540.0
2015-12-08,HPG,2.96,3.03,2.95,3.02,776960.0
2015-12-09,HPG,3.02,3.03,2.97,2.97,530540.0
2015-12-10,HPG,2.96,2.99,2.93,2.93,1068970.0
2015-12-11,HPG,2.94,2.98,2.93,2.97,849510.0
2015-12-12,HPG,2.94,2.98,2.93,2.97,849510.0
2015-12-13,HPG,2.94,2.98,2.93,2.97,849510.0
2015-12-14,HPG,3.09,3.09,3.05,3.05,1578990.0
2015-12-15,HPG,3.04,3.07,3.04,3.05,1399890.0
2015-12-16,HPG,3.06,3.06,3.04,3.04,754300.0
2015-12-17,HPG,3.04,3.05,3.02,3.03,644820.0
2015-12-18,HPG,3.03,3.06,3.01,3.03,9525010.0
2015-12-19,HPG,3.03,3.06,3.01,3.03,9525010.0
2015-12-20,HPG,3.03,3.06,3.01,3.03,9525010.0
2015-12-21,HPG,3.01,3.01,2.97,2.99,881460.0
2015-12-22,HPG,2.98,2.98,2.95,2.96,435510.0
2015-12-23,HPG,2.97,2.97,2.93,2.94,664920.0
2015-12-24,HPG,2.94,2.97,2.94,2.94,230640.0
2015-12-25,HPG,2.94,2.96,2.93,2.94,403760.0
