officer_name,officer_position,officer_own_percent
Tran Dinh Long,Chairman of Management Board,0.258
Vu Thi Hien,,0.0688
Tran Tuan Duong,,0.0231
Tran Vu Minh,,0.023
Nguyen Manh Tuan,Vice Chairman of Management Board,0.0227
NGUYEN NGOC QUANG,Member of Management Board,0.0163
Doan Gia Cuong,Vice Chairman of Management Board,0.0125
Chu Quan,Member of Management Board,0.0049
Hoang Quang Viet,Member of Management Board,0.0045
Nguyen Viet Thang,,0.0032
Nguyen Duc Duy,,0.0018
Nguyen Tuan Tu,,0.0018
Phan Thi Thu Lan,,0.0018
Dao Thi Thanh Phuong,,0.0013
Ta Tuan Quang,,0.0013
Tran Bao Ngoc,,0.0012
Tran Gia Bao,,0.0012
Tran Ngoc Diep,,0.0012
Nguyen Ha My,,0.0009
Nguyen Quang Minh,,0.0009
