ticker,yearReport,lengthReport,TOTAL ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Balances with the SBV,Placements with and loans to other credit institutions,"Trading Securities, net",Trading Securities,Provision for diminution in value of Trading Securities,Derivatives and other financial liabilities,"Loans and advances to customers, net",Loans and advances to customers,Less: Provision for losses on loans and advances to customers,Investment Securities,Available-for Sales Securities,Held-to-Maturity Securities,Less: Provision for diminution in value of investment securities,Long-term investments (Bn. VND),Other long-term assets (Bn. VND),Fixed assets (Bn. VND),Tangible fixed assets,Intagible fixed assets,Other Assets,TOTAL RESOURCES (Bn. VND),LIABILITIES (Bn. VND),Due to Gov and borrowings from SBV,Deposits and borrowings from other credit institutions,Deposits from customers,_Derivatives and other financial liabilities,"Funds received from Gov, international and other institutions",Convertible bonds/CDs and other valuable papers issued,Other liabilities,OWNER'S EQUITY(Bn.VND),Capital,Reserves,Foreign Currency Difference reserve,Undistributed earnings (Bn. VND),Paid-in capital (Bn. VND),Other Reserves,data_source,period_type
LPB,2025,2,513612864000000,1477250000000,1745328000000,79666765000000,284599000000,284599000000,0,0,363890539000000,368726513000000,-4835974000000,52671748000000,52671748000000,0,0,516021000000,516021000000,2715805000000,1685631000000,1030174000000,10644809000000,513612864000000,472912992000000,6548402000000,88181434000000,313174113000000,236648000000,0,55261471000000,9510924000000,40699872000000,29872878000000,5640216000000,0,5186778000000,29872821000000,0,VCI,yearly
LPB,2025,1,499894623000000,1655185000000,2611228000000,76032350000000,662393000000,662393000000,0,79890000000,347669189000000,352194088000000,-4524899000000,60039792000000,60039792000000,0,0,516021000000,516021000000,2770998000000,1744133000000,1026865000000,7857577000000,499894623000000,454022417000000,5840391000000,91539306000000,293154504000000,0,0,54205857000000,9282359000000,45872206000000,29872878000000,5640216000000,0,10359112000000,29872821000000,0,VCI,yearly
LPB,2024,4,508330398000000,1162384000000,14369534000000,96455319000000,660321000000,660321000000,0,9137000000,327276218000000,331606315000000,-4330097000000,58080339000000,58080339000000,0,0,548808000000,548808000000,2731787000000,1715789000000,1015998000000,7036551000000,508330398000000,464992098000000,1271377000000,115349011000000,283171846000000,0,0,55458916000000,9740948000000,43338300000000,25576221000000,5640216000000,0,12121863000000,25576164000000,0,VCI,yearly
LPB,2024,3,455804658000000,1769880000000,7490028000000,63644983000000,481090000000,481090000000,0,175385000000,314910347000000,319770412000000,-4860065000000,54269859000000,54269859000000,0,0,548808000000,548808000000,2504342000000,1536542000000,967800000000,10009936000000,455804658000000,415136174000000,1980074000000,84881858000000,271302521000000,0,0,47322651000000,9649070000000,40668484000000,25576221000000,3696036000000,0,11396227000000,25576164000000,0,VCI,yearly
LPB,2024,2,442582942000000,2199290000000,8647999000000,56075546000000,275572000000,275572000000,0,0,313166615000000,317394669000000,-4228054000000,51287574000000,51287574000000,0,0,548808000000,548808000000,2390962000000,1564408000000,826554000000,7968780000000,442582942000000,404245239000000,92953000000,55667404000000,288097945000000,1272649000000,0,48844801000000,10269487000000,38337703000000,25576221000000,3696036000000,0,9065446000000,25576164000000,0,VCI,yearly
LPB,2024,1,409763817000000,2233613000000,11256898000000,42276056000000,592920000000,592920000000,0,0,303890677000000,307686513000000,-3795836000000,40961073000000,40961073000000,0,0,348718000000,348718000000,1975090000000,1186263000000,788827000000,6206976000000,409763817000000,373347756000000,1089160000000,55855161000000,261994464000000,634430000000,0,42497939000000,11276602000000,36416061000000,25576221000000,3696036000000,0,7143804000000,25576164000000,0,VCI,yearly
LPB,2023,4,382863179000000,2382762000000,14578444000000,35527676000000,580440000000,580440000000,0,0,271972649000000,275430884000000,-3458235000000,46844368000000,46844368000000,0,0,348718000000,348718000000,1949987000000,1170643000000,779344000000,8656339000000,382863179000000,348745779000000,89576000000,50112429000000,237391609000000,75786000000,0,47909881000000,13166498000000,34117400000000,25576221000000,3696036000000,0,4845143000000,25576164000000,0,VCI,yearly
LPB,2023,3,365450226000000,2287117000000,7932859000000,35009513000000,436500000000,436500000000,0,69669000000,258650700000000,263621213000000,-4970513000000,42523215000000,42523215000000,0,0,315931000000,315931000000,1903921000000,1181318000000,722603000000,16297815000000,365450226000000,338960676000000,106926000000,49917175000000,228401117000000,0,0,46134820000000,14400638000000,26489550000000,20576221000000,2860199000000,0,3053130000000,20576164000000,0,VCI,yearly
LPB,2023,2,350242811000000,2014854000000,7086938000000,30454260000000,0,0,0,434885000000,248954090000000,253391827000000,-4437737000000,44457215000000,44457215000000,0,0,315931000000,315931000000,1788824000000,1214160000000,574664000000,14709372000000,350242811000000,324746111000000,113392000000,44060199000000,224126483000000,0,0,42960401000000,13485636000000,25496700000000,17291111000000,2860199000000,0,5345390000000,17291054000000,0,VCI,yearly
LPB,2023,1,337196586000000,2524365000000,4043470000000,31948513000000,562980000000,562980000000,0,360271000000,238205151000000,242116244000000,-3911093000000,48419980000000,48419980000000,0,0,315931000000,315931000000,1727636000000,1207981000000,519655000000,9035005000000,337196586000000,311898116000000,765967000000,26405019000000,227283140000000,0,0,45301184000000,12142806000000,25298470000000,17291111000000,2860199000000,0,5147160000000,17291054000000,0,VCI,yearly
LPB,2022,4,327745847000000,2983877000000,10323700000000,31967998000000,566280000000,566280000000,0,0,230636976000000,235506871000000,-4869895000000,42007290000000,42007290000000,0,0,315931000000,315931000000,1693198000000,1202795000000,490403000000,6993113000000,327745847000000,303690693000000,3076781000000,39660022000000,215888025000000,42030000000,0,35048167000000,9975668000000,24055154000000,17291111000000,2860199000000,0,3903844000000,17291054000000,0,VCI,yearly
LPB,2022,3,313480212000000,2183066000000,5110792000000,27328032000000,569880000000,569880000000,0,0,223380312000000,227943992000000,-4563680000000,43896381000000,43896381000000,0,0,315931000000,315931000000,1580388000000,1089799000000,490589000000,8304958000000,313480212000000,290092956000000,136881000000,50597930000000,193533450000000,287521000000,0,36738134000000,8799040000000,23387256000000,15035917000000,2183660000000,0,6167679000000,15035860000000,0,VCI,yearly
