ticker,yearReport,lengthReport,Profits from other activities,Operating profit before changes in working capital,Net Cash Flows from Operating Activities before BIT,Payment from reserves,Purchase of fixed assets,Gain on Dividend,Net Cash Flows from Investing Activities,Increase in charter captial,Cash flows from financial activities,Net increase/decrease in cash and cash equivalents,Cash and cash equivalents,Foreign exchange differences Adjustment,Cash and Cash Equivalents at the end of period,Net cash inflows/outflows from operating activities,Proceeds from disposal of fixed assets,Investment in other entities,Proceeds from divestment in other entities,Dividends paid,data_source,period_type
LPB,2025,2,-16758000000.0,629506000000.0,11353748000000.0,185195000000.0,-224751000000.0,30000000000.0,-193727000000.0,0.0,-7468205000000.0,3877011000000.0,79798763000000.0,0.0,83675774000000.0,11538943000000.0,1046000000.0,36331000000.0,-36331000000.0,-7468205000000.0,VCI,quarterly
LPB,2025,1,-23002000000.0,1555984000000.0,-24529753000000.0,-185195000000.0,-102860000000.0,9000000000.0,-45568000000.0,0.0,0.0,-24760516000000.0,104559279000000.0,0.0,79798763000000.0,-24714948000000.0,11984000000.0,0.0,36331000000.0,0.0,VCI,quarterly
LPB,2024,4,-84260000000.0,6293177000000.0,32084963000000.0,-7506000000.0,-445413000000.0,0.0,-323069000000.0,0.0,0.0,31754388000000.0,72804891000000.0,0.0,104559279000000.0,32077457000000.0,97521000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2024,3,-36688000000.0,1513906000000.0,4408451000000.0,-21289000000.0,-148049000000.0,45000000000.0,-105106000000.0,0.0,0.0,4282056000000.0,68522835000000.0,0.0,72804891000000.0,4387162000000.0,19545000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2024,2,-27790000000.0,637813000000.0,13753409000000.0,-241678000000.0,-465284000000.0,12007000000.0,-655463000000.0,0.0,0.0,12856268000000.0,55666567000000.0,0.0,68522835000000.0,13511731000000.0,98000000.0,-200090000000.0,0.0,0.0,VCI,quarterly
LPB,2024,1,-8416000000.0,909855000000.0,3723768000000.0,-45943000000.0,-48778000000.0,18010000000.0,-31540000000.0,0.0,0.0,3646285000000.0,52020282000000.0,0.0,55666567000000.0,3677825000000.0,1491000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2023,4,-9851000000.0,3762394000000.0,1991094000000.0,-22889000000.0,-53658000000.0,18093000000.0,-77412000000.0,5000000000000.0,5000000000000.0,6890793000000.0,45129489000000.0,0.0,52020282000000.0,1968205000000.0,417000000.0,-32787000000.0,0.0,0.0,VCI,quarterly
LPB,2023,3,1213000000.0,862138000000.0,5878436000000.0,-37470000000.0,-167786000000.0,0.0,-167529000000.0,0.0,0.0,5673437000000.0,39456052000000.0,0.0,45129489000000.0,5840966000000.0,485000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2023,2,5207000000.0,2848954000000.0,1708688000000.0,-496204000000.0,-105308000000.0,31252000000.0,-72780000000.0,0.0,0.0,1139704000000.0,38316348000000.0,0.0,39456052000000.0,1212484000000.0,14593000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2023,1,1230000000.0,4237150000000.0,-6256696000000.0,-522000000.0,-101494000000.0,0.0,-101439000000.0,0.0,0.0,-6358657000000.0,44675005000000.0,0.0,38316348000000.0,-6257218000000.0,668000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2022,4,-1338000000.0,4404516000000.0,10615901000000.0,-3677000000.0,-158825000000.0,53052000000.0,-105809000000.0,0.0,0.0,10506415000000.0,34169160000000.0,0.0,44675575000000.0,10612224000000.0,3244000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2022,3,167751000000.0,1608655000000.0,5931790000000.0,-12193000000.0,-119932000000.0,0.0,-120003000000.0,2649997000000.0,2649997000000.0,8449591000000.0,25719569000000.0,0.0,34169160000000.0,5919597000000.0,855000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2022,2,-168583000000.0,2823738000000.0,-3824929000000.0,-16573000000.0,58714000000.0,825000000.0,58875000000.0,349958000000.0,349958000000.0,-3432669000000.0,29152238000000.0,0.0,25719569000000.0,-3841502000000.0,2412000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2022,1,161319000000.0,2238256000000.0,-4620287000000.0,-50067000000.0,-85400000000.0,0.0,-84092000000.0,0.0,0.0,-4754446000000.0,33906684000000.0,0.0,29152238000000.0,-4670354000000.0,2305000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2021,4,6247000000.0,2273194000000.0,18770615000000.0,-2059000000.0,-18383000000.0,0.0,-18089000000.0,0.0,0.0,18750467000000.0,15156217000000.0,0.0,33906684000000.0,18768556000000.0,3645000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2021,3,50906000000.0,1701805000000.0,-6027606000000.0,-354000000.0,41949000000.0,0.0,42026000000.0,0.0,0.0,-5985934000000.0,21142151000000.0,0.0,15156217000000.0,-6027960000000.0,8823000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2021,2,-49049000000.0,2080507000000.0,1892948000000.0,-171308000000.0,-164858000000.0,0.0,-164660000000.0,0.0,0.0,1556980000000.0,19585171000000.0,0.0,21142151000000.0,1721640000000.0,-1798000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2021,1,-136000000.0,214951000000.0,-4186109000000.0,-2337000000.0,-27920000000.0,0.0,-27818000000.0,0.0,0.0,-4216264000000.0,23801435000000.0,0.0,19585171000000.0,-4188446000000.0,2098000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2020,4,-8272000000.0,1075499000000.0,17145822000000.0,-5237000000.0,-132393000000.0,0.0,-132299000000.0,0.0,0.0,17008286000000.0,6793149000000.0,0.0,23801435000000.0,17140585000000.0,2168000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2020,3,-14811000000.0,-199402000000.0,-7277125000000.0,-567000000.0,-8397000000.0,0.0,-8276000000.0,0.0,0.0,-7285968000000.0,14079117000000.0,0.0,6793149000000.0,-7277692000000.0,2281000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2020,2,92712000000.0,621758000000.0,1790246000000.0,-188679000000.0,-148803000000.0,275000000.0,-139430000000.0,0.0,0.0,1462137000000.0,12616980000000.0,0.0,14079117000000.0,1601567000000.0,4201000000.0,0.0,8800000000.0,0.0,VCI,quarterly
LPB,2020,1,308000000.0,-168498000000.0,-4459480000000.0,-210000000.0,-21371000000.0,0.0,-21445000000.0,0.0,0.0,-4481135000000.0,17098115000000.0,0.0,12616980000000.0,-4459690000000.0,956000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2019,4,1367000000.0,1227851000000.0,1460995000000.0,-506000000.0,-52279000000.0,0.0,-51897000000.0,0.0,0.0,1408592000000.0,15689523000000.0,0.0,17098115000000.0,1460489000000.0,1984000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2019,3,-6279000000.0,751083000000.0,-1239276000000.0,-8188000000.0,-57735000000.0,0.0,-56319000000.0,0.0,0.0,-1303783000000.0,16993306000000.0,0.0,15689523000000.0,-1247464000000.0,2502000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2019,2,123532000000.0,323055000000.0,3981211000000.0,-201239000000.0,-88766000000.0,275000000.0,-85416000000.0,0.0,0.0,3694556000000.0,13298750000000.0,0.0,16993306000000.0,3779972000000.0,6655000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2019,1,-116021000000.0,410882000000.0,198893000000.0,-260000000.0,-33241000000.0,0.0,-34016000000.0,1006472000000.0,1006472000000.0,1171089000000.0,12127661000000.0,0.0,13298750000000.0,198633000000.0,894000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2018,4,-68734000000.0,610657000000.0,3707923000000.0,-9392000000.0,-238163000000.0,0.0,-241557000000.0,0.0,0.0,3456974000000.0,8670687000000.0,0.0,12127661000000.0,3698531000000.0,1674000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2018,3,-46400000000.0,1329294000000.0,-7680845000000.0,-1559000000.0,121593000000.0,0.0,121525000000.0,387594000000.0,-1000000.0,-7560880000000.0,16231567000000.0,0.0,8670687000000.0,-7682404000000.0,100000000.0,0.0,0.0,-387595000000.0,VCI,quarterly
LPB,2018,2,-47953000000.0,314538000000.0,989856000000.0,-99292000000.0,-110808000000.0,0.0,-112142000000.0,-387594000000.0,-2000000.0,778420000000.0,15453147000000.0,0.0,16231567000000.0,890564000000.0,4101000000.0,0.0,0.0,387592000000.0,VCI,quarterly
LPB,2018,1,-119107000000.0,554439000000.0,-7281242000000.0,-550000000.0,-26388000000.0,0.0,-26381000000.0,1039994000000.0,6397000000.0,-7301776000000.0,22754923000000.0,0.0,15453147000000.0,-7281792000000.0,7000000.0,0.0,0.0,-1033597000000.0,VCI,quarterly
LPB,2017,4,-74076000000.0,268931000000.0,10263732000000.0,-6572000000.0,-150480000000.0,0.0,-142319000000.0,0.0,0.0,10114841000000.0,12640083000000.0,0.0,22754924000000.0,10257160000000.0,8161000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2017,3,-49020000000.0,1577889000000.0,4931189000000.0,-7022000000.0,-152856000000.0,0.0,-153150000000.0,0.0,0.0,4771017000000.0,7869067000000.0,0.0,12640084000000.0,4924167000000.0,-294000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2017,2,-286418000000.0,-320407000000.0,3083268000000.0,-20793000000.0,-61038000000.0,0.0,-60721000000.0,0.0,0.0,3001754000000.0,4867313000000.0,0.0,7869067000000.0,3062475000000.0,317000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2017,1,-116167000000.0,869292000000.0,-15817541000000.0,-2143000000.0,-10969000000.0,0.0,-10965000000.0,0.0,-258400000000.0,-16089049000000.0,20956361000000.0,0.0,4867312000000.0,-15819684000000.0,4000000.0,0.0,0.0,-258400000000.0,VCI,quarterly
LPB,2016,4,-12494000000.0,1289972000000.0,6446193000000.0,-481000000.0,-104737000000.0,0.0,-103774000000.0,0.0,0.0,6341938000000.0,14614424000000.0,0.0,20956362000000.0,6445712000000.0,471000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2016,3,-31157000000.0,1933283000000.0,195696000000.0,-1116000000.0,-35067000000.0,0.0,-35712000000.0,0.0,0.0,158868000000.0,14455556000000.0,0.0,14614424000000.0,194580000000.0,-153000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2016,2,-33488000000.0,105145000000.0,8578085000000.0,-2155000000.0,-75211000000.0,0.0,-74455000000.0,0.0,0.0,8501475000000.0,5954081000000.0,0.0,14455556000000.0,8575930000000.0,205000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2016,1,-53063000000.0,591540000000.0,-740459000000.0,-42626000000.0,-11032000000.0,0.0,-11553000000.0,0.0,-290700000000.0,-1085338000000.0,7039419000000.0,0.0,5954081000000.0,-783085000000.0,30000000.0,0.0,0.0,-290700000000.0,VCI,quarterly
LPB,2015,4,-23135000000.0,699133000000.0,1455266000000.0,-33634000000.0,-53381000000.0,0.0,-53432000000.0,0.0,0.0,1368200000000.0,5673234000000.0,-2015000000.0,7039419000000.0,1421632000000.0,60000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2015,3,18205000000.0,726262000000.0,2787048000000.0,60593000000.0,-53829000000.0,0.0,-53826000000.0,0.0,0.0,2793815000000.0,2877403000000.0,2015000000.0,5673233000000.0,2847641000000.0,339000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2015,2,-48348341137.0,6843756313.0,-780227733068.0,-44262042010.0,-67841865184.0,0.0,-67711310568.0,0.0,0.0,-892201085646.0,3770918005361.0,-1313198758.0,2877403720957.0,-824489775078.0,57278751.0,0.0,0.0,0.0,VCI,quarterly
LPB,2015,1,-11382658863.0,-250910756313.0,-3986251266932.0,-575957990.0,-60569134816.0,0.0,-60640689432.0,0.0,-129200000000.0,-4176667914354.0,7946272720957.0,1313198758.0,3770918005361.0,-3986827224922.0,1721249.0,0.0,0.0,-129200000000.0,VCI,quarterly
LPB,2014,4,-88075000000.0,-370618000000.0,-1659041000000.0,11060000000.0,-101843000000.0,0.0,-99347000000.0,0.0,0.0,-1747328000000.0,9692389000000.0,1212000000.0,7946273000000.0,-1647981000000.0,784000000.0,0.0,0.0,0.0,VCI,quarterly
LPB,2014,3,-10599313414.0,123554343863.0,2935183826449.0,-1129592216.0,-62175906840.0,0.0,-362186906393.0,0.0,-193800000000.0,2378067327840.0,7318623352090.0,-4301468656.0,9692389211274.0,2934054234233.0,187829090.0,-300000000000.0,0.0,-193800000000.0,VCI,quarterly
LPB,2014,2,-48179002807.0,-1411225694.0,-3961731511688.0,-5663256016.0,-91538437583.0,0.0,-90485596072.0,0.0,0.0,-4057880363776.0,11391263787397.0,498079630.0,7333881503251.0,-3967394767704.0,951140816.0,0.0,0.0,0.0,VCI,quarterly
LPB,2013,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VCI,quarterly
LPB,2013,2,215960042.0,40708958155.0,376136764048.0,-21538109995.0,-36356750404.0,0.0,-36855354290.0,0.0,-193800000000.0,123943299763.0,1509741404501.0,-3062227172.0,1630622477092.0,354598654053.0,25264783.0,0.0,0.0,-193800000000.0,VCI,quarterly
