rsi,rs,price,price_change,price_change_ratio,price_change_ratio_1m,id,title,source,publish_date
70.3,81.0,48050.0,100.0,0.002,0.056,11723386,LPB: Thông báo nhận được công văn của NHNN Chi nhánh Khu vực 2 về việc chấp thuận thay đổi địa điểm PGD Dĩ An,TCBS,2025-09-26 17:59:59
57.9,90.0,44100.0,100.0,0.002,0.159,11709916,LPB: Nghị quyết HĐQT về việc thay đổi địa điểm trụ sở PGD Nam Sài Gòn,TCBS,2025-09-12 17:22:49
51.3,69.0,44000.0,2050.0,0.049,0.229,11708591,LPB: Nghị quyết HĐQT về việc phê duyệt phương án phát hành trái phiếu riêng lẻ tăng vốn cấp 2 năm 2025,TCBS,2025-09-11 17:32:05
51.3,69.0,44000.0,2050.0,0.049,0.229,11708441,LPB: Nghị quyết HĐQT về việc thay đổi địa điểm trụ sở PGD Long Biên và PGD Phú Nhuận,TCBS,2025-09-11 15:25:54
65.3,72.0,,,,,11698835,Chứng khoán LPBank chốt ngày chào bán 878 triệu cổ phiếu để tăng vốn điều lệ,TCBS,2025-08-31 18:47:00
62.7,66.0,44850.0,1050.0,0.024,0.227,11687928,LPB: Nghị quyết HĐQT về việc chấm dứt hoạt động 25 Phòng GD,TCBS,2025-08-28 17:51:10
68.7,83.0,45500.0,500.0,0.011,0.245,11685570,LPB: Báo cáo tỷ lệ an toàn vốn tại ngày 30/06/2025,TCBS,2025-08-26 17:22:10
77.9,93.0,45000.0,-2000.0,-0.043,0.277,11684346,LPB: Nghị quyết HĐQT về việc thay đổi địa điểm trụ sở Chi nhánh Bạc Liêu,TCBS,2025-08-25 17:39:09
85.2,94.0,47000.0,-1400.0,-0.029,0.309,11682841,LPB: Thông báo công văn của NHNN về chấp thuận cho LPB thay đổi địa điểm Phòng GD An Phú,TCBS,2025-08-22 18:54:20
67.9,77.0,40100.0,1100.0,0.028,0.159,11676726,LPB: Nghị quyết HĐQT về việc thay đổi địa điểm trụ sở Chi nhánh Sơn Tây và Ninh Thuận,TCBS,2025-08-18 17:34:01
70.9,77.0,39200.0,1150.0,0.03,0.193,11671388,LPB: Nghị quyết HĐQT về việc phê duyệt phương án phát hành trái phiếu riêng lẻ năm 2025,TCBS,2025-08-13 09:57:01
60.3,50.0,38050.0,2250.0,0.063,0.158,11670709,LPB: Nghị quyết HĐQT về việc phê duyệt phương án mua lại trước hạn trái phiếu LPB123008,TCBS,2025-08-12 17:50:28
52.1,54.0,34200.0,0.0,0.0,0.06,11657768,LPB: Báo cáo tình hình quản trị 6 tháng đầu năm 2025,TCBS,2025-07-31 15:14:20
70.0,66.0,35500.0,900.0,0.026,0.123,11639816,Ngân hàng Lộc Phát (LPBank): Lợi nhuận trước thuế bán niên 2025 đạt gần 6.200 tỷ đồng,TCBS,2025-07-21 08:32:00
62.5,66.0,34600.0,950.0,0.028,0.083,11639166,LPB: Nghị quyết HĐQT về việc thay đổi địa điểm trủ sở Phòng GD Đô Thành,TCBS,2025-07-18 14:58:06
