officer_name,officer_position,officer_own_percent
Nguyen Dinh Thang,,0.0429
Nguyen Duc Thuy,,0.0285
Nguyen Duc Thuy,Legal Representative,0.0276
Nguyen Duc Thuy,Chairman of Management Board,0.0276
Pham Doan Son,Legal Representative,0.0185
Nguyen Duc Cu,,0.0135
NGUYEN VAN HUYNH,,0.007
Nguyen Hoang Duy,,0.0061
Duong Cong Doan,,0.0058
Do Thi Hoa,,0.0037
Hoang Phuong Thao,,0.0029
NGUYEN DUC HUONG,,0.0027
Nguyen Duy Thong,,0.0025
Nguyen Minh Trang,,0.0021
Nguyen Bao Ngoc,,0.0017
Bui Thai Ha,Vice Chairman of Management Board,0.0005
Vu Quoc Khanh,General Director,0.0004
Nguyen Anh Van,Deputy General Director,0.0004
Le Thi Thanh Nga,,0.0004
Huynh Ngoc Huy,Member of Management Board,0.0003
