Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,data_source,period_type
ticker,yearReport,lengthReport,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital,Net Profit Margin (%),ROE (%),ROA (%),Dividend yield (%),Financial Leverage,Market Capital (Bn. VND),Outstanding Share (Mil. Shares),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),,
LPB,2025,2,11.6195203759,0.06672760543325541,1.3624381841942548,0.6413181564375909,0.2328629441,0.0200852758,0.0,12.619520375887177,154143756360000.0,2987282100.0,15.522452179,3.7873277921,7.6224705371,6.618846254,802.0236856773587,13624.3818419425,VCI,yearly
LPB,2025,1,9.8975492262,0.06040690521837995,1.535583331751628,0.7720827201233428,0.2367457075,0.0208876096,0.0,10.897549226213362,98132216985000.0,2987282100.0,9.8564470947,2.1392521865,4.8716929897,3.8846702356,848.231240029189,15355.8333175163,VCI,yearly
LPB,2024,4,10.7293571275,0.06303401379380363,1.4507602077487092,0.5924081765063127,0.2510054134,0.0218154624,0.0,11.72935712752923,99028401615000.0,2987282100.0,10.1871638516,2.2850089093,4.9682051619,1.8456793173,893.7274454260614,14507.6020774871,VCI,yearly
LPB,2024,3,10.2078104018,0.06157942843406703,1.361387463206103,0.616951970898095,0.2588994726,0.0228949745,0.0,11.20781040178434,92157652785000.0,2987282100.0,9.4285032448,2.2660705224,4.4156150582,3.8759039741,780.2346487464307,13613.874632061,VCI,yearly
LPB,2024,2,10.5443260124,0.06236581257880786,1.28336399833146,0.6644407446348493,0.24648224,0.0208439073,0.0,11.544326012437416,82994652699200.0,2557616416.0,9.3396209644,2.1648311246,4.3874812495,3.1162309378,946.8354929420346,14989.6218839409,VCI,yearly
LPB,2024,1,10.2522828046,0.054236783050204136,1.219036561695998,0.6634905442261892,0.2163763184,0.0175760869,0.0,11.252282804557034,79925513000000.0,2557616416.0,10.7235566139,2.1947874318,4.7101419357,5.5963982228,898.7512691973589,14238.2809135051,VCI,yearly
LPB,2023,4,10.2219330605,0.0571552052618312,1.142088321688802,0.7853581518284378,0.1915764606,0.015683015,0.0613810742,11.221933060549748,50001400932800.0,2557616416.0,7.5358001234,1.4655689159,3.2000271952,15.192964095,1027.4605619359616,13339.5296443077,VCI,yearly
LPB,2023,3,12.7960148813,0.07187441840272862,0.886744174579294,0.37711102982817774,0.1425813496,0.0104655981,0.0722891566,13.79601488134,42456432505600.0,2557616416.0,9.9470614517,1.3482705375,3.3130340926,3.149568215,388.19347334060905,12312.0690823717,VCI,yearly
LPB,2023,2,12.7367898983,0.07015904018951472,0.8535082776414052,0.28906261479160783,0.1468411987,0.0108570024,0.0845070423,13.736789898300565,36318153107200.0,2557616416.0,8.3924069014,1.1908879684,2.7603014648,2.6347669494,276.9101713491661,11923.8756090311,VCI,yearly
LPB,2023,1,12.3287343464,0.06829013770397972,0.8468724798371068,0.448170196506747,0.1873814401,0.0135469215,0.076433121,13.328734346385374,27146954293300.0,1729105369.0,5.9066076556,1.073067039,1.9330365375,3.9781851641,719.0516103243908,14630.9591385,VCI,yearly
LPB,2022,4,12.6247661104,0.07038815881203671,0.8052521722002753,0.24096322079931193,0.2207822198,0.0146213732,0.0810810811,13.624766110414425,25590759461200.0,1729105369.0,5.2393499388,1.0638368585,1.8059419769,3.006591604,386.26795797081354,13911.9075281756,VCI,yearly
LPB,2022,3,12.4038902212,0.06757475096693687,0.7828941230558708,0.307670796328852,0.229628491,0.0151014615,0.0819112628,13.403890221238438,25331393655850.0,1729105369.0,4.9627412576,1.0831280786,1.8729775307,1.3765908601,570.7500639887262,13525.6395702048,VCI,yearly
LPB,2022,2,14.2361298815,0.0822199703377739,0.6611485403403984,0.47118072615203527,0.2318792418,0.0145599259,0.1176470588,15.236129881502992,15336577128600.0,1503585993.0,3.2126573822,0.6846573525,1.245951349,3.1239061589,954.1755554249833,14897.9631389796,VCI,yearly
LPB,2022,1,14.6353756806,0.0882990189138139,0.6100080069438371,0.49406406635448824,0.2048757489,0.0126088428,0.0866425993,15.635375680608648,20824666003050.0,1503585993.0,5.1975674298,0.9977007864,1.8997253681,1.814142219,944.9296592376543,13881.9174940266,VCI,yearly
LPB,2021,4,16.211998338,0.09430238062092705,0.5624469480133798,0.23394573646223796,0.1851701203,0.0108110966,0.0506329114,17.21199833804283,29695829879250.0,1503586323.0,8.375903013,1.499650368,2.9546063836,2.3010169718,428.7815006947227,13169.7363743578,VCI,yearly
LPB,2021,3,14.7591105545,0.0997560401523361,0.5408651228486255,0.30127366639809783,0.1766391281,0.0108078764,0.0472813239,15.759110554467872,25455938525100.0,1203590474.0,9.4432484183,1.5755199241,2.6551653579,2.9443061581,508.26341119745354,13424.1399786951,VCI,yearly
LPB,2021,2,15.4348127015,0.10605350693833358,0.5204093714483812,0.33972929673306246,0.1823021197,0.0111958582,0.0458715596,16.434812701529697,26238272333200.0,1203590474.0,9.8157230703,1.6877724371,2.8111327257,3.5475883287,615.2366739320006,12916.4332352468,VCI,yearly
