time,open,high,low,close,volume,data_source
2017-10-05,4.47,4.77,4.08,4.29,7293500,TCBS
2017-10-06,4.29,4.29,4.11,4.17,1196846,TCBS
2017-10-09,4.17,4.23,4.14,4.2,1018740,TCBS
2017-10-10,4.2,4.23,4.11,4.14,1369264,TCBS
2017-10-11,4.17,4.17,3.9,3.96,1929895,TCBS
2017-10-12,3.96,3.96,3.78,3.84,1503890,TCBS
2017-10-13,3.78,3.87,3.66,3.69,1998290,TCBS
2017-10-16,3.66,3.99,3.63,3.81,2078341,TCBS
2017-10-17,3.84,4.05,3.84,4.05,2352646,TCBS
2017-10-18,4.02,4.14,4.02,4.02,1921054,TCBS
2017-10-19,4.02,4.02,3.9,3.93,1665342,TCBS
2017-10-20,3.96,3.96,3.87,3.93,716310,TCBS
2017-10-23,3.93,3.93,3.81,3.81,989690,TCBS
2017-10-24,3.81,3.99,3.78,3.93,2296792,TCBS
2017-10-25,3.93,4.14,3.93,4.11,4451160,TCBS
2017-10-26,4.08,4.14,4.05,4.11,4783279,TCBS
2017-10-27,4.08,4.11,4.05,4.08,917448,TCBS
2017-10-30,4.08,4.08,3.99,4.02,1155892,TCBS
2017-10-31,3.99,3.99,3.93,3.93,998097,TCBS
2017-11-01,3.96,3.96,3.9,3.96,1832620,TCBS
2017-11-02,3.96,3.96,3.9,3.93,1436565,TCBS
2017-11-03,3.93,3.93,3.84,3.87,1311510,TCBS
2017-11-06,3.81,3.9,3.78,3.84,1721340,TCBS
2017-11-07,3.87,3.87,3.75,3.78,3472406,TCBS
2017-11-08,3.81,3.93,3.78,3.9,3419190,TCBS
2017-11-09,3.9,4.05,3.9,3.99,2027331,TCBS
2017-11-10,3.96,4.02,3.93,3.93,2162571,TCBS
2017-11-13,3.96,3.96,3.87,3.93,1658710,TCBS
2017-11-14,4.1,4.17,3.97,4.07,1417790,TCBS
2017-11-15,3.97,4.13,3.97,4.13,1199023,TCBS
2017-11-16,4.1,4.36,4.1,4.3,3654576,TCBS
2017-11-17,4.3,4.33,4.17,4.2,1427771,TCBS
2017-11-20,4.23,4.23,4.13,4.17,1377090,TCBS
2017-11-21,4.2,4.23,4.13,4.2,1436020,TCBS
2017-11-22,4.1,4.26,4.1,4.23,2574539,TCBS
2017-11-23,4.3,4.33,4.23,4.26,2175399,TCBS
2017-11-24,4.26,4.3,4.2,4.3,2075370,TCBS
2017-11-27,4.3,4.52,4.26,4.49,5381683,TCBS
2017-11-28,4.46,4.55,4.39,4.39,7626825,TCBS
2017-11-29,4.42,4.42,4.3,4.3,1841038,TCBS
2017-11-30,4.33,4.39,4.3,4.33,1149710,TCBS
2017-12-01,4.33,4.33,4.17,4.2,2499176,TCBS
2017-12-04,4.2,4.3,4.2,4.23,1390615,TCBS
2017-12-05,4.26,4.26,4.2,4.2,897567,TCBS
2017-12-06,4.2,4.23,4.17,4.17,1710500,TCBS
2017-12-07,4.2,4.23,4.13,4.17,1185503,TCBS
2017-12-08,4.2,4.26,4.17,4.23,1693255,TCBS
2017-12-11,4.26,4.39,4.23,4.33,2580503,TCBS
2017-12-12,4.36,4.36,4.17,4.3,1312330,TCBS
2017-12-13,4.3,4.3,4.2,4.23,988680,TCBS
2017-12-14,4.2,4.26,4.2,4.26,658072,TCBS
2017-12-15,4.23,4.23,4.17,4.2,1906195,TCBS
2017-12-18,4.2,4.23,4.2,4.23,1339219,TCBS
2017-12-19,4.23,4.26,4.2,4.23,1979610,TCBS
2017-12-20,4.23,4.3,4.2,4.26,2450673,TCBS
2017-12-21,4.26,4.3,4.2,4.23,2301950,TCBS
2017-12-22,4.23,4.26,4.2,4.23,1060600,TCBS
2017-12-25,4.23,4.23,4.2,4.2,1010390,TCBS
2017-12-26,4.2,4.2,4.17,4.2,1016770,TCBS
2017-12-27,4.17,4.2,4.1,4.13,1719140,TCBS
2017-12-28,4.13,4.2,4.07,4.17,1262498,TCBS
2017-12-29,4.2,4.2,4.13,4.17,878068,TCBS
2018-01-02,4.2,4.23,4.13,4.2,1559161,TCBS
2018-01-03,4.26,4.39,4.23,4.36,4890664,TCBS
2018-01-04,4.36,4.39,4.33,4.39,3527807,TCBS
2018-01-05,4.42,4.42,4.33,4.36,2182052,TCBS
2018-01-08,4.33,4.59,4.3,4.55,6398502,TCBS
2018-01-09,4.59,4.84,4.52,4.75,5009071,TCBS
2018-01-10,4.84,4.84,4.68,4.72,2912489,TCBS
2018-01-11,4.72,5.33,4.68,5.14,7513965,TCBS
2018-01-12,5.17,5.46,4.94,5.1,4824173,TCBS
2018-01-15,5.23,5.23,5.01,5.14,2193796,TCBS
2018-01-16,5.07,5.1,4.94,4.97,2940402,TCBS
2018-01-17,5.01,5.17,4.91,4.94,2504400,TCBS
2018-01-18,4.94,5.1,4.88,5.07,1568960,TCBS
2018-01-19,4.97,5.14,4.97,5.07,1846108,TCBS
2018-01-22,5.07,5.14,5.01,5.04,2724530,TCBS
2018-01-23,5.1,5.49,5.07,5.49,5634151,TCBS
2018-01-24,5.43,5.78,5.43,5.62,2824150,TCBS
2018-01-25,5.65,5.78,5.52,5.62,4467291,TCBS
2018-01-26,5.62,5.75,5.49,5.56,4122527,TCBS
2018-01-29,5.62,5.81,5.56,5.68,3551146,TCBS
2018-01-30,5.72,5.78,5.56,5.72,3804870,TCBS
2018-01-31,5.68,5.81,5.62,5.68,3503008,TCBS
2018-02-01,5.82,5.82,5.41,5.48,1771451,TCBS
2018-02-02,5.48,5.55,5.31,5.41,1503073,TCBS
2018-02-05,5.48,5.99,4.83,4.96,2730927,TCBS
2018-02-06,4.86,5.07,4.38,4.76,5100513,TCBS
2018-02-07,4.79,5.14,4.76,5.1,1809793,TCBS
2018-02-08,5.1,5.1,4.86,4.9,1016920,TCBS
2018-02-09,4.66,5.03,4.55,5.0,2091362,TCBS
2018-02-12,5.03,5.14,5.0,5.14,2186850,TCBS
2018-02-13,5.27,5.38,5.14,5.34,1433291,TCBS
2018-02-21,5.34,5.51,5.34,5.38,1978111,TCBS
2018-02-22,5.38,5.41,5.24,5.31,2080421,TCBS
2018-02-23,5.31,5.41,5.27,5.38,2122192,TCBS
2018-02-26,5.38,5.55,5.34,5.34,3486519,TCBS
2018-02-27,5.44,5.55,5.31,5.34,1419985,TCBS
2018-02-28,5.38,5.38,5.24,5.31,2781413,TCBS
2018-03-01,5.24,5.27,4.96,5.14,3507531,TCBS
2018-03-02,5.14,5.14,5.0,5.1,1836772,TCBS
2018-03-05,5.03,5.2,4.86,4.93,2252919,TCBS
2018-03-06,5.03,5.1,5.0,5.1,1926418,TCBS
2018-03-07,5.1,5.14,4.96,5.07,1852024,TCBS
2018-03-08,5.07,5.07,5.03,5.03,1013065,TCBS
2018-03-09,5.1,5.48,5.1,5.38,5709648,TCBS
2018-03-12,5.41,5.65,5.41,5.51,3481804,TCBS
2018-03-13,5.55,5.55,5.41,5.51,1436019,TCBS
2018-03-14,5.51,5.55,5.41,5.48,2952316,TCBS
2018-03-15,5.48,5.48,5.31,5.44,2257275,TCBS
2018-03-16,5.44,5.55,5.41,5.51,2068497,TCBS
2018-03-19,5.51,5.51,5.38,5.41,2012357,TCBS
2018-03-20,5.38,5.86,5.34,5.62,9984775,TCBS
2018-03-21,5.68,5.72,5.48,5.51,2300636,TCBS
2018-03-22,5.55,5.55,5.41,5.44,1611230,TCBS
2018-03-23,5.41,5.41,5.2,5.31,2768490,TCBS
2018-03-26,5.27,5.41,5.24,5.34,1611390,TCBS
2018-03-27,5.34,5.41,5.27,5.31,1318935,TCBS
2018-03-28,5.31,5.31,5.1,5.17,5081917,TCBS
2018-03-29,5.17,5.24,5.14,5.17,2796943,TCBS
2018-03-30,5.2,5.24,5.07,5.14,1648830,TCBS
2018-04-02,5.17,5.24,5.1,5.2,2472740,TCBS
2018-04-03,5.24,5.24,5.14,5.2,1654676,TCBS
2018-04-04,5.2,5.55,5.2,5.44,10674211,TCBS
2018-04-05,5.44,5.62,5.38,5.58,8620628,TCBS
2018-04-06,5.55,6.06,5.55,5.96,15990731,TCBS
2018-04-09,5.92,6.2,5.89,6.16,9446782,TCBS
2018-04-10,6.16,6.3,5.96,5.99,11106870,TCBS
2018-04-11,6.06,6.16,5.79,5.82,7617559,TCBS
2018-04-12,5.86,5.92,5.62,5.79,5826356,TCBS
2018-04-13,5.82,5.92,5.68,5.75,8318064,TCBS
2018-04-16,5.79,5.82,5.55,5.65,6024204,TCBS
2018-04-17,5.82,5.89,5.58,5.72,2554023,TCBS
2018-04-18,5.68,5.75,5.58,5.62,2002325,TCBS
2018-04-19,5.72,5.72,5.41,5.41,4975935,TCBS
2018-04-20,5.41,5.58,5.38,5.55,2245260,TCBS
2018-04-23,5.58,5.58,4.96,5.14,4548382,TCBS
2018-04-24,5.14,5.24,5.03,5.17,3123791,TCBS
2018-04-26,5.17,5.17,4.9,5.0,3118031,TCBS
2018-04-27,4.96,5.17,4.96,5.14,2167574,TCBS
2018-05-02,5.1,5.17,4.96,5.0,1399201,TCBS
2018-05-03,5.03,5.03,4.69,4.9,4514397,TCBS
2018-05-04,4.83,5.0,4.83,4.9,1241770,TCBS
2018-05-07,4.9,5.1,4.86,5.07,1721932,TCBS
2018-05-08,5.07,5.07,4.9,4.96,1790668,TCBS
2018-05-09,4.9,4.93,4.83,4.9,2320836,TCBS
2018-05-10,4.9,4.9,4.69,4.72,2023433,TCBS
2018-05-11,4.72,4.79,4.66,4.79,1450316,TCBS
2018-05-14,4.83,4.83,4.69,4.83,996329,TCBS
2018-05-15,4.79,4.86,4.76,4.79,1036244,TCBS
2018-05-16,4.79,4.83,4.72,4.76,817902,TCBS
2018-05-17,4.76,4.76,4.69,4.69,986877,TCBS
2018-05-18,4.76,4.76,4.38,4.55,4556608,TCBS
2018-05-21,4.55,4.59,4.31,4.35,2935212,TCBS
2018-05-22,4.35,4.38,3.9,4.11,4946905,TCBS
2018-05-23,4.11,4.18,3.97,4.18,2067108,TCBS
2018-05-24,4.18,4.18,4.07,4.14,1423077,TCBS
2018-05-25,4.14,4.24,4.11,4.11,2049048,TCBS
2018-05-28,4.21,4.21,3.77,3.87,3849679,TCBS
2018-05-29,3.94,4.24,3.84,4.18,3623385,TCBS
2018-05-30,4.14,4.14,3.97,4.04,1114196,TCBS
2018-05-31,4.04,4.21,4.04,4.18,1538513,TCBS
2018-06-01,4.18,4.21,4.11,4.18,1602232,TCBS
2018-06-04,4.21,4.35,4.11,4.31,2165462,TCBS
2018-06-05,4.31,4.42,4.28,4.38,2292444,TCBS
2018-06-06,4.38,4.49,4.28,4.45,1847444,TCBS
2018-06-07,4.35,4.45,4.35,4.38,1633522,TCBS
2018-06-08,4.35,4.42,4.28,4.31,3272950,TCBS
2018-06-11,4.28,4.31,4.24,4.28,750178,TCBS
2018-06-12,4.21,4.35,4.04,4.18,2015284,TCBS
2018-06-13,4.18,4.21,4.14,4.21,599062,TCBS
2018-06-14,4.18,4.21,4.11,4.14,645106,TCBS
2018-06-15,4.14,4.18,4.11,4.18,650955,TCBS
2018-06-18,4.18,4.18,3.97,4.01,1147388,TCBS
2018-06-19,3.97,4.01,3.77,3.9,2867306,TCBS
